06-09-2025 17:09:07.040,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-09-2025 17:08:03.047,0,RECV,7E000F81000422024E343030302D3247353138
06-09-2025 17:08:03.048,1,RECV,7E000F8100073D024E373030302D33553542F7
06-09-2025 17:08:03.098,2,RECV,7E000F81000421024E343030312D454835371E
06-09-2025 17:08:03.114,3,RECV,7E000F8100073F024E373030312D524A5739C7
06-09-2025 17:08:03.198,4,RECV,7E000F81000421024E343030322D42454552F8
06-09-2025 17:08:03.198,5,RECV,7E000F8100073D024E373030322D32534533F7
06-09-2025 17:08:03.248,6,RECV,7E000F81000421024E343030332D3834334630
06-09-2025 17:08:03.269,7,RECV,7E000F8100073F024E373030332D33394B3604
06-09-2025 17:08:03.348,8,RECV,7E000F81000835024E383030342D325A5954BF
06-09-2025 17:08:03.349,9,RECV,7E000F81000421024E343030342D5543374DF8
06-09-2025 17:08:03.349,10,RECV,7E000F8100073E024E373030342D4A34514DD5
06-09-2025 17:08:03.449,11,RECV,7E000F81000835024E383030352D44365654D3
06-09-2025 17:08:03.449,12,RECV,7E000F81000421024E343030352D47545337EE
06-09-2025 17:08:03.449,13,RECV,7E000F8100073F024E373030352D38345841EA
06-09-2025 17:08:03.499,14,RECV,7E000F81000836024E383030362D42565431D8
06-09-2025 17:08:03.499,15,RECV,7E000F81000421024E343030362D57593047EB
06-09-2025 17:08:03.499,16,RECV,7E000F8100073F024E373030362D4E494342D2
06-09-2025 17:08:03.599,17,RECV,7E000F81000836024E383030372D52425436D6
06-09-2025 17:08:03.599,18,RECV,7E000F81000421024E343030372D4F494C33FA
06-09-2025 17:08:03.599,19,RECV,7E000F8100073F024E373030372D32335356DF
06-09-2025 17:08:03.649,20,RECV,7E000F81000835024E383030382D33494F37F2
06-09-2025 17:08:03.650,21,RECV,7E000F81000421024E343030382D58523439F9
06-09-2025 17:08:03.670,22,RECV,7E000F8100073F024E373030382D50505A38BA
06-09-2025 17:08:03.749,23,RECV,7E000F81000836024E383030392D4158334CDA
06-09-2025 17:08:03.750,24,RECV,7E000F81000421024E343030392D5A584C4DC4
06-09-2025 17:08:03.750,25,RECV,7E000F81000740024E373030392D324D5649CC
06-09-2025 17:08:03.850,26,RECV,7E000F81000837024E383031302D49324A48EC
06-09-2025 17:08:03.878,27,RECV,7E000F81000421024E343031302D364A48321D
06-09-2025 17:08:03.878,28,RECV,7E000F8100073F024E373031302D4D424E59BD
06-09-2025 17:08:03.900,29,RECV,7E000F81000837024E383031312D59534C4DB3
06-09-2025 17:08:03.900,30,RECV,7E000F81000421024E343031312D4143413819
06-09-2025 17:08:03.950,31,RECV,7E000F81000740024E373031312D5753484BB4
06-09-2025 17:08:04.000,32,RECV,7E000F81000837024E383031322D41354A4DEA
06-09-2025 17:08:04.003,33,RECV,7E000F81000421024E343031322D345538470D
06-09-2025 17:08:04.003,34,RECV,7E000F81000740024E373031322D4A364F4FD2
06-09-2025 17:08:04.050,35,RECV,7E000F81000837024E383031332D4E57574DAD
06-09-2025 17:08:04.050,36,RECV,7E000F81000421024E343031332D4D483851F6
06-09-2025 17:08:04.100,37,RECV,7E000F81000740024E373031332D50413038F6
06-09-2025 17:08:04.151,38,RECV,7E000F81000836024E383031342D57545257A2
06-09-2025 17:08:04.184,39,RECV,7E000F81000421024E343031342D5043514EE1
06-09-2025 17:08:04.184,40,RECV,7E000F81000740024E373031342D43315957CA
06-09-2025 17:08:04.251,41,RECV,7E000F81000837024E383031352D414D315ADB
06-09-2025 17:08:04.251,42,RECV,7E000F81000421024E343031352D3550364215
06-09-2025 17:08:04.251,43,RECV,7E000F81000740024E373031352D53594536C6
06-09-2025 17:08:04.301,44,RECV,7E000F81000837024E383031362D4B345731EC
06-09-2025 17:08:04.335,45,RECV,7E000F81000421024E343031362D5048303019
06-09-2025 17:08:04.336,46,RECV,7E000F81000740024E373031362D444E5A49B7
06-09-2025 17:08:04.401,47,RECV,7E000F81000837024E383031372D34414E37F8
06-09-2025 17:08:04.402,48,RECV,7E000F81000421024E343031372D44375A51EA
06-09-2025 17:08:04.402,49,RECV,7E000F81000740024E373031372D47544339D4
06-09-2025 17:08:04.452,50,RECV,7E000F81000837024E383031382D54334638EC
06-09-2025 17:08:04.452,51,RECV,7E000F81000421024E343031382D504B5732EB
06-09-2025 17:08:04.502,52,RECV,7E000F81000740024E373031382D41435639D7
06-09-2025 17:08:04.552,53,RECV,7E000F81000837024E383031392D453631370D
06-09-2025 17:08:04.552,54,RECV,7E000F81000421024E343031392D38454F46FC
06-09-2025 17:08:04.562,55,RECV,7E000F81000741024E373031392D46585735BE
06-09-2025 17:08:04.652,56,RECV,7E000F81000837024E383032302D48354754E0
06-09-2025 17:08:04.652,57,RECV,7E000F81000421024E343032302D4437425603
06-09-2025 17:08:04.652,58,RECV,7E000F81000740024E373032302D514D4130E2
06-09-2025 17:08:04.702,59,RECV,7E000F81000836024E383032312D4A394F59CD
06-09-2025 17:08:04.703,60,RECV,7E000F81000421024E343032312D45585757CA
06-09-2025 17:08:04.752,61,RECV,7E000F81000740024E373032312D49344143EF
