06-09-2025 16:31:07.969,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-09-2025 16:29:28.777,0,RECV,7E000F8100062D024E363030302D5347504BD3
06-09-2025 16:29:28.778,1,RECV,7E000F8100031A024E333030302D353556530E
06-09-2025 16:29:28.779,2,RECV,7E000F8100031A024E333030312D4A515835F8
06-09-2025 16:29:28.779,3,RECV,7E000F8100062D024E363030322D49354650F2
06-09-2025 16:29:28.780,4,RECV,7E000F8100031A024E333030322D503043500C
06-09-2025 16:29:28.780,5,RECV,7E000F8100062D024E363030332D544F4B57C0
06-09-2025 16:29:28.780,6,RECV,7E000F8100031A024E333030332D353455550B
06-09-2025 16:29:28.781,7,RECV,7E000F8100062D024E363030342D58375054D1
06-09-2025 16:29:28.785,8,RECV,7E000F8100031A024E333030342D48325252FF
06-09-2025 16:29:28.785,9,RECV,7E000F8100031A024E333030352D47594756DF
06-09-2025 16:29:28.785,10,RECV,7E000F8100062D024E363030352D4751353501
06-09-2025 16:29:28.786,11,RECV,7E000F8100031A024E333030362D4935554BFD
06-09-2025 16:29:28.786,12,RECV,7E000F8100062D024E363030362D35475747E8
06-09-2025 16:29:28.786,13,RECV,7E000F8100062D024E363030372D49344859E3
06-09-2025 16:29:28.786,14,RECV,7E000F81000534024E353030382D4C585139CD
06-09-2025 16:29:28.786,15,RECV,7E000F8100031A024E333030372D4C4B4B43F5
06-09-2025 16:29:28.786,16,RECV,7E000F8100062D024E363030382D364B4756E2
06-09-2025 16:29:28.786,17,RECV,7E000F81000534024E353030392D35304257FC
06-09-2025 16:29:28.786,18,RECV,7E000F8100031A024E333030382D4635413726
06-09-2025 16:29:28.786,19,RECV,7E000F8100062C024E363030392D4D32484DEC
06-09-2025 16:29:28.786,20,RECV,7E000F8100031A024E333030392D3139494E17
06-09-2025 16:29:28.786,21,RECV,7E000F8100062D024E363031302D4E315832FE
06-09-2025 16:29:28.786,22,RECV,7E000F8100031A024E333031302D58454948F2
06-09-2025 16:29:28.786,23,RECV,7E000F81000534024E353031322D50345643E3
06-09-2025 16:29:28.786,24,RECV,7E000F8100031A024E333031312D3837375029
06-09-2025 16:29:28.787,25,RECV,7E000F81000534024E353031332D324A5236FB
06-09-2025 16:29:28.871,26,RECV,7E000F8100031A024E333031322D4341534BFC
06-09-2025 16:29:28.871,27,RECV,7E000F81000534024E353031342D4F464A5AC5
06-09-2025 16:29:28.871,28,RECV,7E000F8100031A024E333031332D4C4C303223
06-09-2025 16:29:28.871,29,RECV,7E000F81000534024E353031352D43475550CE
06-09-2025 16:29:28.871,30,RECV,7E000F8100031A024E333031342D3937344137
06-09-2025 16:29:28.871,31,RECV,7E000F8100031A024E333031352D4251544FE5
06-09-2025 16:29:28.875,32,RECV,7E000F8100062D024E363031332D33473556FF
06-09-2025 16:29:28.875,33,RECV,7E000F8100031A024E333031362D34595748EE
06-09-2025 16:29:28.875,34,RECV,7E000F8100062C024E363031342D53465031EA
06-09-2025 16:29:28.876,35,RECV,7E000F8100031A024E333031372D59514537F3
06-09-2025 16:29:28.876,36,RECV,7E000F8100062C024E363031352D314632477D33
06-09-2025 16:29:28.876,37,RECV,7E000F8100031A024E333031382D4F4A574DDB
06-09-2025 16:29:28.876,38,RECV,7E000F8100062D024E363031362D50473536FF
06-09-2025 16:29:28.876,39,RECV,7E000F8100031A024E333031392D3235464129
06-09-2025 16:29:28.876,40,RECV,7E000F8100062C024E363031372D52365147E1
06-09-2025 16:29:28.876,41,RECV,7E000F8100031A024E333032302D344F324624
