06-05-2025 17:15:35.667,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-05-2025 17:14:16.771,0,RECV,7E007D318100041E0253004E343030302D49445149A1
06-05-2025 17:14:16.776,1,RECV,7E007D31810003190209004E333030302D515231360F
06-05-2025 17:14:16.777,2,RECV,7E007D318100022802FB004E323030302D31544E3512
06-05-2025 17:14:17.172,3,RECV,7E007D318100041E0257004E343030312D445A4B4E8C
06-05-2025 17:14:17.176,4,RECV,7E007D318100031A020C004E333030312D4A44324C08
06-05-2025 17:14:17.184,5,RECV,7E007D318100022702FD004E323030312D564C4633FD
06-05-2025 17:14:17.574,6,RECV,7E007D318100041E0258004E343030322D46443350B4
06-05-2025 17:14:17.575,7,RECV,7E007D318100031A020D004E333030322D343246372F
06-05-2025 17:14:17.576,8,RECV,7E007D318100022702FE004E323030322D4942434800
06-05-2025 17:14:17.975,9,RECV,7E007D318100041E0259004E343030332D4A54585871
06-05-2025 17:14:17.975,10,RECV,7E007D318100031A020E004E333030332D45593957E2
06-05-2025 17:14:17.976,11,RECV,7E007D318100022802FF004E323030332D43374558FC
06-05-2025 17:14:18.375,12,RECV,7E007D318100041E025A004E343030342D564F4A527C
06-05-2025 17:14:18.376,13,RECV,7E007D31810002280201004E323030342D4A553752E8
06-05-2025 17:14:18.776,14,RECV,7E007D318100041E025B004E343030352D4756474A8D
06-05-2025 17:14:18.777,15,RECV,7E007D318100031A0210004E333030352D49394D3607
06-05-2025 17:14:18.778,16,RECV,7E007D31810002280202004E323030352D56325546EB
06-05-2025 17:14:19.178,17,RECV,7E007D318100041E025C004E343030362D354A4432C4
06-05-2025 17:14:19.182,18,RECV,7E007D318100031A027D31004E333030362D55314B4CED
06-05-2025 17:14:19.189,19,RECV,7E007D31810002270203004E323030362D39494D54EA
06-05-2025 17:14:19.579,20,RECV,7E007D318100041E025D004E343030372D4F4B574284
06-05-2025 17:14:19.579,21,RECV,7E007D318100031A0212004E333030372D383855307D33
06-05-2025 17:14:19.581,22,RECV,7E007D31810002280204004E323030372D3450364A06
06-05-2025 17:14:19.980,23,RECV,7E007D318100041E025E004E343030382D583752389C
06-05-2025 17:14:19.981,24,RECV,7E007D318100031E027D33004E333030382D32544C55DB
06-05-2025 17:14:19.982,25,RECV,7E007D31810002270205004E323030382D4449364BFB
06-05-2025 17:14:20.381,26,RECV,7E007D318100041E025F004E343030392D45375835AA
06-05-2025 17:14:20.382,27,RECV,7E007D318100031A0214004E333030392D414B364AF8
06-05-2025 17:14:20.384,28,RECV,7E007D31810002280206004E323030392D4833564BEA
06-05-2025 17:14:20.783,29,RECV,7E007D318100041E0260004E343031302D3642554DA0
06-05-2025 17:14:20.783,30,RECV,7E007D3181000123026E004E313031302D4759514478
06-05-2025 17:14:20.784,31,RECV,7E007D318100031A0215004E333031302D3441374F10
06-05-2025 17:14:21.184,32,RECV,7E007D318100041F0263004E343031312D34455036B6
06-05-2025 17:14:21.185,33,RECV,7E007D31810001230270004E313031312D5932554288
06-05-2025 17:14:21.193,34,RECV,7E007D3181000228020B004E323031312D4231455000
06-05-2025 17:14:21.193,35,RECV,7E007D318100031A0217004E333031312D56583152D7
06-05-2025 17:14:21.585,36,RECV,7E007D318100041F0264004E343031322D31553952A2
06-05-2025 17:14:21.635,37,RECV,7E007D31810001220271004E313031322D42454F4D86
06-05-2025 17:14:21.635,38,RECV,7E007D3181000227020C004E323031322D564F484CCE
06-05-2025 17:14:21.635,39,RECV,7E007D318100031A0218004E333031322D334E4254EF
06-05-2025 17:14:21.986,40,RECV,7E007D318100041E0265004E343031332D4D51324999
06-05-2025 17:14:21.986,41,RECV,7E007D31810001230272004E313031332D59564A327B
06-05-2025 17:14:21.993,42,RECV,7E007D3181000226020D004E323031332D4751394CE9
06-05-2025 17:14:21.997,43,RECV,7E007D318100031A0219004E333031332D394F4836FE
06-05-2025 17:14:22.393,44,RECV,7E007D318100041E0266004E343031342D5255564D66
06-05-2025 17:14:22.398,45,RECV,7E007D31810001230273004E313031342D574F385A6C
06-05-2025 17:14:22.399,46,RECV,7E007D3181000228020E004E323031342D59375331EE
06-05-2025 17:14:22.400,47,RECV,7E007D318100031A021A004E333031342D5244394CE7
06-05-2025 17:14:22.788,48,RECV,7E007D318100041E0267004E343031352D37383843C4
06-05-2025 17:14:22.788,49,RECV,7E007D31810001230274004E313031352D4E4F58525B
06-05-2025 17:14:22.790,50,RECV,7E007D3181000228020F004E323031352D383238510D
06-05-2025 17:14:22.838,51,RECV,7E007D318100031A021B004E333031352D4E354F36F8
06-05-2025 17:14:23.189,52,RECV,7E007D318100041E0268004E343031362D33543945A7
06-05-2025 17:14:23.191,53,RECV,7E007D31810001230275004E313031362D5646594368
06-05-2025 17:14:23.200,54,RECV,7E007D31810002270210004E323031362D454E434FDA
06-05-2025 17:14:23.200,55,RECV,7E007D318100031A021C004E333031362D45514C33E9
06-05-2025 17:14:23.590,56,RECV,7E007D318100041E0269004E343031372D3834434AB1
06-05-2025 17:14:23.593,57,RECV,7E007D31810001230276004E313031372D4D3954566E
06-05-2025 17:14:23.594,58,RECV,7E007D3181000227027D31004E323031372D313448341C
06-05-2025 17:14:23.594,59,RECV,7E007D318100031A021D004E333031372D34424E3404
06-05-2025 17:14:23.992,60,RECV,7E007D318100041F026A004E343031382D4C4831578B
06-05-2025 17:14:23.992,61,RECV,7E007D31810001230277004E313031382D48364E4A86
06-05-2025 17:14:23.993,62,RECV,7E007D31810002270212004E323031382D52453758D5
