06-05-2025 17:19:02.004,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-05-2025 17:17:27.116,0,RECV,7E007D3181000834022A004E383030302D5A4F4930B1
06-05-2025 17:17:27.117,1,RECV,7E007D318100062E0268004E363030302D573958387F
06-05-2025 17:17:27.617,2,RECV,7E007D3181000836022E004E383030312D4F30394FC5
06-05-2025 17:17:27.618,3,RECV,7E007D3181000630026A004E363030312D4D41515269
06-05-2025 17:17:28.119,4,RECV,7E007D31810008390230004E383030322D49374C50AA
06-05-2025 17:17:28.120,5,RECV,7E007D3181000537028A004E353030322D524D4C4841
06-05-2025 17:17:28.121,6,RECV,7E007D318100062C026B004E363030322D474336508C
06-05-2025 17:17:28.620,7,RECV,7E007D31810008340231004E383030332D4947555193
06-05-2025 17:17:28.621,8,RECV,7E007D3181000533028B004E353030332D51484B4250
06-05-2025 17:17:28.622,9,RECV,7E007D318100062D026C004E363030332D5645473384
06-05-2025 17:17:29.122,10,RECV,7E007D31810008350232004E383030342D564A484F8F
06-05-2025 17:17:29.123,11,RECV,7E007D3181000534028C004E353030342D494F4C414E
06-05-2025 17:17:29.130,12,RECV,7E007D318100073C0250004E373030342D30433749B0
06-05-2025 17:17:29.130,13,RECV,7E007D318100062E026D004E363030342D454B453190
06-05-2025 17:17:29.624,14,RECV,7E007D31810008350233004E383030352D4B50484C95
06-05-2025 17:17:29.633,15,RECV,7E007D3181000535028D004E353030352D383345516F
06-05-2025 17:17:29.634,16,RECV,7E007D3181000630026E004E363030352D4E524C3175
06-05-2025 17:17:30.124,17,RECV,7E007D31810008390234004E383030362D34584E479D
06-05-2025 17:17:30.129,18,RECV,7E007D3181000538028E004E353030362D35454A396E
06-05-2025 17:17:30.130,19,RECV,7E007D3181000631026F004E363030362D4357333989
06-05-2025 17:17:30.626,20,RECV,7E007D31810008340235004E383030372D4D345038B8
06-05-2025 17:17:30.630,21,RECV,7E007D3181000533028F004E353030372D4E38535144
06-05-2025 17:17:30.631,22,RECV,7E007D318100073C0253004E373030372D3645595277
06-05-2025 17:17:30.631,23,RECV,7E007D318100062C0270004E363030372D4C423031A3
06-05-2025 17:17:31.128,24,RECV,7E007D31810008350236004E383030382D32425835BD
06-05-2025 17:17:31.130,25,RECV,7E007D31810005340290004E353030382D41464F4D48
06-05-2025 17:17:31.131,26,RECV,7E007D318100062E0271004E363030382D57474F3968
06-05-2025 17:17:31.629,27,RECV,7E007D31810008390239004E383030392D35493357AE
06-05-2025 17:17:31.629,28,RECV,7E007D31810005380292004E353030392D3554544443
