06-10-2025 23:09:19.079,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-10-2025 23:08:53.016,0,RECV,7E000F81000835024E383030302D4B543954D0
06-10-2025 23:08:53.016,1,RECV,7E000F81000630024E363030302D50575356B5
06-10-2025 23:08:53.018,2,RECV,7E000F8100073C024E373030302D46315A56D0
06-10-2025 23:08:53.018,3,RECV,7E000F81000536024E353030302D48594C4DC7
06-10-2025 23:08:53.116,4,RECV,7E000F81000835024E383030312D42584344DA
06-10-2025 23:08:53.116,5,RECV,7E000F81000630024E363030312D5A525552B1
06-10-2025 23:08:53.116,6,RECV,7E000F81000536024E353030312D43354D3605
06-10-2025 23:08:53.166,7,RECV,7E000F81000835024E383030322D4A374358DE
06-10-2025 23:08:53.176,8,RECV,7E000F81000630024E363030322D324D334C05
06-10-2025 23:08:53.176,9,RECV,7E000F81000536024E353030322D3657364EEE
06-10-2025 23:08:53.267,10,RECV,7E000F81000835024E383030332D344A344700
06-10-2025 23:08:53.267,11,RECV,7E000F81000630024E363030332D51493041F7
06-10-2025 23:08:53.267,12,RECV,7E000F81000536024E353030332D4A475459C0
06-10-2025 23:08:53.316,13,RECV,7E000F81000834024E383030342D524B4852C2
06-10-2025 23:08:53.367,14,RECV,7E000F8100073B024E373030342D345A5339DA
06-10-2025 23:08:53.368,15,RECV,7E000F8100062F024E363030342D524F3750DA
06-10-2025 23:08:53.368,16,RECV,7E000F81000536024E353030342D5A313359E6
06-10-2025 23:08:53.417,17,RECV,7E000F81000834024E383030352D4C39325AE7
06-10-2025 23:08:53.422,18,RECV,7E000F8100073C024E373030352D55383436FB
06-10-2025 23:08:53.423,19,RECV,7E000F8100062F024E363030352D55335848D9
06-10-2025 23:08:53.423,20,RECV,7E000F81000536024E353030352D4F4E5446C5
06-10-2025 23:08:53.517,21,RECV,7E000F81000834024E383030362D4C4F3051DB
06-10-2025 23:08:53.519,22,RECV,7E000F8100073B024E373030362D434A4D31E7
06-10-2025 23:08:53.519,23,RECV,7E000F8100062F024E363030362D46434957D7
06-10-2025 23:08:53.519,24,RECV,7E000F81000536024E353030362D50563155CF
06-10-2025 23:08:53.577,25,RECV,7E000F81000834024E383030372D42484351D8
06-10-2025 23:08:53.612,26,RECV,7E000F8100073B024E373030372D3952454CD5
06-10-2025 23:08:53.612,27,RECV,7E000F8100062F024E363030372D3439304F7D33
06-10-2025 23:08:53.612,28,RECV,7E000F81000536024E353030372D46355A39EC
06-10-2025 23:08:53.667,29,RECV,7E000F81000834024E383030382D45594635DC
06-10-2025 23:08:53.668,30,RECV,7E000F8100073B024E373030382D5758414AB6
06-10-2025 23:08:53.668,31,RECV,7E000F81000630024E363030382D59363857DF
06-10-2025 23:08:53.668,32,RECV,7E000F81000536024E353030382D45495A43CE
06-10-2025 23:08:53.728,33,RECV,7E000F81000835024E383030392D50545448B3
06-10-2025 23:08:53.728,34,RECV,7E000F8100073B024E373030392D4F335844D1
06-10-2025 23:08:53.728,35,RECV,7E000F81000630024E363030392D36553658E3
06-10-2025 23:08:53.749,36,RECV,7E000F81000536024E353030392D42425A57C3
06-10-2025 23:08:53.818,37,RECV,7E000F81000834024E383031302D47585534D4
06-10-2025 23:08:53.822,38,RECV,7E000F8100073B024E373031302D52333545F8
06-10-2025 23:08:53.822,39,RECV,7E000F8100062F024E363031302D38454C4EEE
06-10-2025 23:08:53.829,40,RECV,7E000F81000536024E353031302D54305552D5
06-10-2025 23:08:53.918,41,RECV,7E000F81000834024E383031312D58435250BE
06-10-2025 23:08:53.920,42,RECV,7E000F8100073B024E373031312D4D513931EE
06-10-2025 23:08:53.920,43,RECV,7E000F81000630024E363031312D4139324710
06-10-2025 23:08:53.920,44,RECV,7E000F81000536024E353031312D4C585A4EB3
06-10-2025 23:08:53.968,45,RECV,7E000F81000834024E383031322D52504B39D4
06-10-2025 23:08:53.971,46,RECV,7E000F8100073B024E373031322D49354A58D5
06-10-2025 23:08:53.989,47,RECV,7E000F8100062F024E363031322D48573857D5
06-10-2025 23:08:53.989,48,RECV,7E000F81000535024E353031322D53384659D5
06-10-2025 23:08:54.069,49,RECV,7E000F81000834024E383031332D59494F59AF
06-10-2025 23:08:54.076,50,RECV,7E000F8100073B024E373031332D4C4B514FBD
06-10-2025 23:08:54.076,51,RECV,7E000F8100062F024E363031332D32465351E6
06-10-2025 23:08:54.129,52,RECV,7E000F81000834024E383031342D44374551E7
06-10-2025 23:08:54.129,53,RECV,7E000F8100073B024E373031342D5A4F4D47B6
06-10-2025 23:08:54.149,54,RECV,7E000F8100062F024E363031342D584D5957AC
06-10-2025 23:08:54.219,55,RECV,7E000F81000834024E383031352D33385555E2
06-10-2025 23:08:54.227,56,RECV,7E000F8100073B024E373031352D4C49494ACA
06-10-2025 23:08:54.269,57,RECV,7E000F8100062F024E363031352D4439384803
06-10-2025 23:08:54.320,58,RECV,7E000F81000834024E383031362D594C5748B2
06-10-2025 23:08:54.322,59,RECV,7E000F8100073B024E373031362D45454136F0
06-10-2025 23:08:54.322,60,RECV,7E000F8100062F024E363031362D5A364451DA
06-10-2025 23:08:54.370,61,RECV,7E000F81000834024E383031372D434B303205
06-10-2025 23:08:54.390,62,RECV,7E000F8100073B024E373031372D4F333250EC
06-10-2025 23:08:54.390,63,RECV,7E000F8100062F024E363031372D304743380C
06-10-2025 23:08:54.470,64,RECV,7E000F81000834024E383031382D34325451E9
06-10-2025 23:08:54.472,65,RECV,7E000F8100073B024E373031382D4A57454ABF
06-10-2025 23:08:54.473,66,RECV,7E000F8100062F024E363031382D595A4D34C9
06-10-2025 23:08:54.570,67,RECV,7E000F81000834024E383031392D384E393004
06-10-2025 23:08:54.570,68,RECV,7E000F8100073B024E373031392D4437315AE8
06-10-2025 23:08:54.570,69,RECV,7E000F8100062F024E363031392D34543258EA
06-10-2025 23:08:54.621,70,RECV,7E000F81000834024E383032302D364233450B
06-10-2025 23:08:54.671,71,RECV,7E000F8100073B024E373032302D57384D38E2
