06-10-2025 21:27:33.898,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-10-2025 21:26:50.589,0,RECV,7E000F81000834024E383030302D58574643C5
06-10-2025 21:26:50.593,1,RECV,7E000F8100062F024E363030302D464733357D31
06-10-2025 21:26:50.671,2,RECV,7E000F81000630024E363030312D384C4445F7
06-10-2025 21:26:50.671,3,RECV,7E000F81000630024E363030322D49534354D0
06-10-2025 21:26:50.671,4,RECV,7E000F81000630024E363030332D4B395853D3
06-10-2025 21:26:50.671,5,RECV,7E000F8100073C024E373030332D3958385AD1
06-10-2025 21:26:50.671,6,RECV,7E000F81000536024E353030332D32523757EC
06-10-2025 21:26:50.672,7,RECV,7E000F8100062F024E363030342D48554C39E0
06-10-2025 21:26:50.672,8,RECV,7E000F81000536024E353030342D4D425655C3
06-10-2025 21:26:50.672,9,RECV,7E000F8100062F024E363030352D41554C35EA
06-10-2025 21:26:50.672,10,RECV,7E000F8100073C024E373030352D584D4C52AF
06-10-2025 21:26:50.673,11,RECV,7E000F81000630024E363030362D474E4B47D8
06-10-2025 21:26:50.673,12,RECV,7E000F81000536024E353030362D3248493206
06-10-2025 21:26:50.673,13,RECV,7E000F81000630024E363030372D474D4234F4
06-10-2025 21:26:50.673,14,RECV,7E000F8100062F024E363030382D32375A3506
06-10-2025 21:26:50.675,15,RECV,7E000F8100073C024E373030372D48544545CA
06-10-2025 21:26:50.676,16,RECV,7E000F81000630024E363030392D4D4F3137F8
06-10-2025 21:26:50.676,17,RECV,7E000F8100073C024E373030382D5A53464CB0
06-10-2025 21:26:50.676,18,RECV,7E000F8100073C024E373030392D56554145BD
06-10-2025 21:26:50.676,19,RECV,7E000F81000630024E363031302D57355257CF
06-10-2025 21:26:50.684,20,RECV,7E000F81000835024E383031312D4D594134DF
06-10-2025 21:26:50.684,21,RECV,7E000F8100062F024E363031312D4F425245DC
06-10-2025 21:26:50.684,22,RECV,7E000F81000630024E363031322D32505533F8
06-10-2025 21:26:50.686,23,RECV,7E000F81000536024E353031322D563730340D
06-10-2025 21:26:50.686,24,RECV,7E000F8100062F024E363031332D59353154EF
06-10-2025 21:26:50.686,25,RECV,7E000F81000630024E363031342D4A52344EE2
06-10-2025 21:26:50.686,26,RECV,7E000F8100062F024E363031352D58363544F9
06-10-2025 21:26:50.686,27,RECV,7E000F81000536024E353031352D53314B48E4
06-10-2025 21:26:50.766,28,RECV,7E000F8100062F024E363031362D5A325437E8
06-10-2025 21:26:50.795,29,RECV,7E000F81000537024E353031362D42525444CD
06-10-2025 21:26:50.795,30,RECV,7E000F81000630024E363031372D5734515AC7
06-10-2025 21:26:50.795,31,RECV,7E000F81000536024E353031372D48483044F5
06-10-2025 21:26:50.795,32,RECV,7E000F8100062F024E363031382D49314D3600
06-10-2025 21:26:50.795,33,RECV,7E000F81000536024E353031382D355A4D56C6
06-10-2025 21:26:50.795,34,RECV,7E000F81000537024E353031392D4B484B57C1
06-10-2025 21:26:50.795,35,RECV,7E000F81000630024E363032302D4D514353CF
06-10-2025 21:26:50.795,36,RECV,7E000F8100062F024E363032312D4159363003
06-10-2025 21:26:50.795,37,RECV,7E000F81000630024E363032322D504E3537F7
06-10-2025 21:26:50.795,38,RECV,7E000F8100062F024E363032332D39455142F0
06-10-2025 21:26:50.795,39,RECV,7E000F8100062F024E363032342D46473758E4
06-10-2025 21:26:50.795,40,RECV,7E000F8100062F024E363032352D4358494AD1
06-10-2025 21:26:50.795,41,RECV,7E000F8100062F024E363032362D554E4152C8
06-10-2025 21:26:50.795,42,RECV,7E000F8100062F024E363032372D5A475A30D2
06-10-2025 21:26:50.795,43,RECV,7E000F8100062F024E363032382D55313957E6
06-10-2025 21:26:50.795,44,RECV,7E000F8100062F024E363032392D57374A38EB
06-10-2025 21:26:50.795,45,RECV,7E000F8100062F024E363033302D524C303500
06-10-2025 21:26:50.795,46,RECV,7E000F8100062F024E363033312D53345350D8
06-10-2025 21:26:50.795,47,RECV,7E000F81000630024E363033332D54335144E3
06-10-2025 21:26:50.795,48,RECV,7E000F8100062F024E363033342D325A4238F9
06-10-2025 21:26:50.795,49,RECV,7E000F81000630024E363033352D49454F4DD3
06-10-2025 21:26:50.795,50,RECV,7E000F81000536024E353033352D4548364BEB
06-10-2025 21:26:50.795,51,RECV,7E000F8100062F024E363033362D4333343122
06-10-2025 21:26:50.795,52,RECV,7E000F8100062F024E363033372D384F584DD0
06-10-2025 21:26:50.795,53,RECV,7E000F81000630024E363033382D56544D35CE
06-10-2025 21:26:50.859,54,RECV,7E000F8100062F024E363033392D30424F3306
06-10-2025 21:26:50.860,55,RECV,7E000F8100062F024E363034312D56444130F6
06-10-2025 21:26:50.860,56,RECV,7E000F8100062F024E363034322D38374B4AFC
06-10-2025 21:26:50.860,57,RECV,7E000F8100062F024E363034332D4D5A4F33D6
06-10-2025 21:26:50.860,58,RECV,7E000F81000630024E363034342D56594B4CB7
06-10-2025 21:26:50.861,59,RECV,7E000F8100062F024E363034352D4C304259E6
06-10-2025 21:26:50.862,60,RECV,7E000F8100062F024E363034362D584F4F4DB9
06-10-2025 21:26:50.862,61,RECV,7E000F8100062F024E363034372D4E52434CCC
06-10-2025 21:26:50.862,62,RECV,7E000F8100062F024E363034382D4455434BD3
06-10-2025 21:26:50.862,63,RECV,7E000F81000537024E353034382D4C595135C9
06-10-2025 21:26:50.862,64,RECV,7E000F8100062F024E363034392D52484331EB
06-10-2025 21:26:50.862,65,RECV,7E000F81000536024E353034392D33474E39F3
06-10-2025 21:26:50.862,66,RECV,7E000F81000630024E363035302D3847384702
06-10-2025 21:26:50.862,67,RECV,7E000F81000537024E353035302D5A365455C2
06-10-2025 21:26:50.862,68,RECV,7E000F81000630024E363035312D32414F52EB
06-10-2025 21:26:50.863,69,RECV,7E000F81000536024E353035312D30474F4EE7
06-10-2025 21:26:50.863,70,RECV,7E000F81000537024E353035322D45465556C3
06-10-2025 21:26:50.863,71,RECV,7E000F8100062F024E363035332D3255374DF3
06-10-2025 21:26:50.863,72,RECV,7E000F81000537024E353035332D56515734C6
06-10-2025 21:26:50.863,73,RECV,7E000F81000630024E363035342D35314259FB
06-10-2025 21:26:50.864,74,RECV,7E000F81000537024E353035342D46553141EA
06-10-2025 21:26:50.864,75,RECV,7E000F81000630024E363035352D34535641DD
06-10-2025 21:26:50.864,76,RECV,7E000F81000537024E353035352D5330373507
06-10-2025 21:26:50.864,77,RECV,7E000F8100062F024E363035362D4E34574FD3
06-10-2025 21:26:50.865,78,RECV,7E000F81000536024E353035362D32334458F5
06-10-2025 21:26:50.865,79,RECV,7E000F81000537024E353035372D47505646C1
06-10-2025 21:26:50.956,80,RECV,7E000F81000630024E363035382D4B424A4FD2
06-10-2025 21:26:50.956,81,RECV,7E000F81000537024E353035382D47354836F9
06-10-2025 21:26:50.956,82,RECV,7E000F81000630024E363035392D32324356FA
06-10-2025 21:26:50.956,83,RECV,7E000F81000536024E353035392D34354A49F7
06-10-2025 21:26:50.956,84,RECV,7E000F81000630024E363036302D45435A51CC
06-10-2025 21:26:50.956,85,RECV,7E000F81000537024E353036302D4A375652D1
06-10-2025 21:26:50.956,86,RECV,7E000F8100062F024E363036312D49354D4CE8
06-10-2025 21:26:50.956,87,RECV,7E000F81000537024E353036312D53345342DD
06-10-2025 21:26:50.956,88,RECV,7E000F8100062F024E363036322D4E524350CB
06-10-2025 21:26:50.956,89,RECV,7E000F81000537024E353036322D3149584CDA
06-10-2025 21:26:50.956,90,RECV,7E000F81000630024E363036332D3636544AF2
06-10-2025 21:26:50.957,91,RECV,7E000F81000833024E383036322D3642484EE8
06-10-2025 21:26:50.957,92,RECV,7E000F8100062F024E363036342D34304E3812
06-10-2025 21:26:50.957,93,RECV,7E000F81000537024E353036342D34525545D6
06-10-2025 21:26:50.957,94,RECV,7E000F8100062F024E363036352D534F5346C0
06-10-2025 21:26:50.957,95,RECV,7E000F8100062F024E363036362D52483359D4
06-10-2025 21:26:50.957,96,RECV,7E000F81000630024E363036372D3645344FFA
06-10-2025 21:26:50.957,97,RECV,7E000F8100062F024E363036382D37564936EC
06-10-2025 21:26:50.957,98,RECV,7E000F8100062F024E363036392D4A34373909
06-10-2025 21:26:50.957,99,RECV,7E000F8100062F024E363037302D424F5759BE
06-10-2025 21:26:50.957,100,RECV,7E000F8100062F024E363037312D4358365AD3
06-10-2025 21:26:50.957,101,RECV,7E000F8100062F024E363037322D30515932F1
06-10-2025 21:26:50.957,102,RECV,7E000F8100062F024E363037332D5A474959B9
06-10-2025 21:26:50.957,103,RECV,7E000F8100062F024E363037342D45513333FF
06-10-2025 21:26:50.957,104,RECV,7E000F8100062F024E363037352D59473851D1
06-10-2025 21:26:50.957,105,RECV,7E000F81000630024E363037362D41374747F2
06-10-2025 21:26:51.049,106,RECV,7E000F8100062F024E363037372D395A3632FD
06-10-2025 21:26:51.073,107,RECV,7E000F81000537024E353037372D57414733E0
06-10-2025 21:26:51.073,108,RECV,7E000F81000630024E363037382D50474346D6
06-10-2025 21:26:51.073,109,RECV,7E000F81000537024E353037382D58514A45B9
06-10-2025 21:26:51.073,110,RECV,7E000F8100062F024E363037392D584A5452AE
06-10-2025 21:26:51.073,111,RECV,7E000F81000537024E353037392D4143514DCE
06-10-2025 21:26:51.074,112,RECV,7E000F8100062F024E363038302D5331584ED4
06-10-2025 21:26:51.074,113,RECV,7E000F8100062F024E363038312D3853355AE3
06-10-2025 21:26:51.074,114,RECV,7E000F8100062F024E363038322D4F365055D2
06-10-2025 21:26:51.074,115,RECV,7E000F8100062F024E363038332D45563055DB
06-10-2025 21:26:51.074,116,RECV,7E000F8100062F024E363038342D56424942D7
06-10-2025 21:26:51.074,117,RECV,7E000F8100062F024E363038352D384B504DD9
06-10-2025 21:26:51.074,118,RECV,7E000F8100062F024E363038362D3031394519
06-10-2025 21:26:51.074,119,RECV,7E000F8100062F024E363038372D44544E4EC3
06-10-2025 21:26:51.074,120,RECV,7E000F8100062F024E363038382D35545A31E2
06-10-2025 21:26:51.074,121,RECV,7E000F8100062F024E363038392D3750464ADE
06-10-2025 21:26:51.074,122,RECV,7E000F8100062F024E363039302D46334546F9
06-10-2025 21:26:51.074,123,RECV,7E000F81000630024E363039312D4C4E3837F2
06-10-2025 21:26:51.074,124,RECV,7E000F81000630024E363039332D53363943F4
06-10-2025 21:26:51.074,125,RECV,7E000F81000630024E363039342D5952424CBF
06-10-2025 21:26:51.074,126,RECV,7E000F81000630024E363039352D5A303458E1
06-10-2025 21:26:51.074,127,RECV,7E000F81000630024E363039362D51454E51C1
06-10-2025 21:26:51.074,128,RECV,7E000F8100062F024E363039372D333636490E
06-10-2025 21:26:51.074,129,RECV,7E000F81000536024E353039372D42345757CD
06-10-2025 21:26:51.074,130,RECV,7E000F8100062F024E363039382D48534D49C4
06-10-2025 21:26:51.074,131,RECV,7E000F81000536024E353039382D5A363254DA
06-10-2025 21:26:51.074,132,RECV,7E000F8100062F024E363039392D33425148E6
06-10-2025 21:26:51.074,133,RECV,7E000F81000536024E353039392D35434756DA
06-10-2025 21:26:51.074,134,RECV,7E000F81000835024E383039392D52354153CF
