06-10-2025 18:58:51.014,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-10-2025 18:58:38.028,0,RECV,7E000F81000420024E343030302D47364859FB
06-10-2025 18:58:38.029,1,RECV,7E000F8100031A024E333030302D33575358EC
06-10-2025 18:58:38.030,2,RECV,7E000F81000537024E353030302D54363657E9
06-10-2025 18:58:38.078,3,RECV,7E000F8100073C024E373030312D4930334802
06-10-2025 18:58:38.078,4,RECV,7E000F8100031A024E333030312D4E415855E4
06-10-2025 18:58:38.078,5,RECV,7E000F8100041F024E343030312D423243580A
06-10-2025 18:58:38.079,6,RECV,7E000F8100062F024E363030312D345A4E52D7
06-10-2025 18:58:38.099,7,RECV,7E000F81000835024E383030322D4C485441D1
06-10-2025 18:58:38.126,8,RECV,7E000F81000420024E343030322D4755353412
06-10-2025 18:58:38.126,9,RECV,7E000F8100031A024E333030322D41495353EF
06-10-2025 18:58:38.126,10,RECV,7E000F81000537024E353030322D444B3345F7
06-10-2025 18:58:38.126,11,RECV,7E000F81000630024E363030322D4A3931341B
06-10-2025 18:58:38.128,12,RECV,7E000F81000835024E383030332D34563554E6
06-10-2025 18:58:38.128,13,RECV,7E000F81000420024E343030332D39434F51FA
06-10-2025 18:58:38.128,14,RECV,7E000F8100073C024E373030332D4C325255CF
06-10-2025 18:58:38.128,15,RECV,7E000F8100031A024E333030332D43594E37FD
06-10-2025 18:58:38.128,16,RECV,7E000F81000630024E363030332D4745514BDA
06-10-2025 18:58:38.178,17,RECV,7E000F81000835024E383030342D324F36330E
06-10-2025 18:58:38.178,18,RECV,7E000F81000420024E343030342D4254334B01
06-10-2025 18:58:38.178,19,RECV,7E000F8100073C024E373030342D38525053C6
06-10-2025 18:58:38.178,20,RECV,7E000F8100031A024E333030342D424A364F0C
06-10-2025 18:58:38.178,21,RECV,7E000F81000537024E353030342D58453258D5
06-10-2025 18:58:38.178,22,RECV,7E000F81000630024E363030342D48463349F7
06-10-2025 18:58:38.178,23,RECV,7E000F81000835024E383030352D4936534BDA
06-10-2025 18:58:38.179,24,RECV,7E000F81000420024E343030352D5A414E59D2
06-10-2025 18:58:38.179,25,RECV,7E000F8100073C024E373030352D38335446ED
06-10-2025 18:58:38.179,26,RECV,7E000F8100031A024E333030352D475A5630F5
06-10-2025 18:58:38.179,27,RECV,7E000F81000536024E353030352D5A363543F4
06-10-2025 18:58:38.179,28,RECV,7E000F81000630024E363030352D345934340B
06-10-2025 18:58:38.228,29,RECV,7E000F81000835024E383030362D35493352F3
06-10-2025 18:58:38.229,30,RECV,7E000F81000420024E343030362D5644565AC9
06-10-2025 18:58:38.229,31,RECV,7E000F8100073C024E373030362D36504E4AD3
06-10-2025 18:58:38.229,32,RECV,7E000F8100031A024E333030362D4734493324
06-10-2025 18:58:38.230,33,RECV,7E000F81000536024E353030362D354F4258DD
06-10-2025 18:58:38.230,34,RECV,7E000F81000630024E363030362D5442374FE3
06-10-2025 18:58:38.278,35,RECV,7E000F81000835024E383030372D344A4C47E4
06-10-2025 18:58:38.297,36,RECV,7E000F81000420024E343030372D3542313931
06-10-2025 18:58:38.297,37,RECV,7E000F8100073C024E373030372D51563642D1
06-10-2025 18:58:38.297,38,RECV,7E000F8100031A024E333030372D43474A56F0
06-10-2025 18:58:38.297,39,RECV,7E000F81000536024E353030372D513034327D33
06-10-2025 18:58:38.297,40,RECV,7E000F81000630024E363030372D4F353946FB
06-10-2025 18:58:38.297,41,RECV,7E000F81000834024E383030382D4F375938DE
06-10-2025 18:58:38.297,42,RECV,7E000F81000420024E343030382D384134392B
06-10-2025 18:58:38.297,43,RECV,7E000F8100073C024E373030382D534C534FAE
06-10-2025 18:58:38.297,44,RECV,7E000F8100031A024E333030382D4145464805
06-10-2025 18:58:38.297,45,RECV,7E000F81000536024E353030382D54545445B8
06-10-2025 18:58:38.297,46,RECV,7E000F81000630024E363030382D53544645CB
06-10-2025 18:58:38.328,47,RECV,7E000F81000834024E383030392D3049594AD8
06-10-2025 18:58:38.329,48,RECV,7E000F81000420024E343030392D59593945E0
06-10-2025 18:58:38.329,49,RECV,7E000F8100073C024E373030392D36574E34DF
06-10-2025 18:58:38.329,50,RECV,7E000F8100031A024E333030392D36374D4519
06-10-2025 18:58:38.329,51,RECV,7E000F81000536024E353030392D57335048D6
06-10-2025 18:58:38.329,52,RECV,7E000F81000630024E363030392D36495045E8
06-10-2025 18:58:38.379,53,RECV,7E000F81000834024E383031302D464E534EC7
06-10-2025 18:58:38.379,54,RECV,7E000F81000420024E343031302D4C5A4254DC
06-10-2025 18:58:38.379,55,RECV,7E000F8100073B024E373031302D5A4A3848D3
06-10-2025 18:58:38.379,56,RECV,7E000F8100031A024E333031302D4E30544E00
06-10-2025 18:58:38.380,57,RECV,7E000F81000536024E353031302D464236360C
06-10-2025 18:58:38.380,58,RECV,7E000F81000630024E363031302D30565032FC
06-10-2025 18:58:38.380,59,RECV,7E000F81000834024E383031312D484D4E31E7
06-10-2025 18:58:38.380,60,RECV,7E000F81000420024E343031312D575A5846C8
06-10-2025 18:58:38.380,61,RECV,7E000F8100073B024E373031312D4A414E46D7
06-10-2025 18:58:38.381,62,RECV,7E000F8100031A024E333031312D4D355A5AE9
06-10-2025 18:58:38.381,63,RECV,7E000F81000630024E363031312D31454E56E9
06-10-2025 18:58:38.429,64,RECV,7E000F81000834024E383031322D45564A43D2
06-10-2025 18:58:38.463,65,RECV,7E000F81000420024E343031322D3237485015
06-10-2025 18:58:38.463,66,RECV,7E000F8100073B024E373031322D5141484FCC
06-10-2025 18:58:38.463,67,RECV,7E000F8100031A024E333031322D5A4D393707
06-10-2025 18:58:38.463,68,RECV,7E000F8100062F024E363031322D4C514D37E2
06-10-2025 18:58:38.463,69,RECV,7E000F81000834024E383031332D4D364D47E2
06-10-2025 18:58:38.463,70,RECV,7E000F81000420024E343031332D4E304F390F
06-10-2025 18:58:38.463,71,RECV,7E000F8100073B024E373031332D49505A45BC
06-10-2025 18:58:38.463,72,RECV,7E000F8100031A024E333031332D52574C4DDB
06-10-2025 18:58:38.463,73,RECV,7E000F8100062F024E363031332D45455649D9
06-10-2025 18:58:38.463,74,RECV,7E000F81000834024E383031342D50375331ED
06-10-2025 18:58:38.463,75,RECV,7E000F81000420024E343031342D5959545AB4
06-10-2025 18:58:38.463,76,RECV,7E000F8100073B024E373031342D324D5941DA
06-10-2025 18:58:38.463,77,RECV,7E000F8100031A024E333031342D30524A55FB
06-10-2025 18:58:38.463,78,RECV,7E000F8100062F024E363031342D3130324C22
06-10-2025 18:58:38.463,79,RECV,7E000F81000834024E383031352D49445144D5
06-10-2025 18:58:38.479,80,RECV,7E000F81000420024E343031352D554E4C31F3
06-10-2025 18:58:38.479,81,RECV,7E000F8100073B024E373031352D494B465ABE
06-10-2025 18:58:38.489,82,RECV,7E000F8100031A024E333031352D30484A5702
06-10-2025 18:58:38.489,83,RECV,7E000F8100062F024E363031352D3255554ED6
06-10-2025 18:58:38.489,84,RECV,7E000F81000834024E383031362D56524158B5
06-10-2025 18:58:38.529,85,RECV,7E000F81000420024E343031362D4C4D4342F4
06-10-2025 18:58:38.529,86,RECV,7E000F8100073B024E373031362D41374F4FDB
06-10-2025 18:58:38.529,87,RECV,7E000F8100031A024E333031362D4C554442F3
