06-11-2025 20:00:07.872,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-11-2025 19:59:33.365,0,RECV,7E000F8100062E024E363030302D58543838EB
06-11-2025 19:59:33.366,1,RECV,7E000F81000534024E353030302D36355452F2
06-11-2025 19:59:33.371,2,RECV,7E000F8100062C024E363030312D52594453C6
06-11-2025 19:59:33.416,3,RECV,7E000F8100062E024E363030322D48504334F6
06-11-2025 19:59:33.417,4,RECV,7E000F81000534024E353030322D5A443549E5
06-11-2025 19:59:33.417,5,RECV,7E000F8100062E024E363030332D4951554DC8
06-11-2025 19:59:33.417,6,RECV,7E000F81000534024E353030332D5A4E5344C1
06-11-2025 19:59:33.467,7,RECV,7E000F8100062E024E363030342D4A3247330D
06-11-2025 19:59:33.467,8,RECV,7E000F81000534024E353030342D4C593339EE
06-11-2025 19:59:33.467,9,RECV,7E000F8100062E024E363030352D3355353510
06-11-2025 19:59:33.478,10,RECV,7E000F81000534024E353030352D464B5430E9
06-11-2025 19:59:33.517,11,RECV,7E000F8100062E024E363030362D4138545ADA
06-11-2025 19:59:33.517,12,RECV,7E000F81000534024E353030362D4A474D43DC
06-11-2025 19:59:33.528,13,RECV,7E000F8100062E024E363030372D5039364CF5
06-11-2025 19:59:33.530,14,RECV,7E000F81000534024E353030372D51424855CC
06-11-2025 19:59:33.567,15,RECV,7E000F8100062E024E363030382D55475A30D9
06-11-2025 19:59:33.626,16,RECV,7E000F81000534024E353030382D4D525432D6
06-11-2025 19:59:33.626,17,RECV,7E000F8100062E024E363030392D4E41324BF2
06-11-2025 19:59:33.626,18,RECV,7E000F81000534024E353030392D57473752D3
06-11-2025 19:59:33.626,19,RECV,7E000F8100062E024E363031302D4844564CD8
06-11-2025 19:59:33.626,20,RECV,7E000F81000534024E353031302D3859383405
06-11-2025 19:59:33.667,21,RECV,7E000F8100062F024E363031312D3333493322
06-11-2025 19:59:33.667,22,RECV,7E000F81000535024E353031312D4D49384AE8
06-11-2025 19:59:33.668,23,RECV,7E000F8100062E024E363031322D45425649DE
06-11-2025 19:59:33.717,24,RECV,7E000F8100062E024E363031332D475A5745C6
06-11-2025 19:59:33.729,25,RECV,7E000F8100062E024E363031342D5730394DF5
06-11-2025 19:59:33.768,26,RECV,7E000F8100062E024E363031352D4D4333310D
06-11-2025 19:59:33.804,27,RECV,7E000F8100062E024E363031362D3839424D00
06-11-2025 19:59:33.818,28,RECV,7E000F8100062E024E363031372D4B495052C9
06-11-2025 19:59:33.821,29,RECV,7E000F8100062E024E363031382D5431354301
06-11-2025 19:59:33.868,30,RECV,7E000F81000534024E353031392D56445231DC
06-11-2025 19:59:33.870,31,RECV,7E000F8100062E024E363031392D5659374FC8
06-11-2025 19:59:33.870,32,RECV,7E000F81000535024E353032302D4D394B32FD
06-11-2025 19:59:33.870,33,RECV,7E000F8100062E024E363032302D3830584104
06-11-2025 19:59:33.918,34,RECV,7E000F81000535024E353032312D3343414206
06-11-2025 19:59:33.930,35,RECV,7E000F8100062E024E363032312D5149304DED
06-11-2025 19:59:33.930,36,RECV,7E000F81000535024E353032322D3738504EF1
06-11-2025 19:59:33.930,37,RECV,7E000F8100062E024E363032322D3432324229
06-11-2025 19:59:33.968,38,RECV,7E000F81000535024E353032332D464A4B47DB
06-11-2025 19:59:33.969,39,RECV,7E000F8100062E024E363032332D4145393310
06-11-2025 19:59:33.969,40,RECV,7E000F81000534024E353032342D484C4C39E4
06-11-2025 19:59:33.978,41,RECV,7E000F8100062E024E363032342D4741453301
06-11-2025 19:59:34.018,42,RECV,7E000F81000535024E353032352D464C5350C6
06-11-2025 19:59:34.044,43,RECV,7E000F8100062E024E363032352D34553645FC
06-11-2025 19:59:34.068,44,RECV,7E000F81000535024E353032362D44594542D6
06-11-2025 19:59:34.068,45,RECV,7E000F8100062F024E363032362D46374D44F0
06-11-2025 19:59:34.068,46,RECV,7E000F81000535024E353032372D49573342E4
06-11-2025 19:59:34.069,47,RECV,7E000F8100062E024E363032372D4F4B3431FF
06-11-2025 19:59:34.075,48,RECV,7E000F81000535024E353032382D3652524ED0
06-11-2025 19:59:34.075,49,RECV,7E000F8100062E024E363032382D57503648D8
06-11-2025 19:59:34.119,50,RECV,7E000F81000535024E353032392D42594641D5
06-11-2025 19:59:34.119,51,RECV,7E000F8100062F024E363032392D464D314DEA
06-11-2025 19:59:34.119,52,RECV,7E000F81000535024E353033302D484D5955BC
06-11-2025 19:59:34.139,53,RECV,7E000F8100062F024E363033302D45545446D0
06-11-2025 19:59:34.169,54,RECV,7E000F81000535024E353033312D505A4633DB
06-11-2025 19:59:34.196,55,RECV,7E000F8100062E024E363033312D39415642F1
06-11-2025 19:59:34.196,56,RECV,7E000F81000535024E353033322D575A4D44BB
06-11-2025 19:59:34.221,57,RECV,7E000F8100062E024E363033322D35384E3116
06-11-2025 19:59:34.230,58,RECV,7E000F81000535024E353033332D3136334C16
06-11-2025 19:59:34.230,59,RECV,7E000F8100062E024E363033332D3543534FE7
06-11-2025 19:59:34.271,60,RECV,7E000F81000535024E353033342D4C555958A9
06-11-2025 19:59:34.271,61,RECV,7E000F8100062E024E363033342D5A584E42BE
06-11-2025 19:59:34.271,62,RECV,7E000F81000535024E353033352D5A32333803
06-11-2025 19:59:34.271,63,RECV,7E000F8100062E024E363033352D544B564FBB
06-11-2025 19:59:34.321,64,RECV,7E000F81000535024E353033362D41594236E7
06-11-2025 19:59:34.331,65,RECV,7E000F8100062E024E363033362D5746474ECC
06-11-2025 19:59:34.331,66,RECV,7E000F81000534024E353033372D3445373910
06-11-2025 19:59:34.331,67,RECV,7E000F8100062E024E363033372D47584A33E1
06-11-2025 19:59:34.371,68,RECV,7E000F81000534024E353033382D5750504AB7
06-11-2025 19:59:34.372,69,RECV,7E000F8100062E024E363033382D5045444CD7
06-11-2025 19:59:34.399,70,RECV,7E000F81000535024E353033392D5A413450D7
06-11-2025 19:59:34.399,71,RECV,7E000F8100062F024E363033392D56544446C6
06-11-2025 19:59:34.399,72,RECV,7E000F81000535024E353034302D38483847FF
06-11-2025 19:59:34.399,73,RECV,7E000F8100062F024E363034302D59304554E0
06-11-2025 19:59:34.422,74,RECV,7E000F81000535024E353034312D3330504109
06-11-2025 19:59:34.422,75,RECV,7E000F8100062F024E363034312D4C545642C9
06-11-2025 19:59:34.472,76,RECV,7E000F81000536024E353034322D5A35334BEE
06-11-2025 19:59:34.496,77,RECV,7E000F8100062F024E363034322D3657515AC8
06-11-2025 19:59:34.496,78,RECV,7E000F81000536024E353034332D57555253A9
06-11-2025 19:59:34.496,79,RECV,7E000F8100062F024E363034332D383247321C
06-11-2025 19:59:34.522,80,RECV,7E000F81000536024E353034342D5A415543C6
06-11-2025 19:59:34.522,81,RECV,7E000F8100062F024E363034342D53334C47E5
06-11-2025 19:59:34.522,82,RECV,7E000F81000535024E353034352D4D414A5AC7
