06-11-2025 19:44:32.013,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-11-2025 19:43:42.499,0,RECV,7E000F81000833024E383030302D41555957B8
06-11-2025 19:43:42.500,1,RECV,7E000F8100073D024E373030302D4D305030F9
06-11-2025 19:43:42.570,2,RECV,7E000F81000833024E383030312D3254434DE7
06-11-2025 19:43:42.570,3,RECV,7E000F81000834024E383030322D35505232F2
06-11-2025 19:43:42.570,4,RECV,7E000F81000833024E383030332D4F375146DE
06-11-2025 19:43:42.570,5,RECV,7E000F81000833024E383030342D4D585A30CB
06-11-2025 19:43:42.570,6,RECV,7E000F81000833024E383030352D534E474BC6
06-11-2025 19:43:42.570,7,RECV,7E000F81000833024E383030362D4E43584FC0
06-11-2025 19:43:42.570,8,RECV,7E000F81000833024E383030372D52545352AC
06-11-2025 19:43:42.570,9,RECV,7E000F8100073D024E373030362D584D5635C0
06-11-2025 19:43:42.570,10,RECV,7E000F81000833024E383030382D58553458BD
06-11-2025 19:43:42.570,11,RECV,7E000F8100073E024E373030372D4B434657C3
06-11-2025 19:43:42.570,12,RECV,7E000F81000833024E383030392D484C4A4FC8
06-11-2025 19:43:42.571,13,RECV,7E000F8100073D024E373030382D3746464FDC
06-11-2025 19:43:42.571,14,RECV,7E000F81000833024E383031302D323046480D
06-11-2025 19:43:42.571,15,RECV,7E000F8100073E024E373030392D524E4B51B0
06-11-2025 19:43:42.571,16,RECV,7E000F81000833024E383031312D5932323609
06-11-2025 19:43:42.571,17,RECV,7E000F81000833024E383031322D3431574DF2
06-11-2025 19:43:42.571,18,RECV,7E000F81000833024E383031332D59464A33DE
06-11-2025 19:43:42.571,19,RECV,7E000F81000834024E383031342D45505554BA
06-11-2025 19:43:42.571,20,RECV,7E000F81000833024E383031352D36514858D1
06-11-2025 19:43:42.571,21,RECV,7E000F81000833024E383031362D564C3754CA
06-11-2025 19:43:42.571,22,RECV,7E000F81000833024E383031372D344B5446DD
06-11-2025 19:43:42.571,23,RECV,7E000F81000833024E383031382D30325255EC
06-11-2025 19:43:42.571,24,RECV,7E000F81000833024E383031392D38525642D2
06-11-2025 19:43:42.571,25,RECV,7E000F81000832024E383032302D5039534CD5
06-11-2025 19:43:42.571,26,RECV,7E000F81000833024E383032312D4A49394FE0
06-11-2025 19:43:42.571,27,RECV,7E000F81000833024E383032322D4841304AF7
06-11-2025 19:43:42.571,28,RECV,7E000F81000832024E383032332D52454952C8
06-11-2025 19:43:42.699,29,RECV,7E000F8100073D024E373032322D38445A48D4
06-11-2025 19:43:42.699,30,RECV,7E000F81000833024E383032342D4648343105
06-11-2025 19:43:42.699,31,RECV,7E000F8100073D024E373032332D31535153C9
06-11-2025 19:43:42.699,32,RECV,7E000F81000833024E383032352D444A4A54CB
06-11-2025 19:43:42.699,33,RECV,7E000F8100073D024E373032342D46424347DE
06-11-2025 19:43:42.699,34,RECV,7E000F81000833024E383032362D414D3931FE
06-11-2025 19:43:42.699,35,RECV,7E000F8100073D024E373032352D57364256CA
06-11-2025 19:43:42.699,36,RECV,7E000F81000833024E383032372D52433844E4
06-11-2025 19:43:42.700,37,RECV,7E000F8100073D024E373032362D49385758BE
06-11-2025 19:43:42.700,38,RECV,7E000F81000833024E383032382D3655464BD8
06-11-2025 19:43:42.700,39,RECV,7E000F8100073D024E373032372D514E495AAB
06-11-2025 19:43:42.700,40,RECV,7E000F81000833024E383032392D33545030EC
06-11-2025 19:43:42.700,41,RECV,7E000F8100073E024E373032382D50415439CD
06-11-2025 19:43:42.700,42,RECV,7E000F81000833024E383033302D31585342DD
06-11-2025 19:43:42.700,43,RECV,7E000F81000833024E383033312D51373055ED
06-11-2025 19:43:42.700,44,RECV,7E000F81000833024E383033322D54594D50AF
06-11-2025 19:43:42.700,45,RECV,7E000F81000833024E383033332D3837384908
06-11-2025 19:43:42.700,46,RECV,7E000F81000832024E383033342D3432593108
06-11-2025 19:43:42.700,47,RECV,7E000F81000832024E383033352D4435374601
06-11-2025 19:43:42.700,48,RECV,7E000F81000832024E383033362D56474130E8
06-11-2025 19:43:42.700,49,RECV,7E000F81000832024E383033372D55464D55B8
06-11-2025 19:43:42.700,50,RECV,7E000F81000833024E383033382D37445335F0
06-11-2025 19:43:42.700,51,RECV,7E000F81000832024E383033392D56425A47BA
06-11-2025 19:43:42.700,52,RECV,7E000F81000833024E383034302D56454459C2
06-11-2025 19:43:42.700,53,RECV,7E000F81000833024E383034312D50453246EC
06-11-2025 19:43:42.700,54,RECV,7E000F81000832024E383034322D46445245D8
06-11-2025 19:43:42.761,55,RECV,7E000F81000833024E383034332D42465044DB
06-11-2025 19:43:42.778,56,RECV,7E000F8100073E024E373034322D51545230C8
06-11-2025 19:43:42.778,57,RECV,7E000F81000833024E383034342D5A574334CE
06-11-2025 19:43:42.778,58,RECV,7E000F8100073E024E373034332D37365833F6
06-11-2025 19:43:42.778,59,RECV,7E000F81000833024E383034352D30535458C6
06-11-2025 19:43:42.778,60,RECV,7E000F8100073E024E373034342D343444370A
06-11-2025 19:43:42.778,61,RECV,7E000F81000833024E383034362D564C5030D2
06-11-2025 19:43:42.778,62,RECV,7E000F8100073D024E373034352D5A355837CF
06-11-2025 19:43:42.778,63,RECV,7E000F81000832024E383034372D4957454EC1
06-11-2025 19:43:42.778,64,RECV,7E000F8100073E024E373034362D494F5356AA
06-11-2025 19:43:42.778,65,RECV,7E000F81000833024E383034382D59394541DA
06-11-2025 19:43:42.778,66,RECV,7E000F8100073E024E373034372D414F3750D3
06-11-2025 19:43:42.778,67,RECV,7E000F81000832024E383034392D4D545747B3
06-11-2025 19:43:42.778,68,RECV,7E000F8100073E024E373034382D32305238FD
06-11-2025 19:43:42.778,69,RECV,7E000F81000833024E383035302D44474556D3
06-11-2025 19:43:42.778,70,RECV,7E000F8100073E024E373034392D38504556C5
06-11-2025 19:43:42.778,71,RECV,7E000F81000833024E383035312D33465644E5
06-11-2025 19:43:42.778,72,RECV,7E000F81000833024E383035322D3349463401
06-11-2025 19:43:42.778,73,RECV,7E000F81000833024E383035332D444E5A38D2
06-11-2025 19:43:42.779,74,RECV,7E000F81000833024E383035342D394C424AE4
06-11-2025 19:43:42.779,75,RECV,7E000F81000834024E383035352D46523236F3
06-11-2025 19:43:42.779,76,RECV,7E000F81000833024E383035362D38445834EB
06-11-2025 19:43:42.779,77,RECV,7E000F81000833024E383035372D51514930D7
06-11-2025 19:43:42.779,78,RECV,7E000F81000833024E383035382D354B4647E4
06-11-2025 19:43:42.779,79,RECV,7E000F81000833024E383035392D3232353720
06-11-2025 19:43:42.779,80,RECV,7E000F81000833024E383036302D37394A48F6
06-11-2025 19:43:42.857,81,RECV,7E000F81000833024E383036312D3843433900
06-11-2025 19:43:42.858,82,RECV,7E000F81000833024E383036322D46453545F1
06-11-2025 19:43:42.858,83,RECV,7E000F8100073E024E373036312D37563244EB
06-11-2025 19:43:42.858,84,RECV,7E000F81000833024E383036332D43475936DC
06-11-2025 19:43:42.858,85,RECV,7E000F8100073E024E373036322D5A5A4542B2
06-11-2025 19:43:42.858,86,RECV,7E000F81000833024E383036342D4E37303807
06-11-2025 19:43:42.859,87,RECV,7E000F8100073E024E373036332D56334E43D2
06-11-2025 19:43:42.859,88,RECV,7E000F81000833024E383036352D3756334FE4
06-11-2025 19:43:42.859,89,RECV,7E000F8100073D024E373036342D4F4D594DAA
06-11-2025 19:43:42.859,90,RECV,7E000F81000833024E383036362D594F5646AE
06-11-2025 19:43:42.860,91,RECV,7E000F81000833024E383036372D5432343205
06-11-2025 19:43:42.860,92,RECV,7E000F81000833024E383036382D4E474351C7
06-11-2025 19:43:42.860,93,RECV,7E000F81000833024E383036392D38525559B7
06-11-2025 19:43:42.860,94,RECV,7E000F81000834024E383037302D38583436FC
06-11-2025 19:43:42.860,95,RECV,7E000F81000833024E383037312D56305345D8
06-11-2025 19:43:42.861,96,RECV,7E000F81000833024E383037322D46425034E9
06-11-2025 19:43:42.861,97,RECV,7E000F81000834024E383037332D4A51584BB5
06-11-2025 19:43:42.861,98,RECV,7E000F81000833024E383037342D47354B57D5
