09-07-2025 15:25:37.288,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

09-07-2025 15:25:07.318,0,RECV,7E000F8100063C024E363030302D55365130ED
09-07-2025 15:25:07.368,1,RECV,7E000F81000747024E373030312D3856344ADF
09-07-2025 15:25:07.369,2,RECV,7E000F8100063C024E363030312D31543751EB
09-07-2025 15:25:07.418,3,RECV,7E000F81000746024E373030322D4D324F48D5
09-07-2025 15:25:07.419,4,RECV,7E000F8100063C024E363030322D4837485AD6
09-07-2025 15:25:07.469,5,RECV,7E000F81000746024E373030332D52324F32E5
09-07-2025 15:25:07.469,6,RECV,7E000F8100063C024E363030332D385A5857B5
09-07-2025 15:25:07.519,7,RECV,7E000F8100054B024E353030342D3733324903
09-07-2025 15:25:07.519,8,RECV,7E000F81000746024E373030342D55425A51A7
09-07-2025 15:25:07.519,9,RECV,7E000F81000845024E383030342D4A4E5032CE
09-07-2025 15:25:07.529,10,RECV,7E000F8100054A024E353030352D51395436D4
09-07-2025 15:25:07.545,11,RECV,7E000F81000747024E373030352D51533859B2
09-07-2025 15:25:07.545,12,RECV,7E000F81000846024E383030352D51493150CB
09-07-2025 15:25:07.569,13,RECV,7E000F8100054B024E353030362D43573759BC
09-07-2025 15:25:07.575,14,RECV,7E000F81000747024E373030362D54555A43A0
09-07-2025 15:25:07.579,15,RECV,7E000F8100063C024E363030362D4E553158C7
09-07-2025 15:25:07.619,16,RECV,7E000F8100054B024E353030372D444D4258BA
09-07-2025 15:25:07.619,17,RECV,7E000F81000747024E373030372D4F574251AC
09-07-2025 15:25:07.619,18,RECV,7E000F81000846024E383030372D3453364ADD
09-07-2025 15:25:07.669,19,RECV,7E000F81000549024E353030382D5A315141C9
09-07-2025 15:25:07.669,20,RECV,7E000F81000747024E373030382D4D595738AF
09-07-2025 15:25:07.670,21,RECV,7E000F81000844024E383030382D545A56538E
09-07-2025 15:25:07.719,22,RECV,7E000F81000548024E353030392D51344D39DB
09-07-2025 15:25:07.730,23,RECV,7E000F81000746024E373030392D414B3545DE
09-07-2025 15:25:07.731,24,RECV,7E000F81000843024E383030392D545A59538B
09-07-2025 15:25:07.739,25,RECV,7E000F81000547024E353031302D514C3631EB
09-07-2025 15:25:07.740,26,RECV,7E000F81000746024E373031302D55395656B2
09-07-2025 15:25:07.740,27,RECV,7E000F81000843024E383031302D574E4D31CA
09-07-2025 15:25:07.769,28,RECV,7E000F81000547024E353031312D4E533131EB
