09-06-2025 22:52:13.953,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

09-06-2025 22:51:33.380,0,RECV,7E000F81000216024E323030302D5241574BF2
09-06-2025 22:51:33.383,1,RECV,7E000F8100041D024E343030302D474F5644EC
09-06-2025 22:51:33.447,2,RECV,7E000F81000325024E333030302D39565644ED
09-06-2025 22:51:33.447,3,RECV,7E000F81000216024E323030312D4C4631372C
09-06-2025 22:51:33.447,4,RECV,7E000F81000117024E313030312D4F5A433209
09-06-2025 22:51:33.447,5,RECV,7E000F81000215024E323030322D564C454CF3
09-06-2025 22:51:33.447,6,RECV,7E000F8100041D024E343030322D46444556F5
09-06-2025 22:51:33.447,7,RECV,7E000F81000216024E323030332D4641323437
09-06-2025 22:51:33.447,8,RECV,7E000F8100041D024E343030332D59524536F3
09-06-2025 22:51:33.447,9,RECV,7E000F81000117024E313030332D504B4B310E
09-06-2025 22:51:33.447,10,RECV,7E000F81000117024E313030342D4D4C4E5AE3
09-06-2025 22:51:33.447,11,RECV,7E000F8100041D024E343030342D33385956FE
09-06-2025 22:51:33.447,12,RECV,7E000F81000216024E323030342D4958374B00
09-06-2025 22:51:33.447,13,RECV,7E000F81000117024E313030352D454F594FE7
09-06-2025 22:51:33.447,14,RECV,7E000F81000216024E323030352D3533304842
09-06-2025 22:51:33.447,15,RECV,7E000F8100041D024E343030362D445A4647EB
09-06-2025 22:51:33.447,16,RECV,7E000F81000325024E333030372D465A4B36EE
09-06-2025 22:51:33.448,17,RECV,7E000F81000216024E323030372D47425A57E6
09-06-2025 22:51:33.448,18,RECV,7E000F8100041D024E343030372D5532414C01
09-06-2025 22:51:33.448,19,RECV,7E000F8100041D024E343030382D4243354B0F
09-06-2025 22:51:33.448,20,RECV,7E000F81000117024E313030392D4C34325716
09-06-2025 22:51:33.448,21,RECV,7E000F81000216024E323030392D584E435ADB
09-06-2025 22:51:33.448,22,RECV,7E000F81000324024E333031302D41584C55DC
09-06-2025 22:51:33.448,23,RECV,7E000F81000117024E313031302D51415246FD
09-06-2025 22:51:33.448,24,RECV,7E000F81000216024E323031302D3345454425
09-06-2025 22:51:33.448,25,RECV,7E000F81000324024E333031312D54435639EF
09-06-2025 22:51:33.448,26,RECV,7E000F81000117024E313031312D4D385855F4
09-06-2025 22:51:33.448,27,RECV,7E000F81000216024E323031312D3555504506
09-06-2025 22:51:33.540,28,RECV,7E000F8100041D024E343031312D5A304F4EF3
09-06-2025 22:51:33.541,29,RECV,7E000F81000117024E313031322D3356335910
09-06-2025 22:51:33.541,30,RECV,7E000F81000216024E323031322D374C4D4C08
09-06-2025 22:51:33.541,31,RECV,7E000F81000117024E313031332D37545351F5
09-06-2025 22:51:33.541,32,RECV,7E000F81000216024E323031332D4F56393312
09-06-2025 22:51:33.541,33,RECV,7E000F8100041D024E343031332D57484E31FA
09-06-2025 22:51:33.541,34,RECV,7E000F81000117024E313031342D475A493108
09-06-2025 22:51:33.541,35,RECV,7E000F81000216024E323031342D394A41411D
09-06-2025 22:51:33.541,36,RECV,7E000F81000117024E313031352D424E4C3610
09-06-2025 22:51:33.541,37,RECV,7E000F81000216024E323031352D3349475707
09-06-2025 22:51:33.541,38,RECV,7E000F81000326024E333031362D3648563109
09-06-2025 22:51:33.541,39,RECV,7E000F81000117024E313031362D584E4C37F8
09-06-2025 22:51:33.541,40,RECV,7E000F81000216024E323031362D483141372F
09-06-2025 22:51:33.541,41,RECV,7E000F81000117024E313031372D333459540C
09-06-2025 22:51:33.541,42,RECV,7E000F81000324024E333031382D474B30420A
09-06-2025 22:51:33.541,43,RECV,7E000F81000216024E323031372D323546373B
09-06-2025 22:51:33.541,44,RECV,7E000F81000216024E323031382D5834304F7D33
09-06-2025 22:51:33.541,45,RECV,7E000F8100041D024E343031382D57355949E5
09-06-2025 22:51:33.542,46,RECV,7E000F81000117024E313031392D4F41584BEB
09-06-2025 22:51:33.542,47,RECV,7E000F81000216024E323031392D443448302D
09-06-2025 22:51:33.542,48,RECV,7E000F81000117024E313032302D41434E5004
09-06-2025 22:51:33.542,49,RECV,7E000F8100041D024E343031392D3539533021
09-06-2025 22:51:33.542,50,RECV,7E000F81000216024E323032302D313633414A
09-06-2025 22:51:33.542,51,RECV,7E000F81000216024E323032312D58563754EB
09-06-2025 22:51:33.542,52,RECV,7E000F81000117024E313032322D4C43474707
09-06-2025 22:51:33.542,53,RECV,7E000F81000216024E323032322D34505A347D31
09-06-2025 22:51:33.632,54,RECV,7E000F81000325024E333032332D33534E47F6
09-06-2025 22:51:33.700,55,RECV,7E000F81000117024E313032332D42504F360C
09-06-2025 22:51:33.700,56,RECV,7E000F81000216024E323032332D3148325027
09-06-2025 22:51:33.700,57,RECV,7E000F81000117024E313032342D33424B481A
09-06-2025 22:51:33.700,58,RECV,7E000F8100041D024E343032332D3431555A03
09-06-2025 22:51:33.700,59,RECV,7E000F81000216024E323032342D5150344EFE
09-06-2025 22:51:33.700,60,RECV,7E000F81000117024E313032352D3342595AF9
09-06-2025 22:51:33.700,61,RECV,7E000F81000216024E323032352D5945324808
09-06-2025 22:51:33.700,62,RECV,7E000F81000117024E313032362D434C373525
09-06-2025 22:51:33.700,63,RECV,7E000F81000216024E323032362D4F4B464EF1
09-06-2025 22:51:33.700,64,RECV,7E000F81000117024E313032372D59535231F0
09-06-2025 22:51:33.700,65,RECV,7E000F81000216024E323032372D39524F4301
09-06-2025 22:51:33.700,66,RECV,7E000F81000117024E313032382D5A564154D9
09-06-2025 22:51:33.700,67,RECV,7E000F81000216024E323032382D4234313343
09-06-2025 22:51:33.701,68,RECV,7E000F81000117024E313032392D5945434EEE
09-06-2025 22:51:33.701,69,RECV,7E000F81000216024E323032392D32555A4CEF
09-06-2025 22:51:33.701,70,RECV,7E000F81000117024E313033302D5A584256DB
09-06-2025 22:51:33.701,71,RECV,7E000F81000324024E333033312D4433554601
09-06-2025 22:51:33.701,72,RECV,7E000F81000216024E323033302D55495742ED
09-06-2025 22:51:33.701,73,RECV,7E000F81000117024E313033312D4F4C5959D7
09-06-2025 22:51:33.701,74,RECV,7E000F81000216024E323033312D553634580C
09-06-2025 22:51:33.701,75,RECV,7E000F8100041E024E343033312D3644355117
09-06-2025 22:51:33.701,76,RECV,7E000F81000117024E313033322D5236305417
09-06-2025 22:51:33.701,77,RECV,7E000F81000216024E323033322D444F304916
09-06-2025 22:51:33.701,78,RECV,7E000F81000117024E313033332D594F37390A
09-06-2025 22:51:33.701,79,RECV,7E000F8100041E024E343033322D50484841F5
09-06-2025 22:51:33.735,80,RECV,7E000F81000216024E323033332D4838374D1D
09-06-2025 22:51:33.735,81,RECV,7E000F81000117024E313033342D4357384E01
09-06-2025 22:51:33.735,82,RECV,7E000F81000216024E323033342D5A593257E4
09-06-2025 22:51:33.735,83,RECV,7E000F8100041E024E343033342D3242515AF5
09-06-2025 22:51:33.735,84,RECV,7E000F81000117024E313033352D44594B39FF
09-06-2025 22:51:33.735,85,RECV,7E000F81000216024E323033362D4B4C4C51EA
09-06-2025 22:51:33.735,86,RECV,7E000F81000117024E313033372D4448563309
09-06-2025 22:51:33.735,87,RECV,7E000F81000216024E323033372D46495554E5
09-06-2025 22:51:33.735,88,RECV,7E000F81000117024E313033382D414F5153E9
09-06-2025 22:51:33.735,89,RECV,7E000F81000216024E323033382D5336513012
09-06-2025 22:51:33.735,90,RECV,7E000F81000117024E313033392D4C365843FF
09-06-2025 22:51:33.735,91,RECV,7E000F81000324024E333034302D4345353224
09-06-2025 22:51:33.735,92,RECV,7E000F81000216024E323033392D54465A37F0
09-06-2025 22:51:33.735,93,RECV,7E000F81000117024E313034302D524D324A09
09-06-2025 22:51:33.735,94,RECV,7E000F81000216024E323034302D364B314A27
09-06-2025 22:51:33.736,95,RECV,7E000F81000117024E313034312D5A513350F5
09-06-2025 22:51:33.736,96,RECV,7E000F81000216024E323034312D574E394CF8
09-06-2025 22:51:33.736,97,RECV,7E000F81000324024E333034322D57464835F7
09-06-2025 22:51:33.736,98,RECV,7E000F81000117024E313034322D4B53475AE3
09-06-2025 22:51:33.736,99,RECV,7E000F81000216024E323034322D44465747F9
09-06-2025 22:51:33.736,100,RECV,7E000F81000117024E313034332D33475559F9
09-06-2025 22:51:33.736,101,RECV,7E000F8100041E024E343034322D444A5237FE
09-06-2025 22:51:33.736,102,RECV,7E000F81000216024E323034332D48525834FA
09-06-2025 22:51:33.736,103,RECV,7E000F81000117024E313034342D414D5A47F1
09-06-2025 22:51:33.736,104,RECV,7E000F81000216024E323034342D57325859E5
09-06-2025 22:51:33.737,105,RECV,7E000F81000324024E333034352D58444154DD
09-06-2025 22:51:33.835,106,RECV,7E000F81000117024E313034352D42554156F1
09-06-2025 22:51:33.895,107,RECV,7E000F8100041E024E343034342D3449593706
09-06-2025 22:51:33.896,108,RECV,7E000F81000216024E323034352D5243324710
09-06-2025 22:51:33.896,109,RECV,7E000F81000117024E313034362D353452507D33
09-06-2025 22:51:33.896,110,RECV,7E000F8100041E024E343034352D5146324FFA
09-06-2025 22:51:33.896,111,RECV,7E000F81000216024E323034362D55474944F4
09-06-2025 22:51:33.896,112,RECV,7E000F81000324024E333034372D324B39437D33
09-06-2025 22:51:33.896,113,RECV,7E000F81000117024E313034372D3154504AFE
09-06-2025 22:51:33.896,114,RECV,7E000F8100041E024E343034362D455A414FE2
09-06-2025 22:51:33.896,115,RECV,7E000F81000216024E323034372D334C303439
09-06-2025 22:51:33.896,116,RECV,7E000F81000117024E313034382D514B473702
09-06-2025 22:51:33.896,117,RECV,7E000F81000216024E323034382D3051463420
09-06-2025 22:51:33.896,118,RECV,7E000F81000216024E323034392D35364E3130
09-06-2025 22:51:33.896,119,RECV,7E000F81000324024E333035302D4833573808
09-06-2025 22:51:33.896,120,RECV,7E000F81000117024E313035302D35584A311B
09-06-2025 22:51:33.896,121,RECV,7E000F8100041E024E343034392D4D34485AEB
09-06-2025 22:51:33.896,122,RECV,7E000F81000215024E323035312D56364C55F5
09-06-2025 22:51:33.896,123,RECV,7E000F81000117024E313035322D5A514F30F7
09-06-2025 22:51:33.896,124,RECV,7E000F8100041E024E343035312D465A564CD3
09-06-2025 22:51:33.896,125,RECV,7E000F81000117024E313035332D325A593704
09-06-2025 22:51:33.896,126,RECV,7E000F81000216024E323035332D4B385556F1
09-06-2025 22:51:33.896,127,RECV,7E000F81000216024E323035342D31444E5407
09-06-2025 22:51:33.896,128,RECV,7E000F81000324024E333035352D3137334929
09-06-2025 22:51:33.896,129,RECV,7E000F81000118024E313035352D5344434201
09-06-2025 22:51:33.896,130,RECV,7E000F81000117024E313035362D58544B36F0
09-06-2025 22:51:33.896,131,RECV,7E000F81000216024E323035362D36515648F7
09-06-2025 22:51:33.918,132,RECV,7E000F81000117024E313035372D4B47533205
09-06-2025 22:51:33.920,133,RECV,7E000F81000216024E323035372D373451342B
09-06-2025 22:51:33.920,134,RECV,7E000F8100041E024E343035372D3849344218
09-06-2025 22:51:33.920,135,RECV,7E000F81000324024E333035392D33434E52F3
09-06-2025 22:51:33.920,136,RECV,7E000F81000216024E323035392D413145580A
09-06-2025 22:51:33.920,137,RECV,7E000F81000117024E313036302D3945304F25
09-06-2025 22:51:33.920,138,RECV,7E000F81000216024E323036302D58355643FB
09-06-2025 22:51:33.920,139,RECV,7E000F81000117024E313036312D41444E4509
09-06-2025 22:51:33.920,140,RECV,7E000F81000216024E323036312D4E384E4705
09-06-2025 22:51:33.920,141,RECV,7E000F81000117024E313036322D53575838E6
09-06-2025 22:51:33.920,142,RECV,7E000F81000216024E323036322D5632444310
09-06-2025 22:51:33.920,143,RECV,7E000F81000117024E313036332D374133472D
09-06-2025 22:51:33.920,144,RECV,7E000F81000324024E333036342D5A33314A05
09-06-2025 22:51:33.920,145,RECV,7E000F81000117024E313036342D4C445342F9
09-06-2025 22:51:33.920,146,RECV,7E000F81000325024E333036352D344D324117
09-06-2025 22:51:33.920,147,RECV,7E000F81000117024E313036352D52554E55D3
09-06-2025 22:51:33.921,148,RECV,7E000F81000216024E323036352D4F454346FF
09-06-2025 22:51:33.921,149,RECV,7E000F81000216024E323036362D58475049E3
09-06-2025 22:51:33.921,150,RECV,7E000F81000117024E313036372D3241454C17
09-06-2025 22:51:33.921,151,RECV,7E000F81000324024E333036382D51413058EF
09-06-2025 22:51:33.921,152,RECV,7E000F81000216024E323036372D3635434923
09-06-2025 22:51:33.921,153,RECV,7E000F81000117024E313036382D524F34347D31
09-06-2025 22:51:33.921,154,RECV,7E000F81000216024E323036382D4441394F0C
09-06-2025 22:51:33.921,155,RECV,7E000F81000216024E323036392D3745354A1D
09-06-2025 22:51:33.921,156,RECV,7E000F81000117024E313037302D3531514B1F
09-06-2025 22:51:33.921,157,RECV,7E000F81000215024E323037302D4431445018
09-06-2025 22:51:34.011,158,RECV,7E000F81000324024E333037322D5635584BE0
09-06-2025 22:51:34.023,159,RECV,7E000F81000216024E323037312D303456527D33
09-06-2025 22:51:34.023,160,RECV,7E000F81000117024E313037322D5746394207
09-06-2025 22:51:34.024,161,RECV,7E000F81000215024E323037322D4E4F464FED
09-06-2025 22:51:34.024,162,RECV,7E000F81000324024E333037342D55535849C3
09-06-2025 22:51:34.024,163,RECV,7E000F81000216024E323037332D5242324D0A
09-06-2025 22:51:34.024,164,RECV,7E000F81000117024E313037342D45414B5AF2
09-06-2025 22:51:34.024,165,RECV,7E000F81000216024E323037342D3448473920
09-06-2025 22:51:34.024,166,RECV,7E000F81000117024E313037352D4B3854347D31
09-06-2025 22:51:34.024,167,RECV,7E000F81000117024E313037362D4130583022
09-06-2025 22:51:34.024,168,RECV,7E000F81000324024E333037372D343042441F
09-06-2025 22:51:34.024,169,RECV,7E000F81000216024E323037372D415A5A46DE
09-06-2025 22:51:34.024,170,RECV,7E000F81000117024E313037382D38504F44FE
09-06-2025 22:51:34.024,171,RECV,7E000F81000216024E323037382D4834455601
09-06-2025 22:51:34.024,172,RECV,7E000F81000117024E313037392D3057334F0F
09-06-2025 22:51:34.024,173,RECV,7E000F8100041E024E343037382D534E3539FD
09-06-2025 22:51:34.024,174,RECV,7E000F81000216024E323037392D58544C36E9
09-06-2025 22:51:34.024,175,RECV,7E000F81000325024E333038312D53504751D2
09-06-2025 22:51:34.024,176,RECV,7E000F81000216024E323038302D593444311D
09-06-2025 22:51:34.025,177,RECV,7E000F81000117024E313038312D344352480E
09-06-2025 22:51:34.025,178,RECV,7E000F81000117024E313038322D5452313512
09-06-2025 22:51:34.025,179,RECV,7E000F81000216024E323038322D375534500D
09-06-2025 22:51:34.025,180,RECV,7E000F81000117024E313038332D544630460D
09-06-2025 22:51:34.025,181,RECV,7E000F81000325024E333038342D35415150F3
09-06-2025 22:51:34.025,182,RECV,7E000F81000324024E333038352D4D4337307D33
09-06-2025 22:51:34.025,183,RECV,7E000F81000216024E323038342D3638485A0B
09-06-2025 22:51:34.114,184,RECV,7E000F81000216024E323038352D43485A45F0
09-06-2025 22:51:34.152,185,RECV,7E000F81000117024E313038362D4253333220
09-06-2025 22:51:34.152,186,RECV,7E000F81000216024E323038362D5532564FED
09-06-2025 22:51:34.152,187,RECV,7E000F81000117024E313038372D314454450B
09-06-2025 22:51:34.153,188,RECV,7E000F81000216024E323038372D5238384F07
09-06-2025 22:51:34.153,189,RECV,7E000F81000117024E313038382D58454442F5
09-06-2025 22:51:34.153,190,RECV,7E000F81000216024E323038382D52434D4AEB
09-06-2025 22:51:34.153,191,RECV,7E000F81000324024E333039302D4D583352E4
09-06-2025 22:51:34.153,192,RECV,7E000F81000216024E323038392D594B5443DB
09-06-2025 22:51:34.153,193,RECV,7E000F81000117024E313039302D3243454322
09-06-2025 22:51:34.153,194,RECV,7E000F81000215024E323039302D54364C5AEF
09-06-2025 22:51:34.153,195,RECV,7E000F8100041E024E343039302D51573650E4
09-06-2025 22:51:34.153,196,RECV,7E000F81000117024E313039322D503742460E
09-06-2025 22:51:34.153,197,RECV,7E000F81000216024E323039322D4251394A06
09-06-2025 22:51:34.153,198,RECV,7E000F81000117024E313039332D41444756FA
09-06-2025 22:51:34.153,199,RECV,7E000F81000324024E333039342D504F5937DB
09-06-2025 22:51:34.153,200,RECV,7E000F81000117024E313039342D53554356DA
09-06-2025 22:51:34.153,201,RECV,7E000F81000324024E333039352D4941483403
09-06-2025 22:51:34.153,202,RECV,7E000F81000117024E313039352D3738514515
09-06-2025 22:51:34.153,203,RECV,7E000F81000216024E323039352D363056312C
09-06-2025 22:51:34.153,204,RECV,7E000F8100041E024E343039352D5239483208
09-06-2025 22:51:34.153,205,RECV,7E000F81000325024E333039382D504131380B
09-06-2025 22:51:34.153,206,RECV,7E000F81000215024E323039372D4C304A480A
09-06-2025 22:51:34.153,207,RECV,7E000F8100041E024E343039372D4E4A425AD7
09-06-2025 22:51:34.153,208,RECV,7E000F81000216024E323039382D57524459D0
09-06-2025 22:51:34.153,209,RECV,7E000F8100041E024E343039382D34415743FB
