06-25-2025 17:29:55.585,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-25-2025 17:14:06.942,0,RECV,7E000F81000426024E343030302D524C5936E6
06-25-2025 17:14:06.943,1,RECV,7E000F8100011B024E313030302D5349325303
06-25-2025 17:14:07.055,2,RECV,7E000F81000323024E333030302D3239463037
06-25-2025 17:14:07.055,3,RECV,7E000F81000426024E343030312D514D31370C
06-25-2025 17:14:07.055,4,RECV,7E000F8100011B024E313030312D4B42394617
06-25-2025 17:14:07.055,5,RECV,7E000F81000323024E333030312D51454F58DA
06-25-2025 17:14:07.055,6,RECV,7E000F8100021F024E323030322D56495731F5
06-25-2025 17:14:07.055,7,RECV,7E000F8100011B024E313030322D52553943FF
06-25-2025 17:14:07.055,8,RECV,7E000F81000323024E333030322D484B5356DA
06-25-2025 17:14:07.055,9,RECV,7E000F81000426024E343030332D56305548ED
06-25-2025 17:14:07.055,10,RECV,7E000F8100021F024E323030332D4E394A4604
06-25-2025 17:14:07.055,11,RECV,7E000F8100011B024E313030332D55594B31F7
06-25-2025 17:14:07.055,12,RECV,7E000F81000426024E343030342D59374C48EB
06-25-2025 17:14:07.055,13,RECV,7E000F8100021F024E323030342D4F57344EF2
06-25-2025 17:14:07.055,14,RECV,7E000F8100011B024E313030342D47574F55DE
06-25-2025 17:14:07.056,15,RECV,7E000F8100021F024E323030352D5043434300
06-25-2025 17:14:07.056,16,RECV,7E000F81000426024E343030362D313459311E
06-25-2025 17:14:07.056,17,RECV,7E000F8100011B024E313030352D384B354F18
06-25-2025 17:14:07.056,18,RECV,7E000F8100021F024E323030362D4F58373307
06-25-2025 17:14:07.056,19,RECV,7E000F81000323024E333030362D58425253D3
06-25-2025 17:14:07.056,20,RECV,7E000F8100011B024E313030362D4259493208
06-25-2025 17:14:07.056,21,RECV,7E000F8100021F024E323030372D43524B3601
06-25-2025 17:14:07.056,22,RECV,7E000F8100011B024E313030372D56525352D0
06-25-2025 17:14:07.056,23,RECV,7E000F81000426024E343030392D3831364B20
06-25-2025 17:14:07.056,24,RECV,7E000F81000220024E323030382D4D57314FF1
06-25-2025 17:14:07.056,25,RECV,7E000F8100011B024E313030382D543453320F
