06-25-2025 18:27:15.526,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-25-2025 18:26:26.484,0,RECV,7E000F8100052E024E353030302D47474D42EC
06-25-2025 18:26:26.484,1,RECV,7E000F81000833024E383030302D56494B43D1
06-25-2025 18:26:26.485,2,RECV,7E000F81000631024E363030302D35424A49FA
06-25-2025 18:26:26.485,3,RECV,7E000F81000733024E373030302D4A304D57E2
06-25-2025 18:26:26.485,4,RECV,7E000F81000732024E373030312D314C383912
06-25-2025 18:26:26.534,5,RECV,7E000F81000632024E363030322D354A4957E2
06-25-2025 18:26:26.534,6,RECV,7E000F81000732024E373030322D4C545448C3
06-25-2025 18:26:26.584,7,RECV,7E000F8100052F024E353030332D354E41330E
06-25-2025 18:26:26.584,8,RECV,7E000F81000631024E363030332D58484853C6
06-25-2025 18:26:26.584,9,RECV,7E000F81000732024E373030332D36484E4AE8
06-25-2025 18:26:26.634,10,RECV,7E000F81000832024E383030342D54434457C9
06-25-2025 18:26:26.634,11,RECV,7E000F8100052F024E353030342D58444A32EC
06-25-2025 18:26:26.634,12,RECV,7E000F81000631024E363030342D56573041E2
06-25-2025 18:26:26.635,13,RECV,7E000F81000733024E373030342D35325344FE
06-25-2025 18:26:26.635,14,RECV,7E000F81000831024E383030352D43524955C8
06-25-2025 18:26:26.635,15,RECV,7E000F81000732024E373030352D5936454EDA
06-25-2025 18:26:26.684,16,RECV,7E000F81000832024E383030362D41334E4AED
06-25-2025 18:26:26.685,17,RECV,7E000F81000732024E373030362D3842534EE0
06-25-2025 18:26:26.695,18,RECV,7E000F81000832024E383030372D5A4F3442D9
06-25-2025 18:26:26.695,19,RECV,7E000F81000732024E373030372D39583550E4
06-25-2025 18:26:26.735,20,RECV,7E000F81000831024E383030382D304C364DF9
06-25-2025 18:26:26.735,21,RECV,7E000F8100052F024E353030382D4A544233ED
06-25-2025 18:26:26.745,22,RECV,7E000F81000733024E373030382D4B343152F6
06-25-2025 18:26:26.785,23,RECV,7E000F81000832024E383030392D4D455659B5
06-25-2025 18:26:26.792,24,RECV,7E000F81000732024E373030392D384A344AF8
06-25-2025 18:26:26.792,25,RECV,7E000F81000832024E383031302D324D5454D7
06-25-2025 18:26:26.805,26,RECV,7E000F81000632024E363031302D42463649FB
06-25-2025 18:26:26.805,27,RECV,7E000F8100052F024E353031302D48464354E2
06-25-2025 18:26:26.805,28,RECV,7E000F81000733024E373031302D4B575557B1
06-25-2025 18:26:26.835,29,RECV,7E000F81000832024E383031312D314A36397D33
06-25-2025 18:26:26.835,30,RECV,7E000F81000632024E363031312D52464632F1
06-25-2025 18:26:26.835,31,RECV,7E000F8100052F024E353031312D474A304203
06-25-2025 18:26:26.835,32,RECV,7E000F81000733024E373031312D49534344DB
06-25-2025 18:26:26.885,33,RECV,7E000F81000831024E383031322D4936424AF2
06-25-2025 18:26:26.885,34,RECV,7E000F81000631024E363031322D444B544FCF
06-25-2025 18:26:26.885,35,RECV,7E000F8100052E024E353031322D4E4C5756BF
06-25-2025 18:26:26.885,36,RECV,7E000F81000732024E373031322D5A5A4D44B9
06-25-2025 18:26:26.935,37,RECV,7E000F81000832024E383031332D5A534A43C1
06-25-2025 18:26:26.935,38,RECV,7E000F81000631024E363031332D42453252F5
06-25-2025 18:26:26.935,39,RECV,7E000F8100052F024E353031332D4358494ED2
06-25-2025 18:26:26.935,40,RECV,7E000F81000733024E373031332D4C443242F8
06-25-2025 18:26:26.935,41,RECV,7E000F81000832024E383031342D444E5743CE
06-25-2025 18:26:26.945,42,RECV,7E000F81000631024E363031342D48364541FB
06-25-2025 18:26:26.946,43,RECV,7E000F8100052E024E353031342D59424C53CA
06-25-2025 18:26:26.946,44,RECV,7E000F81000733024E373031342D3950574ECD
06-25-2025 18:26:26.985,45,RECV,7E000F81000832024E383031352D46425544D8
06-25-2025 18:26:26.985,46,RECV,7E000F81000632024E363031352D4B455A48CB
06-25-2025 18:26:26.985,47,RECV,7E000F8100052F024E353031352D34415655E2
06-25-2025 18:26:26.995,48,RECV,7E000F81000733024E373031352D5A434130EC
06-25-2025 18:26:26.997,49,RECV,7E000F81000832024E383031362D36474E31FC
06-25-2025 18:26:27.035,50,RECV,7E000F81000631024E363031362D444A4638F1
06-25-2025 18:26:27.035,51,RECV,7E000F8100052F024E353031362D4C4B333205
06-25-2025 18:26:27.035,52,RECV,7E000F81000733024E373031362D46364243F8
06-25-2025 18:26:27.045,53,RECV,7E000F81000832024E383031372D50594441C9
06-25-2025 18:26:27.046,54,RECV,7E000F81000632024E363031372D41564130F3
06-25-2025 18:26:27.046,55,RECV,7E000F8100052F024E353031372D374F4F4CDF
06-25-2025 18:26:27.085,56,RECV,7E000F81000733024E373031372D4E4B3134FA
06-25-2025 18:26:27.085,57,RECV,7E000F81000831024E383031382D47553844DF
06-25-2025 18:26:27.085,58,RECV,7E000F81000632024E363031382D4A503745E4
06-25-2025 18:26:27.135,59,RECV,7E000F8100052F024E353031382D57304A32FC
06-25-2025 18:26:27.135,60,RECV,7E000F81000733024E373031382D34565433E6
06-25-2025 18:26:27.135,61,RECV,7E000F81000831024E383031392D4E49584BBC
06-25-2025 18:26:27.135,62,RECV,7E000F81000632024E363031392D4A365934EC
06-25-2025 18:26:27.135,63,RECV,7E000F8100052F024E353031392D4E414337F5
06-25-2025 18:26:27.146,64,RECV,7E000F81000733024E373031392D32324251FF
06-25-2025 18:26:27.147,65,RECV,7E000F81000832024E383032302D4E383059EE
06-25-2025 18:26:27.185,66,RECV,7E000F81000632024E363032302D4F413641FA
06-25-2025 18:26:27.185,67,RECV,7E000F8100052F024E353032302D3030375619
