06-27-2025 03:25:53.444,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-27-2025 03:25:01.791,0,RECV,7E000F8100042B024E343030302D4D3251300E
06-27-2025 03:25:01.792,1,RECV,7E000F8100062E024E363030302D56465352C6
06-27-2025 03:25:01.841,2,RECV,7E000F8100082F024E383030302D4251313905
06-27-2025 03:25:01.841,3,RECV,7E000F8100042B024E343030312D4A35454207
06-27-2025 03:25:01.841,4,RECV,7E000F8100062E024E363030312D4A555449CA
06-27-2025 03:25:01.841,5,RECV,7E000F81000730024E373030312D35334E53F9
06-27-2025 03:25:01.891,6,RECV,7E000F8100082F024E383030312D51555747BD
06-27-2025 03:25:01.891,7,RECV,7E000F8100042B024E343030322D524A3151EE
06-27-2025 03:25:01.891,8,RECV,7E000F8100062F024E363030322D324A5159DE
06-27-2025 03:25:01.891,9,RECV,7E000F81000730024E373030322D5033363810
06-27-2025 03:25:01.901,10,RECV,7E000F8100082F024E383030322D4E455135E7
06-27-2025 03:25:01.902,11,RECV,7E000F8100042B024E343030332D375130391A
06-27-2025 03:25:01.912,12,RECV,7E000F8100062E024E363030332D574F5647C1
06-27-2025 03:25:01.912,13,RECV,7E000F8100072F024E373030332D30474157F2
06-27-2025 03:25:01.941,14,RECV,7E000F8100082F024E383030332D56594935D2
06-27-2025 03:25:01.941,15,RECV,7E000F8100042B024E343030342D59453143F8
06-27-2025 03:25:01.941,16,RECV,7E000F8100062F024E363030342D54434555D1
06-27-2025 03:25:01.941,17,RECV,7E000F81000730024E373030342D44524A34EB
06-27-2025 03:25:01.991,18,RECV,7E000F8100082F024E383030342D3652514BDA
06-27-2025 03:25:02.000,19,RECV,7E000F8100042B024E343030352D3153393319
06-27-2025 03:25:02.000,20,RECV,7E000F8100062F024E363030352D34535243E5
06-27-2025 03:25:02.000,21,RECV,7E000F81000730024E373030352D4C4233330A
06-27-2025 03:25:02.041,22,RECV,7E000F8100082F024E383030352D44314C3309
06-27-2025 03:25:02.042,23,RECV,7E000F8100042B024E343030362D58374A34FB
06-27-2025 03:25:02.042,24,RECV,7E000F8100062E024E363030362D4631564AEA
06-27-2025 03:25:02.042,25,RECV,7E000F81000730024E373030362D3638363227
06-27-2025 03:25:02.062,26,RECV,7E000F8100082F024E383030362D39384745FF
06-27-2025 03:25:02.063,27,RECV,7E000F8100042B024E343030372D474E5039E9
06-27-2025 03:25:02.091,28,RECV,7E000F8100062F024E363030372D49513958D4
06-27-2025 03:25:02.091,29,RECV,7E000F81000730024E373030372D55524151C3
06-27-2025 03:25:02.092,30,RECV,7E000F8100082F024E383030372D3833444705
06-27-2025 03:25:02.141,31,RECV,7E000F8100042B024E343030382D48455255D2
06-27-2025 03:25:02.161,32,RECV,7E000F8100062F024E363030382D4235434AFA
06-27-2025 03:25:02.161,33,RECV,7E000F81000730024E373030382D505A3350CE
