06-27-2025 00:30:48.937,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-27-2025 00:29:32.308,0,RECV,7E000F8100042A024E343030302D534A3356E9
06-27-2025 00:29:32.309,1,RECV,7E000F81000631024E363030302D45545136E4
06-27-2025 00:29:32.310,2,RECV,7E000F81000733024E373030302D5A514154C0
06-27-2025 00:29:32.310,3,RECV,7E000F81000832024E383030302D50335247E3
06-27-2025 00:29:32.809,4,RECV,7E000F8100042A024E343030312D4D33504DF1
06-27-2025 00:29:32.809,5,RECV,7E000F81000631024E363030312D52584256C1
06-27-2025 00:29:32.810,6,RECV,7E000F81000732024E373030312D4E34443901
06-27-2025 00:29:32.810,7,RECV,7E000F81000830024E383030312D35563959E3
06-27-2025 00:29:33.310,8,RECV,7E000F8100042A024E343030322D36364C56FF
06-27-2025 00:29:33.310,9,RECV,7E000F81000630024E363030322D53553150DA
06-27-2025 00:29:33.310,10,RECV,7E000F81000731024E373030322D434E5A57BE
06-27-2025 00:29:33.360,11,RECV,7E000F8100082F024E383030322D58555651AC
06-27-2025 00:29:33.821,12,RECV,7E000F8100042A024E343030332D5A594B31DD
06-27-2025 00:29:33.822,13,RECV,7E000F8100062F024E363030332D4E455950C7
06-27-2025 00:29:33.822,14,RECV,7E000F81000730024E373030332D37534933FA
06-27-2025 00:29:33.822,15,RECV,7E000F8100082F024E383030332D3731414610
06-27-2025 00:29:34.330,16,RECV,7E000F8100042A024E343030342D534A494ED7
06-27-2025 00:29:34.340,17,RECV,7E000F81000634024E363030342D544D594AB9
06-27-2025 00:29:34.340,18,RECV,7E000F81000736024E373030342D4658504BC0
06-27-2025 00:29:34.342,19,RECV,7E000F81000834024E383030342D3139364118
06-27-2025 00:29:34.831,20,RECV,7E000F8100042A024E343030352D51345234FF
06-27-2025 00:29:34.832,21,RECV,7E000F81000632024E363030352D343446341C
06-27-2025 00:29:34.832,22,RECV,7E000F81000734024E373030352D434139320B
06-27-2025 00:29:34.832,23,RECV,7E000F81000832024E383030352D4A574753BF
