06-27-2025 00:21:52.646,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-27-2025 00:12:56.885,0,RECV,7E00028A0372
06-27-2025 00:12:57.456,1,RECV,7E00028A066F
06-27-2025 00:19:12.640,2,RECV,7E000F81000424024E343030302D4A474D41F6
06-27-2025 00:19:12.641,3,RECV,7E000F81000733024E373030302D4C53594CBC
06-27-2025 00:19:12.641,4,RECV,7E000F81000632024E363030302D4236474BF9
06-27-2025 00:19:12.691,5,RECV,7E000F81000831024E383030302D54495530DE
06-27-2025 00:19:13.142,6,RECV,7E000F8100042A024E343030312D5A33463803
06-27-2025 00:19:13.143,7,RECV,7E000F81000733024E373030312D32445A48E7
06-27-2025 00:19:13.143,8,RECV,7E000F81000632024E363030312D49363956F4
06-27-2025 00:19:13.192,9,RECV,7E000F81000832024E383030312D54395042DF
06-27-2025 00:19:13.642,10,RECV,7E000F8100042A024E343030322D4B43493501
06-27-2025 00:19:13.653,11,RECV,7E000F81000733024E373030322D33444258ED
06-27-2025 00:19:13.653,12,RECV,7E000F81000632024E363030322D564E3144E8
06-27-2025 00:19:13.692,13,RECV,7E000F81000832024E383030322D41424E33F9
06-27-2025 00:19:14.143,14,RECV,7E000F8100042A024E343030332D56513046EF
06-27-2025 00:19:14.144,15,RECV,7E000F81000733024E373030332D4B505143CE
06-27-2025 00:19:14.144,16,RECV,7E000F81000632024E363030332D5131424CF0
06-27-2025 00:19:14.193,17,RECV,7E000F81000831024E383030332D5133393808
06-27-2025 00:19:14.644,18,RECV,7E000F8100042B024E343030342D4730523110
06-27-2025 00:19:14.645,19,RECV,7E000F81000732024E373030342D53374246EB
06-27-2025 00:19:14.654,20,RECV,7E000F81000631024E363030342D53334F53D8
06-27-2025 00:19:14.694,21,RECV,7E000F81000831024E383030342D53533741DE
06-27-2025 00:19:15.145,22,RECV,7E000F8100042A024E343030352D5A533754D2
06-27-2025 00:19:15.195,23,RECV,7E000F81000733024E373030352D4E4B4E34E0
06-27-2025 00:19:15.196,24,RECV,7E000F81000633024E363030352D51545733CE
06-27-2025 00:19:15.196,25,RECV,7E000F81000832024E383030352D345635310A
