timestamp,node,frame_index,payload
2025-09-09 16:49:30.196,N1,0,N1000-9LFX
2025-09-09 16:49:30.203,N1,1,N1001-RY39
2025-09-09 16:49:30.210,N1,2,N1002-4JQ4
2025-09-09 16:49:30.217,N1,3,N1003-TOOM
2025-09-09 16:49:30.227,N1,4,N1004-SRX6
2025-09-09 16:49:30.233,N1,5,N1005-BL3I
2025-09-09 16:49:30.240,N1,6,N1006-M32J
2025-09-09 16:49:30.247,N1,7,N1007-U7ZE
2025-09-09 16:49:30.253,N1,8,N1008-HUT1
2025-09-09 16:49:30.259,N1,9,N1009-26S0
2025-09-09 16:49:30.266,N1,10,N1010-69XE
2025-09-09 16:49:30.272,N1,11,N1011-CZGQ
2025-09-09 16:49:30.278,N1,12,N1012-LOVH
2025-09-09 16:49:30.284,N1,13,N1013-AELS
2025-09-09 16:49:30.290,N1,14,N1014-IY0Y
2025-09-09 16:49:30.297,N1,15,N1015-B0A8
2025-09-09 16:49:30.303,N1,16,N1016-O1T3
2025-09-09 16:49:30.309,N1,17,N1017-DNB8
2025-09-09 16:49:30.315,N1,18,N1018-QU1X
2025-09-09 16:49:30.322,N1,19,N1019-O7T9
2025-09-09 16:49:30.328,N1,20,N1020-1U9O
2025-09-09 16:49:30.334,N1,21,N1021-TL9F
2025-09-09 16:49:30.340,N1,22,N1022-8DFW
2025-09-09 16:49:30.347,N1,23,N1023-WXN0
2025-09-09 16:49:30.353,N1,24,N1024-LK19
2025-09-09 16:49:30.359,N1,25,N1025-RQG8
2025-09-09 16:49:30.365,N1,26,N1026-YSSG
2025-09-09 16:49:30.371,N1,27,N1027-12BM
2025-09-09 16:49:30.378,N1,28,N1028-B9CY
2025-09-09 16:49:30.384,N1,29,N1029-PDFF
2025-09-09 16:49:30.390,N1,30,N1030-6NNB
2025-09-09 16:49:30.396,N1,31,N1031-BJLM
2025-09-09 16:49:30.402,N1,32,N1032-LRX9
2025-09-09 16:49:30.409,N1,33,N1033-BZ0M
2025-09-09 16:49:30.415,N1,34,N1034-FB3I
2025-09-09 16:49:30.421,N1,35,N1035-2CQE
2025-09-09 16:49:30.427,N1,36,N1036-WBHQ
2025-09-09 16:49:30.433,N1,37,N1037-BQPM
2025-09-09 16:49:30.439,N1,38,N1038-W48M
2025-09-09 16:49:30.445,N1,39,N1039-AZGG
2025-09-09 16:49:30.452,N1,40,N1040-E6PQ
2025-09-09 16:49:30.458,N1,41,N1041-05AS
2025-09-09 16:49:30.464,N1,42,N1042-19TZ
2025-09-09 16:49:30.470,N1,43,N1043-ESAV
2025-09-09 16:49:30.476,N1,44,N1044-GS8J
2025-09-09 16:49:30.482,N1,45,N1045-B8DG
2025-09-09 16:49:30.488,N1,46,N1046-FEBR
2025-09-09 16:49:30.494,N1,47,N1047-PUJ1
2025-09-09 16:49:30.500,N1,48,N1048-RK7X
2025-09-09 16:49:30.507,N1,49,N1049-0YUU
2025-09-09 16:49:30.513,N1,50,N1050-SIUG
2025-09-09 16:49:30.519,N1,51,N1051-AH5H
2025-09-09 16:49:30.525,N1,52,N1052-1DDI
2025-09-09 16:49:30.531,N1,53,N1053-FDR6
2025-09-09 16:49:30.537,N1,54,N1054-MPQI
2025-09-09 16:49:30.543,N1,55,N1055-2BWX
2025-09-09 16:49:30.549,N1,56,N1056-5WX7
2025-09-09 16:49:30.555,N1,57,N1057-D9FP
2025-09-09 16:49:30.562,N1,58,N1058-9BG4
2025-09-09 16:49:30.568,N1,59,N1059-Q0B6
2025-09-09 16:49:30.574,N1,60,N1060-26YX
2025-09-09 16:49:30.580,N1,61,N1061-S7Z1
2025-09-09 16:49:30.586,N1,62,N1062-2OY5
2025-09-09 16:49:30.592,N1,63,N1063-HTW4
2025-09-09 16:49:30.599,N1,64,N1064-OU89
2025-09-09 16:49:30.605,N1,65,N1065-NKR7
2025-09-09 16:49:30.611,N1,66,N1066-3CIO
2025-09-09 16:49:30.617,N1,67,N1067-29X1
2025-09-09 16:49:30.623,N1,68,N1068-NBBM
2025-09-09 16:49:30.629,N1,69,N1069-WAJO
2025-09-09 16:49:30.635,N1,70,N1070-AKXQ
2025-09-09 16:49:30.642,N1,71,N1071-5SG8
2025-09-09 16:49:30.648,N1,72,N1072-EFCL
2025-09-09 16:49:30.654,N1,73,N1073-5EDF
2025-09-09 16:49:30.661,N1,74,N1074-PU3G
2025-09-09 16:49:30.667,N1,75,N1075-ELUZ
2025-09-09 16:49:30.674,N1,76,N1076-9AV5
2025-09-09 16:49:30.680,N1,77,N1077-O2JC
2025-09-09 16:49:30.687,N1,78,N1078-TX26
2025-09-09 16:49:30.693,N1,79,N1079-J6XO
2025-09-09 16:49:30.699,N1,80,N1080-BWOO
2025-09-09 16:49:30.706,N1,81,N1081-MKDS
2025-09-09 16:49:30.712,N1,82,N1082-CIBL
2025-09-09 16:49:30.719,N1,83,N1083-MU35
2025-09-09 16:49:30.725,N1,84,N1084-XRSV
2025-09-09 16:49:30.731,N1,85,N1085-3E79
2025-09-09 16:49:30.737,N1,86,N1086-N6P8
2025-09-09 16:49:30.744,N1,87,N1087-CDAX
2025-09-09 16:49:30.750,N1,88,N1088-JTXV
2025-09-09 16:49:30.756,N1,89,N1089-6YUX
2025-09-09 16:49:30.762,N1,90,N1090-UGPQ
2025-09-09 16:49:30.768,N1,91,N1091-6HSB
2025-09-09 16:49:30.774,N1,92,N1092-ML20
2025-09-09 16:49:30.780,N1,93,N1093-IVR9
2025-09-09 16:49:30.786,N1,94,N1094-MP93
2025-09-09 16:49:30.792,N1,95,N1095-Y96J
2025-09-09 16:49:30.798,N1,96,N1096-3KY6
2025-09-09 16:49:30.804,N1,97,N1097-8D1F
2025-09-09 16:49:30.810,N1,98,N1098-MRHS
2025-09-09 16:49:30.816,N1,99,N1099-HTGR
