09-09-2025 17:27:31.884,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

09-09-2025 17:26:35.453,0,RECV,7E000F81000216024E323030302D443744590F
09-09-2025 17:26:35.456,1,RECV,7E000F81000117024E313030302D4533533528
09-09-2025 17:26:35.457,2,RECV,7E000F8100041D024E343030302D37534356F9
09-09-2025 17:26:35.554,3,RECV,7E000F81000216024E323030312D5132365518
09-09-2025 17:26:35.557,4,RECV,7E000F81000117024E313030312D50583955F1
09-09-2025 17:26:35.557,5,RECV,7E000F8100041D024E343030312D5031453223
09-09-2025 17:26:35.654,6,RECV,7E000F81000216024E323030322D4E474C56EE
09-09-2025 17:26:35.654,7,RECV,7E000F81000117024E313030322D32464A3430
09-09-2025 17:26:35.654,8,RECV,7E000F8100041D024E343030322D4239593610
09-09-2025 17:26:35.755,9,RECV,7E000F81000216024E323030332D52384F4EFD
09-09-2025 17:26:35.778,10,RECV,7E000F81000117024E313030332D4A3037452F
09-09-2025 17:26:35.778,11,RECV,7E000F8100041D024E343030332D4A545733F1
09-09-2025 17:26:35.779,12,RECV,7E000F81000324024E333030332D43594855DB
09-09-2025 17:26:35.855,13,RECV,7E000F81000215024E323030342D323849531E
09-09-2025 17:26:35.855,14,RECV,7E000F81000117024E313030342D4630444525
09-09-2025 17:26:35.855,15,RECV,7E000F8100041D024E343030342D3046544FFF
09-09-2025 17:26:35.855,16,RECV,7E000F81000325024E333030342D3954384805
09-09-2025 17:26:35.955,17,RECV,7E000F81000216024E323030352D4146305912
09-09-2025 17:26:35.955,18,RECV,7E000F81000117024E313030352D5A52354CF6
09-09-2025 17:26:35.955,19,RECV,7E000F8100041E024E343030352D41564C50E3
09-09-2025 17:26:35.955,20,RECV,7E000F81000325024E333030352D4D474854E1
09-09-2025 17:26:36.055,21,RECV,7E000F81000216024E323030362D39324F3037
09-09-2025 17:26:36.093,22,RECV,7E000F81000117024E313030362D43334E302E
09-09-2025 17:26:36.095,23,RECV,7E000F8100041E024E343030362D4B53374EF2
09-09-2025 17:26:36.095,24,RECV,7E000F81000324024E333030362D465632370C
09-09-2025 17:26:36.156,25,RECV,7E000F81000216024E323030372D474C304914
09-09-2025 17:26:36.158,26,RECV,7E000F81000117024E313030372D52475153E4
09-09-2025 17:26:36.158,27,RECV,7E000F8100041E024E343030372D38495448F7
09-09-2025 17:26:36.159,28,RECV,7E000F81000324024E333030372D494E4A53DC
09-09-2025 17:26:36.256,29,RECV,7E000F81000216024E323030382D464F4750F3
09-09-2025 17:26:36.256,30,RECV,7E000F81000117024E313030382D44594D5ADC
09-09-2025 17:26:36.256,31,RECV,7E000F8100041E024E343030382D443854370C
09-09-2025 17:26:36.256,32,RECV,7E000F81000324024E333030382D474B5552D6
09-09-2025 17:26:36.356,33,RECV,7E000F81000216024E323030392D345A434D00
09-09-2025 17:26:36.358,34,RECV,7E000F81000117024E313030392D5445523400
09-09-2025 17:26:36.358,35,RECV,7E000F8100041D024E343030392D4653595AC7
09-09-2025 17:26:36.358,36,RECV,7E000F81000324024E333030392D4C414B3501
09-09-2025 17:26:36.457,37,RECV,7E000F81000215024E323031302D35384F4C1F
09-09-2025 17:26:36.457,38,RECV,7E000F81000117024E313031302D4542314D22
09-09-2025 17:26:36.457,39,RECV,7E000F8100041D024E343031302D504238470A
09-09-2025 17:26:36.457,40,RECV,7E000F81000324024E333031302D3245455505
09-09-2025 17:26:36.557,41,RECV,7E000F81000216024E323031312D494B48387D31
09-09-2025 17:26:36.557,42,RECV,7E000F81000117024E313031312D4941355512
09-09-2025 17:26:36.557,43,RECV,7E000F8100041D024E343031312D53384E307D31
09-09-2025 17:26:36.557,44,RECV,7E000F81000324024E333031312D4F5A3151EA
09-09-2025 17:26:36.657,45,RECV,7E000F81000216024E323031322D4C4B325209
09-09-2025 17:26:36.658,46,RECV,7E000F81000117024E313031322D5446334315
09-09-2025 17:26:36.658,47,RECV,7E000F8100041D024E343031322D4A38345A09
09-09-2025 17:26:36.658,48,RECV,7E000F81000324024E333031322D4830444810
09-09-2025 17:26:36.757,49,RECV,7E000F81000216024E323031332D4F5138311A
09-09-2025 17:26:36.758,50,RECV,7E000F81000117024E313031332D4553324B0F
09-09-2025 17:26:36.758,51,RECV,7E000F8100041D024E343031332D58515A42D3
09-09-2025 17:26:36.758,52,RECV,7E000F81000324024E333031332D5446354FF5
09-09-2025 17:26:36.858,53,RECV,7E000F81000216024E323031342D333347363F
09-09-2025 17:26:36.866,54,RECV,7E000F81000117024E313031342D4E545136FA
09-09-2025 17:26:36.866,55,RECV,7E000F8100041E024E343031342D594D394FE8
09-09-2025 17:26:36.867,56,RECV,7E000F81000324024E333031342D4631425504
09-09-2025 17:26:36.958,57,RECV,7E000F81000216024E323031352D37435A3419
09-09-2025 17:26:36.959,58,RECV,7E000F81000117024E313031352D39525652EF
09-09-2025 17:26:36.959,59,RECV,7E000F8100041E024E343031352D55394C300B
09-09-2025 17:26:36.959,60,RECV,7E000F81000325024E333031352D4A4636397D31
09-09-2025 17:26:37.058,61,RECV,7E000F81000216024E323031362D43515245F5
09-09-2025 17:26:37.058,62,RECV,7E000F81000117024E313031362D4D5235420B
09-09-2025 17:26:37.058,63,RECV,7E000F8100041E024E343031362D3833474919
09-09-2025 17:26:37.058,64,RECV,7E000F81000325024E333031362D5533444CF7
09-09-2025 17:26:37.158,65,RECV,7E000F81000216024E323031372D4648464803
09-09-2025 17:26:37.160,66,RECV,7E000F81000117024E313031372D344F305A7D33
09-09-2025 17:26:37.160,67,RECV,7E000F8100041E024E343031372D373643382B
09-09-2025 17:26:37.160,68,RECV,7E000F81000325024E333031372D444F3153F7
09-09-2025 17:26:37.259,69,RECV,7E000F81000215024E323031382D354A42302E
09-09-2025 17:26:37.259,70,RECV,7E000F81000117024E313031382D534B4456E7
09-09-2025 17:26:37.259,71,RECV,7E000F8100041E024E343031382D49554A45E5
09-09-2025 17:26:37.259,72,RECV,7E000F81000324024E333031382D44493057FA
09-09-2025 17:26:37.359,73,RECV,7E000F81000215024E323031392D3159314A19
