09-09-2025 17:14:25.447,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

09-09-2025 17:13:39.260,0,RECV,7E000F81000743024E373030302D54383451DF
09-09-2025 17:13:39.265,1,RECV,7E000F81000639024E363030302D5A4B3158CE
09-09-2025 17:13:39.267,2,RECV,7E000F81000639024E363030322D324B433901
09-09-2025 17:13:39.281,3,RECV,7E000F81000639024E363030332D52555A39BF
09-09-2025 17:13:39.287,4,RECV,7E000F81000639024E363030342D55434158C7
09-09-2025 17:13:39.287,5,RECV,7E000F81000743024E373030352D44563537E5
09-09-2025 17:13:39.287,6,RECV,7E000F81000548024E353030362D36395A31EF
09-09-2025 17:13:39.290,7,RECV,7E000F81000742024E373030362D4E344842DF
09-09-2025 17:13:39.291,8,RECV,7E000F81000639024E363030372D41485435E3
09-09-2025 17:13:39.303,9,RECV,7E000F81000842024E383030382D365A3838E7
09-09-2025 17:13:39.303,10,RECV,7E000F81000549024E353030382D4D515749A8
09-09-2025 17:13:39.303,11,RECV,7E000F81000639024E363031302D45485943D2
09-09-2025 17:13:39.410,12,RECV,7E000F81000842024E383031322D343332361D
09-09-2025 17:13:39.410,13,RECV,7E000F81000743024E373031322D36523146EE
09-09-2025 17:13:39.410,14,RECV,7E000F81000639024E363031322D37525257C7
09-09-2025 17:13:39.410,15,RECV,7E000F81000842024E383031332D5A483741D1
09-09-2025 17:13:39.410,16,RECV,7E000F81000639024E363031332D5A374A32EB
09-09-2025 17:13:39.410,17,RECV,7E000F81000639024E363031342D53315756C6
09-09-2025 17:13:39.410,18,RECV,7E000F81000842024E383031362D554C3438DB
09-09-2025 17:13:39.410,19,RECV,7E000F81000639024E363031362D55344B4AD7
09-09-2025 17:13:39.410,20,RECV,7E000F81000743024E373031372D474D494CBF
09-09-2025 17:13:39.410,21,RECV,7E000F81000639024E363031372D4C4D3834EF
09-09-2025 17:13:39.410,22,RECV,7E000F81000741024E373031382D4A514E59A7
09-09-2025 17:13:39.410,23,RECV,7E000F81000639024E363031382D4C424F33E3
09-09-2025 17:13:39.410,24,RECV,7E000F81000548024E353031392D48334F58C3
09-09-2025 17:13:39.411,25,RECV,7E000F81000639024E363031392D525A464BB5
09-09-2025 17:13:39.411,26,RECV,7E000F81000639024E363032302D35514957D4
09-09-2025 17:13:39.411,27,RECV,7E000F81000743024E373032312D33444D54D5
09-09-2025 17:13:39.411,28,RECV,7E000F81000639024E363032312D43454254DB
09-09-2025 17:13:39.411,29,RECV,7E000F81000743024E373032322D5436544FBF
09-09-2025 17:13:39.411,30,RECV,7E000F81000639024E363032322D4A364347EE
09-09-2025 17:13:39.411,31,RECV,7E000F81000639024E363032332D44304550EE
09-09-2025 17:13:39.411,32,RECV,7E000F81000742024E373032342D36584737DF
09-09-2025 17:13:39.411,33,RECV,7E000F81000639024E363032342D38314F3509
09-09-2025 17:13:39.411,34,RECV,7E000F81000741024E373032352D4F305457C1
09-09-2025 17:13:39.411,35,RECV,7E000F81000638024E363032362D53375333E5
09-09-2025 17:13:39.411,36,RECV,7E000F81000639024E363032372D5334524BCF
09-09-2025 17:13:39.421,37,RECV,7E000F81000741024E373032382D584B4736C8
09-09-2025 17:13:39.422,38,RECV,7E000F81000639024E363032382D3430444CFE
09-09-2025 17:13:39.460,39,RECV,7E000F81000639024E363033302D52503532F0
09-09-2025 17:13:39.510,40,RECV,7E000F81000639024E363033352D44344D45EA
09-09-2025 17:13:39.549,41,RECV,7E000F8100083E024E383033382D4D365930DC
09-09-2025 17:13:39.549,42,RECV,7E000F81000639024E363033372D54304554D5
09-09-2025 17:13:39.549,43,RECV,7E000F81000639024E363033382D41473844ED
09-09-2025 17:13:39.549,44,RECV,7E000F81000639024E363033392D58373645E6
09-09-2025 17:13:39.549,45,RECV,7E000F81000843024E383034312D54313154DF
09-09-2025 17:13:39.549,46,RECV,7E000F81000639024E363034302D574E4E57AE
09-09-2025 17:13:39.549,47,RECV,7E000F81000639024E363034312D30543650ED
09-09-2025 17:13:39.550,48,RECV,7E000F81000639024E363034322D3341304210
09-09-2025 17:13:39.550,49,RECV,7E000F81000639024E363034332D314E433003
09-09-2025 17:13:39.550,50,RECV,7E000F81000742024E373034352D4D5A575A90
09-09-2025 17:13:39.550,51,RECV,7E000F81000639024E363034342D524C3735EA
09-09-2025 17:13:39.550,52,RECV,7E000F81000639024E363034352D3430494402
09-09-2025 17:13:39.560,53,RECV,7E000F81000639024E363034372D55553451C2
09-09-2025 17:13:39.610,54,RECV,7E000F81000639024E363034392D38554659C3
09-09-2025 17:13:39.610,55,RECV,7E000F81000639024E363035302D55334333F9
09-09-2025 17:13:39.610,56,RECV,7E000F81000742024E373035322D52514548BA
09-09-2025 17:13:39.610,57,RECV,7E000F81000639024E363035312D3333304818
09-09-2025 17:13:39.610,58,RECV,7E000F81000639024E363035322D35563144F5
09-09-2025 17:13:39.610,59,RECV,7E000F81000743024E373035352D51505044B1
09-09-2025 17:13:39.610,60,RECV,7E000F81000639024E363035342D53514343C9
09-09-2025 17:13:39.611,61,RECV,7E000F81000639024E363035352D4136444BEC
09-09-2025 17:13:39.621,62,RECV,7E000F8100063A024E363035362D53304C4ED3
