09-09-2025 18:01:24.685,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB1 - 57600/8/M/1/N,1,46"

09-09-2025 18:00:17.136,0,RECV,7E000F81000843024E383030302D58324C44D4
09-09-2025 18:00:17.136,1,RECV,7E000F81000326024E333030302D43464E41FD
09-09-2025 18:00:17.137,2,RECV,7E000F81000743024E373030302D35455142E3
09-09-2025 18:00:17.186,3,RECV,7E000F8100041D024E343030302D433349302D
09-09-2025 18:00:17.186,4,RECV,7E000F81000323024E333030312D564F5449D5
09-09-2025 18:00:17.187,5,RECV,7E000F8100041D024E343030312D39474A58F9
09-09-2025 18:00:17.187,6,RECV,7E000F81000744024E373030322D4E594538C9
09-09-2025 18:00:17.187,7,RECV,7E000F81000323024E333030322D5732313626
09-09-2025 18:00:17.187,8,RECV,7E000F8100041E024E343030322D4A35385210
09-09-2025 18:00:17.187,9,RECV,7E000F8100041D024E343030332D4E565147DD
09-09-2025 18:00:17.188,10,RECV,7E000F81000323024E333030332D444B4A3408
09-09-2025 18:00:17.188,11,RECV,7E000F8100041D024E343030342D34324B4C1B
09-09-2025 18:00:17.188,12,RECV,7E000F8100041D024E343030352D5938345200
09-09-2025 18:00:17.189,13,RECV,7E000F8100041D024E343030362D4944454FF5
09-09-2025 18:00:17.189,14,RECV,7E000F81000324024E333030362D3439444A16
09-09-2025 18:00:17.189,15,RECV,7E000F8100041D024E343030372D514C5853CD
09-09-2025 18:00:17.189,16,RECV,7E000F8100041D024E343030382D48355656EB
09-09-2025 18:00:17.189,17,RECV,7E000F8100041D024E343030392D58565249CA
09-09-2025 18:00:17.199,18,RECV,7E000F8100041C024E343031302D39414F4A09
09-09-2025 18:00:17.202,19,RECV,7E000F8100041D024E343031312D3749425008
09-09-2025 18:00:17.202,20,RECV,7E000F8100041D024E343031322D3742393334
09-09-2025 18:00:17.261,21,RECV,7E000F8100041E024E343031332D57565737DC
09-09-2025 18:00:17.273,22,RECV,7E000F81000744024E373031342D42474353CB
09-09-2025 18:00:17.305,23,RECV,7E000F8100041D024E343031342D4C543351F3
09-09-2025 18:00:17.305,24,RECV,7E000F81000843024E383031352D53523632DB
09-09-2025 18:00:17.305,25,RECV,7E000F8100041D024E343031352D3152534FF1
09-09-2025 18:00:17.305,26,RECV,7E000F81000744024E373031362D564B4148BE
09-09-2025 18:00:17.305,27,RECV,7E000F8100041D024E343031362D554D5455CA
09-09-2025 18:00:17.306,28,RECV,7E000F8100041D024E343031372D454C5457D8
09-09-2025 18:00:17.306,29,RECV,7E000F8100041D024E343031382D533748320F
09-09-2025 18:00:17.306,30,RECV,7E000F8100041D024E343031392D4756354FF1
09-09-2025 18:00:17.306,31,RECV,7E000F8100041D024E343032302D45554E51E1
09-09-2025 18:00:17.306,32,RECV,7E000F8100041D024E343032312D37515552EA
09-09-2025 18:00:17.363,33,RECV,7E000F8100041D024E343032322D324A58350F
09-09-2025 18:00:17.364,34,RECV,7E000F8100041D024E343032332D5659484AD6
09-09-2025 18:00:17.364,35,RECV,7E000F81000744024E373032342D425A4546C2
09-09-2025 18:00:17.364,36,RECV,7E000F8100041D024E343032342D535A4941DF
09-09-2025 18:00:17.364,37,RECV,7E000F81000743024E373032352D47455635D2
09-09-2025 18:00:17.364,38,RECV,7E000F8100041D024E343032352D3149573014
09-09-2025 18:00:17.364,39,RECV,7E000F81000845024E383032362D38535545BF
09-09-2025 18:00:17.365,40,RECV,7E000F8100041D024E343032362D3142504F02
09-09-2025 18:00:17.365,41,RECV,7E000F81000744024E373032372D43393338FF
09-09-2025 18:00:17.365,42,RECV,7E000F8100041D024E343032372D3458353022
09-09-2025 18:00:17.365,43,RECV,7E000F81000744024E373032382D4B414652C1
09-09-2025 18:00:17.365,44,RECV,7E000F8100041D024E343032382D5A455631EC
09-09-2025 18:00:17.365,45,RECV,7E000F81000743024E373032392D4658335ABA
09-09-2025 18:00:17.365,46,RECV,7E000F8100041D024E343032392D3445504107
09-09-2025 18:00:17.365,47,RECV,7E000F8100041D024E343033302D443231373B
09-09-2025 18:00:17.365,48,RECV,7E000F8100041D024E343033312D474F4548F5
09-09-2025 18:00:17.365,49,RECV,7E000F81000844024E383033322D444C3354D1
09-09-2025 18:00:17.365,50,RECV,7E000F8100041D024E343033322D54464A55DE
09-09-2025 18:00:17.365,51,RECV,7E000F81000844024E383033332D45585350A7
09-09-2025 18:00:17.365,52,RECV,7E000F8100041D024E343033332D55385146F2
09-09-2025 18:00:17.365,53,RECV,7E000F81000844024E383033342D594A3259B8
09-09-2025 18:00:17.365,54,RECV,7E000F8100041D024E343033342D49514F4DDF
09-09-2025 18:00:17.365,55,RECV,7E000F81000426024E343033352D423241391D
09-09-2025 18:00:17.365,56,RECV,7E000F81000845024E383033362D41544C34CE
09-09-2025 18:00:17.365,57,RECV,7E000F8100041D024E343033362D48384B4CFC
09-09-2025 18:00:17.365,58,RECV,7E000F8100041D024E343033372D37494A3612
09-09-2025 18:00:17.384,59,RECV,7E000F8100041D024E343033382D4A4C4A43EE
09-09-2025 18:00:17.385,60,RECV,7E000F8100041D024E343033392D3142475006
09-09-2025 18:00:17.385,61,RECV,7E000F8100041D024E343034302D3330475519
09-09-2025 18:00:17.385,62,RECV,7E000F81000744024E373034302D524C4C31D0
09-09-2025 18:00:17.385,63,RECV,7E000F8100041D024E343034312D4838534400
09-09-2025 18:00:17.385,64,RECV,7E000F8100041D024E343034322D39334E5507
09-09-2025 18:00:17.436,65,RECV,7E000F8100041D024E343034342D49565030F5
09-09-2025 18:00:17.460,66,RECV,7E000F8100041C024E343034352D58595659B4
09-09-2025 18:00:17.460,67,RECV,7E000F81000845024E383034352D4C394257C5
09-09-2025 18:00:17.507,68,RECV,7E000F8100041C024E343034362D3856474FEF
09-09-2025 18:00:17.507,69,RECV,7E000F8100041C024E343034372D56563448EA
09-09-2025 18:00:17.507,70,RECV,7E000F81000745024E373034372D49494C4EB7
09-09-2025 18:00:17.508,71,RECV,7E000F8100041C024E343034382D5553474FD3
09-09-2025 18:00:17.508,72,RECV,7E000F81000744024E373034382D33433943F1
09-09-2025 18:00:17.508,73,RECV,7E000F8100041C024E343034392D323735561C
09-09-2025 18:00:17.508,74,RECV,7E000F8100041C024E343035302D4E4C4739FE
09-09-2025 18:00:17.508,75,RECV,7E000F81000846024E383035302D53564633C4
09-09-2025 18:00:17.508,76,RECV,7E000F81000744024E373035302D49353858DC
09-09-2025 18:00:17.508,77,RECV,7E000F8100041C024E343035312D57524F32ED
09-09-2025 18:00:17.508,78,RECV,7E000F8100041C024E343035322D39394F447D31
09-09-2025 18:00:17.508,79,RECV,7E000F81000845024E383035322D464B3538E7
09-09-2025 18:00:17.508,80,RECV,7E000F81000744024E373035322D44484D48C7
09-09-2025 18:00:17.508,81,RECV,7E000F8100041C024E343035332D34424E440D
09-09-2025 18:00:17.508,82,RECV,7E000F81000844024E383035332D55483441D3
09-09-2025 18:00:17.508,83,RECV,7E000F8100041C024E343035342D42504850EA
09-09-2025 18:00:17.508,84,RECV,7E000F8100041C024E343035352D36444D4B01
09-09-2025 18:00:17.508,85,RECV,7E000F81000845024E383035352D584E414EAD
09-09-2025 18:00:17.508,86,RECV,7E000F8100041C024E343035362D52374259EE
09-09-2025 18:00:17.508,87,RECV,7E000F81000845024E383035362D4F49554AAA
09-09-2025 18:00:17.508,88,RECV,7E000F8100041C024E343035372D433831392C
09-09-2025 18:00:17.508,89,RECV,7E000F8100041C024E343035382D44454648F9
09-09-2025 18:00:17.508,90,RECV,7E000F8100041C024E343035392D4D485254D4
09-09-2025 18:00:17.509,91,RECV,7E000F8100041C024E343036302D38384A431A
09-09-2025 18:00:17.509,92,RECV,7E000F8100041C024E343036312D3350384516
09-09-2025 18:00:17.509,93,RECV,7E000F8100041C024E343036322D46534557E0
09-09-2025 18:00:17.509,94,RECV,7E000F8100041C024E343036332D33304F4220
09-09-2025 18:00:17.509,95,RECV,7E000F8100041C024E343036342D54554B4BD4
09-09-2025 18:00:17.509,96,RECV,7E000F8100041C024E343036352D395A333616
09-09-2025 18:00:17.537,97,RECV,7E000F8100041C024E343036362D59383457F5
09-09-2025 18:00:17.537,98,RECV,7E000F8100041C024E343036372D5541594CD5
09-09-2025 18:00:17.638,99,RECV,7E000F8100041D024E343036382D455A3843F4
09-09-2025 18:00:17.639,100,RECV,7E000F8100041C024E343036392D5A435254CB
09-09-2025 18:00:17.639,101,RECV,7E000F81000844024E383036382D4D475147B3
09-09-2025 18:00:17.639,102,RECV,7E000F81000744024E373036382D4D374B47CB
09-09-2025 18:00:17.639,103,RECV,7E000F8100041C024E343037302D54464A48EA
09-09-2025 18:00:17.639,104,RECV,7E000F8100041C024E343037312D4D36483812
09-09-2025 18:00:17.639,105,RECV,7E000F81000844024E383037302D35574F39D2
09-09-2025 18:00:17.639,106,RECV,7E000F8100041C024E343037322D59344351F3
09-09-2025 18:00:17.639,107,RECV,7E000F8100041C024E343037332D37565348EB
09-09-2025 18:00:17.639,108,RECV,7E000F81000744024E373037322D43344D38EA
09-09-2025 18:00:17.639,109,RECV,7E000F8100041C024E343037342D57415130F9
09-09-2025 18:00:17.640,110,RECV,7E000F8100041C024E343037352D4D3642321A
09-09-2025 18:00:17.640,111,RECV,7E000F81000844024E383037342D4D57304EC0
09-09-2025 18:00:17.640,112,RECV,7E000F81000744024E373037342D4550585A9D
09-09-2025 18:00:17.640,113,RECV,7E000F8100041C024E343037362D3938594BFB
09-09-2025 18:00:17.640,114,RECV,7E000F8100041C024E343037372D59574B39DB
09-09-2025 18:00:17.640,115,RECV,7E000F81000844024E383037362D39415557BA
09-09-2025 18:00:17.640,116,RECV,7E000F81000744024E373037362D4D574A49AB
09-09-2025 18:00:17.640,117,RECV,7E000F8100041C024E343037382D443233527D33
09-09-2025 18:00:17.640,118,RECV,7E000F8100041C024E343037392D54413356EF
09-09-2025 18:00:17.640,119,RECV,7E000F81000744024E373037382D374C3051DC
09-09-2025 18:00:17.640,120,RECV,7E000F8100041C024E343038302D55593141F5
09-09-2025 18:00:17.640,121,RECV,7E000F81000744024E373037392D58334845C7
09-09-2025 18:00:17.640,122,RECV,7E000F8100041C024E343038312D43575933EE
09-09-2025 18:00:17.640,123,RECV,7E000F81000745024E373038302D504D4338CE
09-09-2025 18:00:17.640,124,RECV,7E000F8100041C024E343038322D42475936FB
09-09-2025 18:00:17.700,125,RECV,7E000F81000744024E373038312D3235453109
09-09-2025 18:00:17.727,126,RECV,7E000F8100041C024E343038332D52424B4CE7
09-09-2025 18:00:17.727,127,RECV,7E000F81000744024E373038322D3751334FDB
09-09-2025 18:00:17.727,128,RECV,7E000F8100041C024E343038342D4A563051F0
09-09-2025 18:00:17.727,129,RECV,7E000F8100041C024E343038352D35495548F5
09-09-2025 18:00:17.727,130,RECV,7E000F81000744024E373038342D34565459AC
09-09-2025 18:00:17.727,131,RECV,7E000F8100041C024E343038362D57355544EA
09-09-2025 18:00:17.727,132,RECV,7E000F81000745024E373038352D3636464CE3
09-09-2025 18:00:17.727,133,RECV,7E000F8100041C024E343038372D48375345F7
09-09-2025 18:00:17.727,134,RECV,7E000F8100041C024E343038382D58514237EB
09-09-2025 18:00:17.727,135,RECV,7E000F8100041C024E343038392D4F303958FC
09-09-2025 18:00:17.727,136,RECV,7E000F8100041C024E343039302D4234443327
09-09-2025 18:00:17.727,137,RECV,7E000F8100041C024E343039312D3630384431
09-09-2025 18:00:17.727,138,RECV,7E000F8100041C024E343039322D3130395721
09-09-2025 18:00:17.727,139,RECV,7E000F8100041C024E343039332D59325849E5
09-09-2025 18:00:17.727,140,RECV,7E000F8100041C024E343039342D3845574FED
09-09-2025 18:00:17.728,141,RECV,7E000F8100041C024E343039352D5742313015
09-09-2025 18:00:17.728,142,RECV,7E000F8100041C024E343039362D314E4C350E
09-09-2025 18:00:17.728,143,RECV,7E000F8100041C024E343039372D324237570B
09-09-2025 18:00:17.737,144,RECV,7E000F8100041D024E343039382D5348464EDC
09-09-2025 18:00:17.737,145,RECV,7E000F8100041C024E343039392D46335252EE
09-09-2025 18:00:17.737,146,RECV,7E000F81000324024E333039392D4C4E4E37E6
09-09-2025 18:00:17.737,147,RECV,7E000F81000744024E373039392D43415955AB
