05-26-2025 19:32:01.023,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

05-26-2025 19:30:48.210,0,RECV,7E000F81000036024E353030322D5956474CC2
05-26-2025 19:30:48.512,1,RECV,7E000F81000036024E353030332D4A504C51CC
05-26-2025 19:30:48.513,2,RECV,7E007D338100002E000DFFFFFFFFFFFFFFFF0000005348B0
05-26-2025 19:30:48.513,3,RECV,7E007D3381000036000DFFFFFFFFFFFFFFFF0000005348A8
05-26-2025 19:30:48.813,4,RECV,7E000F81000036024E353030342D524D5957B3
05-26-2025 19:30:48.817,5,RECV,7E000F81000020024E323030342D4C41543604
05-26-2025 19:30:49.114,6,RECV,7E000F81000037024E353030352D365A484ADE
05-26-2025 19:30:49.114,7,RECV,7E000F8100002F024E363030352D49455230F7
05-26-2025 19:30:49.414,8,RECV,7E000F81000037024E353030362D444B4357D6
05-26-2025 19:30:49.685,9,RECV,7E000F81000037024E353030372D35505146E2
05-26-2025 19:30:49.686,10,RECV,7E000F81000022024E323030372D4449363122
05-26-2025 19:30:49.686,11,RECV,7E007D3181F9DF230272004E313030372D53523533BF
05-26-2025 19:30:50.016,12,RECV,7E000F81000037024E353030382D51564858B6
05-26-2025 19:30:50.017,13,RECV,7E000F81000021024E323030382D4A44424AFC
05-26-2025 19:30:50.018,14,RECV,7E007D3181F9DF220273004E313030382D4B4B4444AD
05-26-2025 19:30:50.317,15,RECV,7E000F81000037024E353030392D43464A57D2
05-26-2025 19:30:50.318,16,RECV,7E000F81000020024E323030392D4533553316
05-26-2025 19:30:50.318,17,RECV,7E007D3181F9DF230274004E313030392D52563341AC
05-26-2025 19:30:50.618,18,RECV,7E000F81000037024E353031302D4A53354DE5
05-26-2025 19:30:50.619,19,RECV,7E000F81000021024E323031302D473535323A
05-26-2025 19:30:50.619,20,RECV,7E007D3181F9DF220275004E313031302D424D3647C4
05-26-2025 19:30:50.920,21,RECV,7E000F81000037024E353031312D37384955F6
05-26-2025 19:30:50.921,22,RECV,7E000F81000021024E323031312D4151574AE9
05-26-2025 19:30:50.922,23,RECV,7E007D3181F9DF220276004E313031312D34325238DE
05-26-2025 19:30:51.220,24,RECV,7E000F81000037024E353031322D4B464C46DF
05-26-2025 19:30:51.220,25,RECV,7E000F81000021024E323031322D434D48327D31
05-26-2025 19:30:51.220,26,RECV,7E007D3181F9DF230277004E313031322D47514F598B
05-26-2025 19:30:51.491,27,RECV,7E000F81000037024E353031332D4B4C5037E3
05-26-2025 19:30:51.491,28,RECV,7E000F81000022024E323031332D574A5756CB
05-26-2025 19:30:51.492,29,RECV,7E007D3181F9DF220278004E313031332D444D3257B0
05-26-2025 19:30:51.822,30,RECV,7E000F81000036024E353031342D50424238F5
05-26-2025 19:30:51.823,31,RECV,7E000F81000022024E323031342D3641563318
05-26-2025 19:30:51.823,32,RECV,7E007D3181F9DF230279004E313031342D38304D43CF
05-26-2025 19:30:52.123,33,RECV,7E000F81000036024E353031352D474C4754D2
05-26-2025 19:30:52.123,34,RECV,7E000F81000021024E323031352D35445958EE
05-26-2025 19:30:52.123,35,RECV,7E007D3181F9DF22027A004E313031352D4635304CCF
05-26-2025 19:30:52.424,36,RECV,7E000F81000036024E353031362D584D5732D1
05-26-2025 19:30:52.426,37,RECV,7E000F81000022024E323031362D59474752DD
05-26-2025 19:30:52.433,38,RECV,7E007D3181F9DF22027B004E313031362D574D4536A5
05-26-2025 19:30:52.524,39,RECV,7E007D3381000036001BFFFFFFFFFFFFFFFF00000053489A
05-26-2025 19:30:52.526,40,RECV,7E007D338100002D001BFFFFFFFFFFFFFFFF0000005348A3
05-26-2025 19:30:52.725,41,RECV,7E000F81000036024E353031372D4E4A3341F2
05-26-2025 19:30:52.726,42,RECV,7E000F81000021024E323031372D49425A4EE3
05-26-2025 19:30:52.726,43,RECV,7E007D3181F9DF22027C004E313031372D36364C46C4
05-26-2025 19:30:52.996,44,RECV,7E000F81000036024E353031382D4A364D38F8
05-26-2025 19:30:52.996,45,RECV,7E000F81000022024E323031382D4E544A47E1
05-26-2025 19:30:52.997,46,RECV,7E007D3181F9DF22027D5D004E313031382D53455A517D5D
05-26-2025 19:30:53.327,47,RECV,7E000F81000036024E353031392D58525756A5
05-26-2025 19:30:53.329,48,RECV,7E000F81000020024E323031392D394E423616
05-26-2025 19:30:53.330,49,RECV,7E007D3181F9DF22027D5E004E313031392D354C354CBC
05-26-2025 19:30:53.629,50,RECV,7E000F81000036024E353032302D47433950F1
05-26-2025 19:30:53.635,51,RECV,7E000F81000021024E323032302D4E535546E0
05-26-2025 19:30:53.635,52,RECV,7E007D3181F9DF22027F004E313032302D4F375232BB
05-26-2025 19:30:53.930,53,RECV,7E000F81000036024E353032312D31365558EF
05-26-2025 19:30:53.939,54,RECV,7E000F81000020024E323032312D54484441FB
05-26-2025 19:30:53.939,55,RECV,7E007D3181F9DF220280004E313032312D32445544B4
05-26-2025 19:30:54.230,56,RECV,7E000F81000039024E353032322D4432425AED
05-26-2025 19:30:54.232,57,RECV,7E000F81000021024E323032322D39544855F0
05-26-2025 19:30:54.237,58,RECV,7E007D3181F9DF230281004E313032322D55494B498E
05-26-2025 19:30:54.532,59,RECV,7E000F81000038024E353032332D58555858A2
05-26-2025 19:30:54.537,60,RECV,7E000F81000021024E323032332D33584C49F9
05-26-2025 19:30:54.550,61,RECV,7E007D3181F9DF220282004E313032332D3557475399
05-26-2025 19:30:54.802,62,RECV,7E000F81000039024E353032342D48383554F4
05-26-2025 19:30:54.803,63,RECV,7E000F81000021024E323032342D52523150F3
05-26-2025 19:30:54.814,64,RECV,7E007D3181F9DF230283004E313032342D53335A5686
05-26-2025 19:30:55.134,65,RECV,7E000F81000038024E353032352D534B3530FA
05-26-2025 19:30:55.141,66,RECV,7E000F81000021024E323032352D484D534DE2
05-26-2025 19:30:55.142,67,RECV,7E007D3181F9DF220284004E313032352D52395A379F
05-26-2025 19:30:55.434,68,RECV,7E000F81000038024E353032362D51384245EC
05-26-2025 19:30:55.435,69,RECV,7E000F81000021024E323032362D3245425508
05-26-2025 19:30:55.435,70,RECV,7E007D3181F9DF220285004E313032362D53304551A0
05-26-2025 19:30:55.736,71,RECV,7E000F81000037024E353032372D364B344304
05-26-2025 19:30:55.737,72,RECV,7E000F81000021024E323032372D4D485A55D1
05-26-2025 19:30:55.738,73,RECV,7E007D3181F9DF230286004E313032372D4A48475984
05-26-2025 19:30:56.036,74,RECV,7E000F81000036024E353032382D46313454FD
05-26-2025 19:30:56.036,75,RECV,7E000F81000021024E323032382D4858494BE0
05-26-2025 19:30:56.036,76,RECV,7E007D3181F9DF220287004E313032382D41354355A7
05-26-2025 19:30:56.307,77,RECV,7E000F81000036024E353032392D53505138CF
05-26-2025 19:30:56.307,78,RECV,7E000F81000021024E323032392D3630464B1C
05-26-2025 19:30:56.336,79,RECV,7E007D3181F9DF230288004E313032392D594A54308B
05-26-2025 19:30:56.537,80,RECV,7E007D338100002E0029FFFFFFFFFFFFFFFF000000534894
05-26-2025 19:30:56.637,81,RECV,7E000F81000037024E353033302D53475A48C6
05-26-2025 19:30:56.638,82,RECV,7E000F81000022024E323033302D49395652F0
05-26-2025 19:30:56.638,83,RECV,7E007D3181F9DF220289004E313033302D3146565499
05-26-2025 19:30:56.938,84,RECV,7E000F81000039024E353033312D4B4D4347DD
05-26-2025 19:30:56.938,85,RECV,7E000F81000021024E323033312D41574156EB
05-26-2025 19:30:56.938,86,RECV,7E007D3181F9DF23028A004E313033312D324452559A
05-26-2025 19:30:57.239,87,RECV,7E000F81000039024E353033322D58474E36DB
05-26-2025 19:30:57.242,88,RECV,7E000F81000021024E323033322D35464956FF
05-26-2025 19:30:57.244,89,RECV,7E007D3181F9DF23028B004E313033322D304D4E32B8
05-26-2025 19:30:57.539,90,RECV,7E000F8100003A024E353033332D59525554A8
05-26-2025 19:30:57.540,91,RECV,7E000F81000022024E323033332D51534739F3
05-26-2025 19:30:57.540,92,RECV,7E007D3181F9DF22028C004E313033332D48593832A9
05-26-2025 19:30:57.840,93,RECV,7E000F81000039024E353033342D44385046EA
05-26-2025 19:30:57.840,94,RECV,7E000F81000022024E323033342D5A54394FE0
05-26-2025 19:30:57.841,95,RECV,7E007D3181F9DF23028D004E313033342D4B564C4B79
05-26-2025 19:30:58.141,96,RECV,7E000F81000039024E353033352D4445564BD1
05-26-2025 19:30:58.141,97,RECV,7E000F81000022024E323033352D3153564EED
05-26-2025 19:30:58.141,98,RECV,7E007D3181F9DF22028E004E313033352D585A334A81
05-26-2025 19:30:58.442,99,RECV,7E000F81000039024E353033362D3630543907
05-26-2025 19:30:58.447,100,RECV,7E000F81000022024E323033362D45445251E8
05-26-2025 19:30:58.448,101,RECV,7E007D3181F9DF23028F004E313033362D3138334EC3
05-26-2025 19:30:58.743,102,RECV,7E000F81000039024E353033372D34414B48F1
05-26-2025 19:30:58.748,103,RECV,7E000F81000022024E323033372D4D31394319
05-26-2025 19:30:58.748,104,RECV,7E007D3181F9DF220290004E313033372D544A4D378A
05-26-2025 19:30:59.044,105,RECV,7E000F81000039024E353033382D46444531F8
05-26-2025 19:30:59.044,106,RECV,7E000F81000022024E323033382D484B473602
05-26-2025 19:30:59.045,107,RECV,7E007D3181F9DF220291004E313033382D3445455A92
05-26-2025 19:30:59.345,108,RECV,7E000F81000038024E353033392D39495455CD
05-26-2025 19:30:59.351,109,RECV,7E000F81000022024E323033392D58534254D0
05-26-2025 19:30:59.351,110,RECV,7E007D3181F9DF230292004E313033392D5253455865
05-26-2025 19:30:59.646,111,RECV,7E000F81000037024E353034302D413938331C
05-26-2025 19:30:59.647,112,RECV,7E000F81000022024E323034302D3632563427
05-26-2025 19:30:59.647,113,RECV,7E007D3181F9DF220293004E313034302D53424D3994
05-26-2025 19:30:59.947,114,RECV,7E000F81000037024E353034312D39304D50FA
05-26-2025 19:30:59.949,115,RECV,7E000F81000022024E323034312D4A385751EE
05-26-2025 19:30:59.950,116,RECV,7E007D3181F9DF230294004E313034312D325A4E5181
05-26-2025 19:31:00.248,117,RECV,7E000F81000037024E353034322D4E395A5AC4
05-26-2025 19:31:00.251,118,RECV,7E000F81000021024E323034322D3730535509
05-26-2025 19:31:00.251,119,RECV,7E007D3181F9DF230295004E313034322D4C383243B1
05-26-2025 19:31:00.548,120,RECV,7E000F81000038024E353034332D3049564DE1
05-26-2025 19:31:00.549,121,RECV,7E007D33810000370038FFFFFFFFFFFFFFFF00000053487C
05-26-2025 19:31:00.549,122,RECV,7E007D338100002F0037FFFFFFFFFFFFFFFF000000534885
05-26-2025 19:31:00.549,123,RECV,7E000F81000021024E323034332D4F38324D7D31
05-26-2025 19:31:00.549,124,RECV,7E007D3181F9DF220296004E313034332D434148538A
05-26-2025 19:31:00.849,125,RECV,7E000F81000037024E353034342D56524D35D3
05-26-2025 19:31:00.850,126,RECV,7E000F81000022024E323034342D353936422F
05-26-2025 19:31:00.850,127,RECV,7E007D3181F9DF230297004E313034342D4A53305683
05-26-2025 19:31:01.150,128,RECV,7E000F81000037024E353034352D4F363445FE
05-26-2025 19:31:01.150,129,RECV,7E000F81000021024E323034352D53425455D7
