05-27-2025 01:08:22.458,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

05-26-2025 19:44:24.599,0,RECV,7E000F8100001C024E333030302D4F43374415
05-26-2025 19:44:25.000,1,RECV,7E000F81000037024E383030312D4D495758BC
05-26-2025 19:44:25.021,2,RECV,7E000F8100001C024E333030312D36324E313A
05-26-2025 19:44:25.027,3,RECV,7E000F81000040024E373030312D54445230DF
05-26-2025 19:44:25.032,4,RECV,7E007D3381000040000BFFFFFFFFFFFFFFFF0000005348A0
05-26-2025 19:44:25.032,5,RECV,7E007D3381000037000BFFFFFFFFFFFFFFFF0000005348A9
05-26-2025 19:44:25.402,6,RECV,7E000F81000037024E383030322D4B5A494CC6
05-26-2025 19:44:25.422,7,RECV,7E000F81000023024E343030322D52555249D6
05-26-2025 19:44:25.428,8,RECV,7E000F8100001C024E333030322D3849563712
05-26-2025 19:44:25.452,9,RECV,7E007D338100001C000CFFFFFFFFFFFFFFFF0000005348C3
05-26-2025 19:44:25.457,10,RECV,7E007D3381000023000CFFFFFFFFFFFFFFFF0000005348BC
05-26-2025 19:44:25.803,11,RECV,7E000F81000036024E383030332D4D465848CD
05-26-2025 19:44:25.824,12,RECV,7E000F81000023024E343030332D48444F41FB
05-26-2025 19:44:25.826,13,RECV,7E000F8100001C024E333030332D434B553309
05-26-2025 19:44:25.826,14,RECV,7E000F81000040024E373030332D5637374CE7
05-26-2025 19:44:26.214,15,RECV,7E000F81000036024E383030342D50304947EF
05-26-2025 19:44:26.215,16,RECV,7E000F81000023024E343030342D3034343846
05-26-2025 19:44:26.217,17,RECV,7E000F8100001C024E333030342D31305A4221
05-26-2025 19:44:26.616,18,RECV,7E000F81000036024E383030352D39594C30F0
05-26-2025 19:44:26.616,19,RECV,7E000F81000023024E343030352D4A4D574ADD
05-26-2025 19:44:26.618,20,RECV,7E000F8100001C024E333030352D47424F4500
05-26-2025 19:44:27.017,21,RECV,7E000F81000036024E383030362D4E463248EF
05-26-2025 19:44:27.017,22,RECV,7E000F81000023024E343030362D584D5A36DF
05-26-2025 19:44:27.018,23,RECV,7E000F8100001B024E333030362D34394A4224
05-26-2025 19:44:27.418,24,RECV,7E000F81000036024E383030372D4332544BE8
05-26-2025 19:44:27.451,25,RECV,7E000F81000023024E343030372D5132463416
05-26-2025 19:44:27.451,26,RECV,7E000F8100001C024E333030372D315A4E50F2
05-26-2025 19:44:27.819,27,RECV,7E000F81000035024E383030382D51504D30DE
05-26-2025 19:44:27.849,28,RECV,7E000F81000023024E343030382D3059523601
05-26-2025 19:44:27.855,29,RECV,7E000F8100001C024E333030382D3149474910
05-26-2025 19:44:28.220,30,RECV,7E000F81000035024E383030392D57355942D4
05-26-2025 19:44:28.225,31,RECV,7E000F81000023024E343030392D37595838F1
05-26-2025 19:44:28.226,32,RECV,7E000F8100001C024E333030392D3932343248
05-26-2025 19:44:28.231,33,RECV,7E000F8100003D024E373030392D59453436EC
05-26-2025 19:44:28.622,34,RECV,7E000F81000035024E383031302D4A4E333305
05-26-2025 19:44:28.643,35,RECV,7E000F81000023024E343031302D4850384603
05-26-2025 19:44:28.644,36,RECV,7E000F8100001C024E333031302D524C314A08
05-26-2025 19:44:28.644,37,RECV,7E000F8100003E024E373031302D39583344F3
05-26-2025 19:44:29.013,38,RECV,7E000F81000038024E383031312D41503750E7
05-26-2025 19:44:29.041,39,RECV,7E000F81000023024E343031312D4753444CEE
05-26-2025 19:44:29.054,40,RECV,7E000F8100001C024E333031312D57554353DE
05-26-2025 19:44:29.054,41,RECV,7E000F81000040024E373031312D37334F43FC
05-26-2025 19:44:29.054,42,RECV,7E007D338100003A0016FFFFFFFFFFFFFFFF00000053489B
05-26-2025 19:44:29.054,43,RECV,7E007D33810000430016FFFFFFFFFFFFFFFF000000534892
05-26-2025 19:44:29.414,44,RECV,7E000F8100003A024E383031322D304E514BE2
05-26-2025 19:44:29.425,45,RECV,7E000F81000023024E343031322D53595549CD
05-26-2025 19:44:29.425,46,RECV,7E000F8100001C024E333031322D30364B501E
05-26-2025 19:44:29.425,47,RECV,7E000F81000040024E373031322D35494E55D6
05-26-2025 19:44:29.465,48,RECV,7E007D338100001C0017FFFFFFFFFFFFFFFF0000005348B8
05-26-2025 19:44:29.816,49,RECV,7E000F81000038024E383031332D39385649ED
05-26-2025 19:44:29.846,50,RECV,7E000F81000023024E343031332D52424844F6
05-26-2025 19:44:29.846,51,RECV,7E000F8100001C024E333031332D39455453F9
05-26-2025 19:44:29.846,52,RECV,7E000F81000040024E373031332D54423752D7
05-26-2025 19:44:30.219,53,RECV,7E000F81000037024E383031342D4A4A343104
05-26-2025 19:44:30.245,54,RECV,7E000F81000022024E343031342D50493352F8
05-26-2025 19:44:30.246,55,RECV,7E000F8100001C024E333031342D4537365219
05-26-2025 19:44:30.246,56,RECV,7E000F81000041024E373031342D4B4B464FC9
05-26-2025 19:44:30.620,57,RECV,7E000F81000036024E383031352D55365731EA
05-26-2025 19:44:30.670,58,RECV,7E000F81000023024E343031352D4458564ED4
05-26-2025 19:44:30.670,59,RECV,7E000F8100001C024E333031352D4733474D0E
05-26-2025 19:44:30.670,60,RECV,7E000F8100003F024E373031352D5833383002
05-26-2025 19:44:31.021,61,RECV,7E000F81000035024E383031362D354431470C
05-26-2025 19:44:31.071,62,RECV,7E000F81000023024E343031362D3851543006
05-26-2025 19:44:31.080,63,RECV,7E000F8100001C024E333031362D5353423102
05-26-2025 19:44:31.080,64,RECV,7E000F8100003F024E373031362D3837555AD6
05-26-2025 19:44:31.422,65,RECV,7E000F81000035024E383031372D4C48315ADD
