06-02-2025 15:17:50.611,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-02-2025 15:16:41.725,0,RECV,7E007D318100011A02C2004E313030302D4A4A4C453E
06-02-2025 15:16:41.725,1,RECV,7E007D318100053402EC004E353030302D37564F41FA
06-02-2025 15:16:41.726,2,RECV,7E007D318100011B02C3004E313030312D4F4E315042
06-02-2025 15:16:41.726,3,RECV,7E007D318100062E02C1004E363030312D433056324A
06-02-2025 15:16:41.726,4,RECV,7E007D318100011B02C4004E313030322D5535475538
06-02-2025 15:16:41.726,5,RECV,7E007D318100022D02F0004E323030332D32384E4B1A
06-02-2025 15:16:41.726,6,RECV,7E007D318100011A02C5004E313030332D3042554452
06-02-2025 15:16:41.726,7,RECV,7E007D318100022B02F1004E323030342D5642444AF7
06-02-2025 15:16:41.727,8,RECV,7E007D318100011B02C6004E313030342D304952533C
06-02-2025 15:16:41.727,9,RECV,7E007D318100022702F2004E323030352D36384B4125
06-02-2025 15:16:41.727,10,RECV,7E007D318100011B02C7004E313030352D5545434E2D
06-02-2025 15:16:41.727,11,RECV,7E007D318100063202C7004E363030372D3435343464
06-02-2025 15:16:41.727,12,RECV,7E007D318100022802F4004E323030372D5548514DDF
06-02-2025 15:16:41.727,13,RECV,7E007D318100011A02C8004E313030362D3656475133
06-02-2025 15:16:41.727,14,RECV,7E007D318100022702F5004E323030382D4A355A51EF
06-02-2025 15:16:41.727,15,RECV,7E007D318100053302F5004E353030392D4A55384EE1
06-02-2025 15:16:41.727,16,RECV,7E007D318100022702F6004E323030392D534E4841ED
06-02-2025 15:16:41.727,17,RECV,7E007D318100011A02CA004E313030372D4941525820
06-02-2025 15:16:41.727,18,RECV,7E007D318100011A02CB004E313030382D4A45373458
06-02-2025 15:16:41.727,19,RECV,7E007D318100011B02CC004E313030392D41384A5834
06-02-2025 15:16:41.727,20,RECV,7E007D318100011B02CD004E313031302D36324A356F
06-02-2025 15:16:41.727,21,RECV,7E007D318100011B02CE004E313031312D4346465332
06-02-2025 15:16:41.817,22,RECV,7E007D318100022802FC004E323031342D5A583157DA
06-02-2025 15:16:41.817,23,RECV,7E007D318100011A02CF004E313031322D384E504637
06-02-2025 15:16:41.818,24,RECV,7E007D318100011B02D0004E313031332D304F483158
06-02-2025 15:16:41.818,25,RECV,7E007D318100062F02D1004E363031362D564C4F57E6
06-02-2025 15:16:41.818,26,RECV,7E007D318100022702FE004E323031352D4C39354D0B
06-02-2025 15:16:41.818,27,RECV,7E007D318100011B02D1004E313031342D564E525602
06-02-2025 15:16:41.818,28,RECV,7E007D318100053402FE004E353031382D4938575ACA
06-02-2025 15:16:41.818,29,RECV,7E007D318100022802FF004E323031362D3956414FF0
06-02-2025 15:16:41.818,30,RECV,7E007D318100011B02D2004E313031352D3746594531
06-02-2025 15:16:41.818,31,RECV,7E007D31810002280201004E323031372D4142313820
06-02-2025 15:16:41.818,32,RECV,7E007D318100011B02D3004E313031362D56354B452F
06-02-2025 15:16:41.818,33,RECV,7E007D31810002280202004E323031382D54324256EC
06-02-2025 15:16:41.818,34,RECV,7E007D318100011B02D4004E313031372D4237484E39
06-02-2025 15:16:41.818,35,RECV,7E007D318100063202D6004E363032312D42464D3025
06-02-2025 15:16:41.818,36,RECV,7E007D31810002270203004E323031392D55473650E7
06-02-2025 15:16:41.819,37,RECV,7E007D318100011B02D5004E313031382D524551540A
06-02-2025 15:16:41.819,38,RECV,7E007D318100062D02D7004E363032322D5A3354410B
06-02-2025 15:16:41.819,39,RECV,7E007D318100022B0204004E323032302D41314C3618
06-02-2025 15:16:41.819,40,RECV,7E007D318100011A02D6004E313031392D56484A5904
06-02-2025 15:16:41.819,41,RECV,7E007D318100062C02D8004E363032332D5235533121
06-02-2025 15:16:41.819,42,RECV,7E007D31810002280205004E323032312D5A565246C5
