06-02-2025 21:10:24.527,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-02-2025 21:03:23.836,0,RECV,7E007D318100011E0290004E313030302D42424F308E
06-02-2025 21:03:23.836,1,RECV,7E007D3181000537023D004E353030302D48563645AA
06-02-2025 21:03:26.802,2,RECV,7E007D31810005370240004E353030312D4C41354EAF
06-02-2025 21:03:26.802,3,RECV,7E007D31810006300212004E363030312D4E425241CF
06-02-2025 21:03:26.802,4,RECV,7E007D318100011E0291004E313030312D465554445C
06-02-2025 21:03:29.815,5,RECV,7E007D31810005340241004E353030322D315955429F
06-02-2025 21:03:29.815,6,RECV,7E007D318100011E0292004E313030322D4A4C52564F
06-02-2025 21:03:32.830,7,RECV,7E007D31810005330243004E353030332D485A4830A4
06-02-2025 21:03:32.830,8,RECV,7E007D318100062D0215004E363030332D57343753DB
06-02-2025 21:03:32.831,9,RECV,7E007D318100011F0293004E313030332D544750534C
06-02-2025 21:03:35.815,10,RECV,7E007D31810005340246004E353030342D58363045B6
06-02-2025 21:03:35.816,11,RECV,7E007D318100062D0218004E363030342D49333555E6
06-02-2025 21:03:35.822,12,RECV,7E007D318100011F0294004E313030342D37554A565C
06-02-2025 21:03:38.808,13,RECV,7E007D31810005380249004E353030352D34524F36A6
06-02-2025 21:03:38.859,14,RECV,7E007D3181000630021B004E363030352D34444557D1
06-02-2025 21:03:38.866,15,RECV,7E007D318100011E0295004E313030352D445050584B
06-02-2025 21:03:41.822,16,RECV,7E007D3181000534024A004E353030362D4851514C7D5D
06-02-2025 21:03:41.824,17,RECV,7E007D318100062E021C004E363030362D4853304AD0
06-02-2025 21:03:41.825,18,RECV,7E007D318100011E0296004E313030362D434A315A6D
06-02-2025 21:03:44.836,19,RECV,7E007D3181000534024D004E353030372D3536384BC1
06-02-2025 21:03:44.837,20,RECV,7E007D318100062D021F004E363030372D31445A32E1
06-02-2025 21:03:44.837,21,RECV,7E007D318100011E0297004E313030372D3358363092
06-02-2025 21:03:47.849,22,RECV,7E007D31810005340250004E353030382D584A35458F
06-02-2025 21:03:47.850,23,RECV,7E007D318100062D0222004E363030382D5950475995
06-02-2025 21:03:47.850,24,RECV,7E007D318100011E0298004E313030382D4D4F344968
06-02-2025 21:03:50.814,25,RECV,7E007D31810005340253004E353030392D58374A309E
06-02-2025 21:03:50.864,26,RECV,7E007D318100062E0225004E363030392D4E4C565198
06-02-2025 21:03:50.864,27,RECV,7E007D318100011E0299004E313030392D3839524F6D
06-02-2025 21:03:53.829,28,RECV,7E007D31810005340254004E353031302D424D59596D
06-02-2025 21:03:53.880,29,RECV,7E007D318100062D0226004E363031302D33433751E3
06-02-2025 21:03:53.880,30,RECV,7E007D318100011E029A004E313031302D3647524B6C
06-02-2025 21:03:56.845,31,RECV,7E007D31810005380257004E353031312D5258583173
06-02-2025 21:03:56.847,32,RECV,7E007D31810006300229004E363031312D51445437BA
06-02-2025 21:03:56.848,33,RECV,7E007D318100011E029B004E313031312D354C564C61
06-02-2025 21:03:59.820,34,RECV,7E007D3181000535025A004E353031322D555835487B
06-02-2025 21:03:59.860,35,RECV,7E007D318100062E022C004E363031322D35534B31D4
06-02-2025 21:03:59.860,36,RECV,7E007D318100011E029C004E313031322D4631413199
06-02-2025 21:04:02.873,37,RECV,7E007D318100062D022F004E363031332D37464536DD
06-02-2025 21:04:02.879,38,RECV,7E007D318100011E029D004E313031332D5237435064
06-02-2025 21:04:05.837,39,RECV,7E007D3181000537025E004E353031342D374E554A79
06-02-2025 21:04:05.887,40,RECV,7E007D318100011E029E004E313031342D564A524E3E
06-02-2025 21:04:08.849,41,RECV,7E007D31810005330261004E353031352D3233574D94
06-02-2025 21:04:08.899,42,RECV,7E007D318100062D0233004E363031352D525A434799
06-02-2025 21:04:08.907,43,RECV,7E007D318100011E02A1004E313031352D4C3051525B
06-02-2025 21:04:11.813,44,RECV,7E007D31810005340264004E353031362D3445545774
06-02-2025 21:04:11.863,45,RECV,7E007D318100062D0236004E363031362D445145529F
06-02-2025 21:04:11.863,46,RECV,7E007D318100011E02A4004E313031362D4F4F39554A
06-02-2025 21:04:14.827,47,RECV,7E007D31810005340267004E353031372D4753505A50
06-02-2025 21:04:14.928,48,RECV,7E007D318100062E0239004E363031372D4D324E49B0
06-02-2025 21:04:14.928,49,RECV,7E007D31810002320260004E323031372D41353534C4
06-02-2025 21:04:14.929,50,RECV,7E007D318100011E02A7004E313031372D5857585417
06-02-2025 21:04:17.841,51,RECV,7E007D31810005330268004E353031382D4A4C59554F
06-02-2025 21:04:17.891,52,RECV,7E007D3181000630023A004E363031382D484E534A8F
06-02-2025 21:04:17.891,53,RECV,7E007D31810002320261004E323031382D5057524563
06-02-2025 21:04:17.891,54,RECV,7E007D318100011E02A8004E313031382D494D545432
06-02-2025 21:04:20.854,55,RECV,7E007D3181000535026B004E353031392D39383244A6
06-02-2025 21:04:20.904,56,RECV,7E007D318100062F023D004E363031392D3343374EC4
06-02-2025 21:04:20.907,57,RECV,7E007D31810002320264004E323031392D3954505868
06-02-2025 21:04:20.907,58,RECV,7E007D318100011E02AB004E313031392D4346523958
