06-02-2025 18:39:24.988,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-02-2025 18:37:42.681,0,RECV,7E007D318100012C0254004E313030302D37484147B8
06-02-2025 18:37:42.681,1,RECV,7E007D318100053702A2004E353030302D4554524A29
06-02-2025 18:37:42.982,2,RECV,7E007D31810006300278004E363030312D4A45435169
06-02-2025 18:37:42.982,3,RECV,7E007D318100011F0255004E313030312D524354538E
06-02-2025 18:37:42.982,4,RECV,7E007D318100053702A5004E353030312D3036305074
06-02-2025 18:37:43.282,5,RECV,7E007D31810006300279004E363030322D385033339C
06-02-2025 18:37:43.284,6,RECV,7E007D318100011E0256004E313030322D444B374BB8
06-02-2025 18:37:43.286,7,RECV,7E007D318100053602A6004E353030322D4B384E5533
06-02-2025 18:37:43.583,8,RECV,7E007D3181000631027A004E363030332D334D48318E
06-02-2025 18:37:43.584,9,RECV,7E007D318100011E0257004E313030332D355A4935BA
06-02-2025 18:37:43.884,10,RECV,7E007D3181000630027B004E363030342D575A4D4A3E
06-02-2025 18:37:43.885,11,RECV,7E007D318100011F0258004E313030342D4F32595793
06-02-2025 18:37:44.185,12,RECV,7E007D3181000631027C004E363030352D5135444277
06-02-2025 18:37:44.185,13,RECV,7E007D318100011E0259004E313030352D42454D509F
06-02-2025 18:37:44.487,14,RECV,7E007D3181000630027D5D004E363030362D4D564A5342
06-02-2025 18:37:44.488,15,RECV,7E007D318100053802AA004E353030362D513757353B
06-02-2025 18:37:44.489,16,RECV,7E007D318100011E025A004E313030362D5430544F9A
06-02-2025 18:37:44.787,17,RECV,7E007D3181000630027D5E004E363030372D4833355779
06-02-2025 18:37:44.787,18,RECV,7E007D318100011E025B004E313030372D58484C4D86
06-02-2025 18:37:45.088,19,RECV,7E007D3181000631027F004E363030382D513654445E
06-02-2025 18:37:45.089,20,RECV,7E007D318100011E025C004E313030382D3031304FDD
06-02-2025 18:37:45.390,21,RECV,7E007D31810006310280004E363030392D585132445C
06-02-2025 18:37:45.391,22,RECV,7E007D318100011E025D004E313030392D344C4C30BF
06-02-2025 18:37:45.691,23,RECV,7E007D31810006300281004E363031302D434B455957
06-02-2025 18:37:45.691,24,RECV,7E007D318100011E025E004E313031302D38483648C4
06-02-2025 18:37:45.991,25,RECV,7E007D318100053802AF004E353031312D4E4947353B
06-02-2025 18:37:45.996,26,RECV,7E007D31810006310282004E363031312D4C46525844
06-02-2025 18:37:45.997,27,RECV,7E007D31810002330230004E323031312D50464957A2
06-02-2025 18:37:45.998,28,RECV,7E007D318100011E025F004E313031312D424C585486
06-02-2025 18:37:46.292,29,RECV,7E007D318100053802B0004E353031322D455730453B
06-02-2025 18:37:46.297,30,RECV,7E007D31810006300283004E363031322D353445577A
06-02-2025 18:37:46.298,31,RECV,7E007D31810002330231004E323031322D4F54584596
06-02-2025 18:37:46.298,32,RECV,7E007D318100011E0260004E313031322D545A4F4C75
06-02-2025 18:37:46.593,33,RECV,7E007D318100053702B1004E353031332D354433455A
06-02-2025 18:37:46.596,34,RECV,7E007D31810006310284004E363031332D4B4D36347A
06-02-2025 18:37:46.597,35,RECV,7E007D31810002300232004E323031332D41434344CC
06-02-2025 18:37:46.597,36,RECV,7E007D318100011E0261004E313031332D5A4C59506D
06-02-2025 18:37:46.894,37,RECV,7E007D318100053702B4004E353031342D4247334249
06-02-2025 18:37:46.894,38,RECV,7E007D31810006300287004E363031342D4632485861
06-02-2025 18:37:46.895,39,RECV,7E007D31810002290234004E323031342D32505155B3
06-02-2025 18:37:46.895,40,RECV,7E007D318100011E0263004E313031342D33313235EE
06-02-2025 18:37:47.194,41,RECV,7E007D318100053702B5004E353031352D355A35334E
06-02-2025 18:37:47.237,42,RECV,7E007D31810006330288004E363031352D364455386D
06-02-2025 18:37:47.241,43,RECV,7E007D31810002310236004E323031352D344D3936E0
06-02-2025 18:37:47.241,44,RECV,7E007D318100011E0265004E313031352D434F335998
06-02-2025 18:37:47.499,45,RECV,7E007D318100053602B6004E353031362D58585A51E9
06-02-2025 18:37:47.499,46,RECV,7E007D31810006300289004E363031362D56484A4746
06-02-2025 18:37:47.499,47,RECV,7E007D31810002320237004E323031362D4839584BA9
06-02-2025 18:37:47.499,48,RECV,7E007D318100011E0266004E313031362D4C5752516E
06-02-2025 18:37:47.799,49,RECV,7E007D318100053402B7004E353031372D5636333055
06-02-2025 18:37:47.800,50,RECV,7E007D3181000631028A004E363031372D3052474C5D
06-02-2025 18:37:47.802,51,RECV,7E007D31810002310238004E323031372D48505039AB
06-02-2025 18:37:47.802,52,RECV,7E007D318100011E0267004E313031372D5950413494
06-02-2025 18:37:48.101,53,RECV,7E007D318100053402B8004E353031382D5141495512
06-02-2025 18:37:48.102,54,RECV,7E007D3181000633028B004E363031382D584344434C
06-02-2025 18:37:48.102,55,RECV,7E007D318100022F0239004E323031382D5A4E4B5683
06-02-2025 18:37:48.102,56,RECV,7E007D318100011E0268004E313031382D41373634CE
06-02-2025 18:37:48.402,57,RECV,7E007D318100053402B9004E353031392D473332563E
06-02-2025 18:37:48.402,58,RECV,7E007D3181000632028C004E363031392D5446345649
06-02-2025 18:37:48.402,59,RECV,7E007D3181000231023A004E323031392D494D524F91
06-02-2025 18:37:48.402,60,RECV,7E007D318100011F0269004E313031392D3350425098
06-02-2025 18:37:48.702,61,RECV,7E007D318100053302BA004E353032302D4C3356472C
06-02-2025 18:37:48.703,62,RECV,7E007D3181000632028D004E363032302D364955524E
06-02-2025 18:37:48.703,63,RECV,7E007D3181000230023B004E323032302D32344546DF
06-02-2025 18:37:48.703,64,RECV,7E007D318100011E026A004E313032302D4343584B8C
06-02-2025 18:37:49.004,65,RECV,7E007D318100053402BB004E353032312D5444434B1F
