06-02-2025 15:59:26.668,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-02-2025 15:58:54.104,0,RECV,7E007D318100041F02AF004E343030302D354A4F3568
06-02-2025 15:58:54.112,1,RECV,7E007D318100031A026F004E333030302D4C4D585968
06-02-2025 15:58:54.185,2,RECV,7E007D318100073E0250004E373030302D5936564F71
06-02-2025 15:58:54.186,3,RECV,7E007D318100041F02B0004E343030312D3456373177
06-02-2025 15:58:54.186,4,RECV,7E007D318100031A0270004E333030312D5048335A8B
06-02-2025 15:58:54.186,5,RECV,7E007D318100041F02B1004E343030322D3050454959
06-02-2025 15:58:54.186,6,RECV,7E007D318100031A0271004E333030322D5345564779
06-02-2025 15:58:54.186,7,RECV,7E007D31810008350284004E383030332D5439373879
06-02-2025 15:58:54.186,8,RECV,7E007D318100031A0272004E333030332D484C424690
06-02-2025 15:58:54.186,9,RECV,7E007D31810008350285004E383030342D313948358C
06-02-2025 15:58:54.186,10,RECV,7E007D318100031A0273004E333030342D4F423832AF
06-02-2025 15:58:54.186,11,RECV,7E007D31810008350286004E383030352D534656364C
06-02-2025 15:58:54.186,12,RECV,7E007D318100031A0275004E333030352D36343130DC
06-02-2025 15:58:54.186,13,RECV,7E007D31810008350288004E383030362D435557344B
06-02-2025 15:58:54.186,14,RECV,7E007D318100031A0276004E333030362D57313046A7
06-02-2025 15:58:54.187,15,RECV,7E007D31810008350289004E383030372D34514C3368
06-02-2025 15:58:54.187,16,RECV,7E007D318100031A0277004E333030372D314A435194
06-02-2025 15:58:54.187,17,RECV,7E007D3181000835028A004E383030382D484C344161
06-02-2025 15:58:54.187,18,RECV,7E007D318100031A0278004E333030382D4A34364AA3
06-02-2025 15:58:54.187,19,RECV,7E007D3181000835028B004E383030392D41534F3154
06-02-2025 15:58:54.187,20,RECV,7E007D318100031A0279004E333030392D4D47524F6A
06-02-2025 15:58:54.187,21,RECV,7E007D3181000835028C004E383031302D3638365972
06-02-2025 15:58:54.187,22,RECV,7E007D318100031A027A004E333031302D584B473389
06-02-2025 15:58:54.187,23,RECV,7E007D3181000835028D004E383031312D47484D5938
06-02-2025 15:58:54.278,24,RECV,7E007D318100031A027B004E333031312D5332544289
06-02-2025 15:58:54.306,25,RECV,7E007D3181000835028E004E383031322D5843475534
06-02-2025 15:58:54.306,26,RECV,7E007D318100041F02BC004E343031322D495948561B
06-02-2025 15:58:54.306,27,RECV,7E007D318100031A027C004E333031322D56454A4677
06-02-2025 15:58:54.306,28,RECV,7E007D3181000835028F004E383031332D5A3945533E
06-02-2025 15:58:54.306,29,RECV,7E007D318100041F02BD004E343031332D4F38394C4D
06-02-2025 15:58:54.306,30,RECV,7E007D318100031A027D5D004E333031332D3352514684
06-02-2025 15:58:54.306,31,RECV,7E007D31810008360290004E383031342D5753315239
06-02-2025 15:58:54.306,32,RECV,7E007D318100041F02BE004E343031342D3850384750
06-02-2025 15:58:54.306,33,RECV,7E007D318100031A027D5E004E333031342D4549563486
06-02-2025 15:58:54.306,34,RECV,7E007D31810008350291004E383031352D5A4430484F
06-02-2025 15:58:54.306,35,RECV,7E007D318100041F02BF004E343031352D4332464C4E
06-02-2025 15:58:54.306,36,RECV,7E007D318100031A027F004E333031352D3042514F8A
06-02-2025 15:58:54.306,37,RECV,7E007D31810008360292004E383031362D564A443549
06-02-2025 15:58:54.306,38,RECV,7E007D318100041F02C0004E343031362D574656421E
06-02-2025 15:58:54.306,39,RECV,7E007D318100031A0280004E333031362D48554F327C
06-02-2025 15:58:54.306,40,RECV,7E007D31810008350293004E383031372D4D315A3455
06-02-2025 15:58:54.306,41,RECV,7E007D318100041F02C1004E343031372D4A514C5A10
06-02-2025 15:58:54.306,42,RECV,7E007D318100031A0281004E333031372D433151488B
06-02-2025 15:58:54.306,43,RECV,7E007D31810008350294004E383031382D4F334F4D41
06-02-2025 15:58:54.306,44,RECV,7E007D318100041F02C2004E343031382D4F4A46343C
06-02-2025 15:58:54.306,45,RECV,7E007D318100031A0282004E333031382D3748575A66
06-02-2025 15:58:54.306,46,RECV,7E007D31810008350295004E383031392D343047555D
06-02-2025 15:58:54.375,47,RECV,7E007D318100041F02C3004E343031392D42545A3528
06-02-2025 15:58:54.375,48,RECV,7E007D318100031A0283004E333031392D4D584E4859
06-02-2025 15:58:54.375,49,RECV,7E007D318100031A0284004E333032302D54384E526F
06-02-2025 15:58:54.375,50,RECV,7E007D318100031A0285004E333032312D583249576F
06-02-2025 15:58:54.375,51,RECV,7E007D318100031A0286004E333032322D5535375680
06-02-2025 15:58:54.375,52,RECV,7E007D318100031A0287004E333032332D5439464A78
06-02-2025 15:58:54.375,53,RECV,7E007D318100031A0288004E333032342D5759475943
06-02-2025 15:58:54.375,54,RECV,7E007D318100031A0289004E333032352D435832378D
06-02-2025 15:58:54.375,55,RECV,7E007D318100031A028A004E333032362D47304F4980
