06-02-2025 21:33:01.250,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-02-2025 21:23:33.507,0,RECV,7E007D318100041D02CD004E343030302D4D47574123
06-02-2025 21:23:33.507,1,RECV,7E007D318100031A02E5004E333030302D4243304D3A
06-02-2025 21:23:33.508,2,RECV,7E007D318100073C02EC004E373030302D4152374AF7
06-02-2025 21:23:38.521,3,RECV,7E007D31810008360222004E383030312D4A325752B3
06-02-2025 21:23:38.521,4,RECV,7E007D318100041D02CE004E343030312D5435534928
06-02-2025 21:23:38.522,5,RECV,7E007D318100031902E6004E333030312D3236483457
06-02-2025 21:23:43.485,6,RECV,7E007D31810008360225004E383030322D35595137BE
06-02-2025 21:23:43.486,7,RECV,7E007D318100041D02D1004E343030322D3637384F55
06-02-2025 21:23:43.507,8,RECV,7E007D318100031A02E9004E333030322D394A30443F
06-02-2025 21:23:43.507,9,RECV,7E007D318100073F02F1004E373030322D454B354AF2
06-02-2025 21:23:48.499,10,RECV,7E007D31810008380228004E383030332D4E57464A99
06-02-2025 21:23:48.500,11,RECV,7E007D318100041D02D4004E343030332D485258440F
06-02-2025 21:23:48.510,12,RECV,7E007D318100031A02ED004E333030332D453931364C
06-02-2025 21:23:53.513,13,RECV,7E007D3181000838022A004E383030342D48334946C1
06-02-2025 21:23:53.516,14,RECV,7E007D318100041D02D7004E343030342D414F363348
06-02-2025 21:23:53.517,15,RECV,7E007D318100031A02F0004E333030342D414334383D
06-02-2025 21:23:58.527,16,RECV,7E007D3181000834022D004E383030352D58534D4E85
06-02-2025 21:23:58.535,17,RECV,7E007D318100041D02DA004E343030352D354F41492F
06-02-2025 21:23:58.536,18,RECV,7E007D318100073D02FA004E373030352D5030355AE8
06-02-2025 21:23:58.536,19,RECV,7E007D318100031A02F3004E333030352D4A49374D12
06-02-2025 21:24:03.491,20,RECV,7E007D31810008370230004E383030362D53474B5689
06-02-2025 21:24:03.541,21,RECV,7E007D318100041D02DC004E343030362D304456353B
06-02-2025 21:24:03.541,22,RECV,7E007D318100074002FD004E373030362D4B495146C5
06-02-2025 21:24:03.541,23,RECV,7E007D318100031A02F6004E333030362D59484D55E2
06-02-2025 21:24:08.506,24,RECV,7E007D31810008340233004E383030372D324B4A37C5
06-02-2025 21:24:08.556,25,RECV,7E007D318100041D02E0004E343030372D555437427D33
06-02-2025 21:24:08.556,26,RECV,7E007D318100073C0201004E373030372D5259484CB0
06-02-2025 21:24:08.556,27,RECV,7E007D318100031A02FA004E333030372D5130484215
06-02-2025 21:24:13.520,28,RECV,7E007D31810008340236004E383030382D5848454892
06-02-2025 21:24:13.521,29,RECV,7E007D318100041D02E2004E343030382D49514D4B00
06-02-2025 21:24:13.570,30,RECV,7E007D318100073C0204004E373030382D48465455B4
06-02-2025 21:24:13.571,31,RECV,7E007D318100031A02FD004E333030382D594B5154D3
06-02-2025 21:24:18.495,32,RECV,7E007D31810008350239004E383030392D4B3854588B
06-02-2025 21:24:18.535,33,RECV,7E007D318100041D02E5004E343030392D3131313566
06-02-2025 21:24:18.585,34,RECV,7E007D318100073E0207004E373030392D47414C59B8
06-02-2025 21:24:18.585,35,RECV,7E007D318100031A0201004E333030392D3836335A1C
06-02-2025 21:24:23.498,36,RECV,7E007D3181000834023C004E383031302D54365A36A6
06-02-2025 21:24:23.549,37,RECV,7E007D318100041D02E7004E343031302D3237505724
06-02-2025 21:24:23.549,38,RECV,7E007D318100073C020A004E373031302D3856454ACF
06-02-2025 21:24:23.549,39,RECV,7E007D31810003190204004E333031302D42465956E6
06-02-2025 21:24:28.513,40,RECV,7E007D3181000837023F004E383031312D5A444236A3
06-02-2025 21:24:28.564,41,RECV,7E007D318100041D02EB004E343031312D41514A3023
06-02-2025 21:24:28.567,42,RECV,7E007D3181000740020D004E373031312D4E4E3954BB
06-02-2025 21:24:28.567,43,RECV,7E007D31810003190208004E333031312D574E544DD2
06-02-2025 21:24:33.497,44,RECV,7E007D31810008370242004E383031322D3043484AB0
06-02-2025 21:24:33.527,45,RECV,7E007D318100041D02EE004E343031322D46595758DD
06-02-2025 21:24:33.577,46,RECV,7E007D31810007400210004E373031322D5A48394CB9
06-02-2025 21:24:33.607,47,RECV,7E007D3181000319020B004E333031322D4E4D5A58C7
06-02-2025 21:24:38.491,48,RECV,7E007D31810008350245004E383031332D4E513837A5
06-02-2025 21:24:38.541,49,RECV,7E007D318100041D02F0004E343031332D335A43477D31
06-02-2025 21:24:38.591,50,RECV,7E007D318100073D027D33004E373031332D3859504AB4
06-02-2025 21:24:38.591,51,RECV,7E007D3181000319020D004E333031332D424C5858D3
06-02-2025 21:24:43.505,52,RECV,7E007D31810008360248004E383031342D5A35355595
06-02-2025 21:24:43.555,53,RECV,7E007D318100041D02F3004E343031342D55424B330F
06-02-2025 21:24:43.605,54,RECV,7E007D318100073F0216004E373031342D4A4A5232C1
06-02-2025 21:24:43.605,55,RECV,7E007D31810003190210004E333031342D47335758E4
06-02-2025 21:24:48.520,56,RECV,7E007D3181000835024B004E383031352D5431435192
06-02-2025 21:24:48.570,57,RECV,7E007D318100041D02F6004E343031352D4832494B12
06-02-2025 21:24:48.578,58,RECV,7E007D318100073E0219004E373031352D534E4F32B4
06-02-2025 21:24:48.590,59,RECV,7E007D31810003190214004E333031352D33344D5103
06-02-2025 21:24:53.503,60,RECV,7E007D3181000834024E004E383031362D3530414DB5
06-02-2025 21:24:53.583,61,RECV,7E007D318100041D02F9004E343031362D414D5841F5
06-02-2025 21:24:53.583,62,RECV,7E007D318100073D021C004E373031362D38543332E2
06-02-2025 21:24:53.633,63,RECV,7E007D31810003190217004E333031362D41484753E1
06-02-2025 21:24:58.499,64,RECV,7E007D31810008370251004E383031372D5559335769
06-02-2025 21:24:58.549,65,RECV,7E007D318100041D02FB004E343031372D45594146F4
06-02-2025 21:24:58.599,66,RECV,7E007D318100073F021F004E373031372D5331464FB4
06-02-2025 21:24:58.599,67,RECV,7E007D3181000319021A004E333031372D5937363802
06-02-2025 21:25:03.512,68,RECV,7E007D31810008330254004E383031382D43483933AA
06-02-2025 21:25:03.562,69,RECV,7E007D318100041D02FE004E343031382D4A5A5A31E6
06-02-2025 21:25:03.613,70,RECV,7E007D318100073A0222004E373031382D474554519D
06-02-2025 21:25:03.615,71,RECV,7E007D3181000319021D004E333031382D58385651C5
06-02-2025 21:25:08.499,72,RECV,7E007D31810008340257004E383031392D5A324A388E
06-02-2025 21:25:08.579,73,RECV,7E007D318100041D0203004E343031392D4E57594BC6
06-02-2025 21:25:08.629,74,RECV,7E007D318100073D0225004E373031392D514C545284
06-02-2025 21:25:08.632,75,RECV,7E007D31810003190221004E333031392D53454344D8
06-02-2025 21:25:13.493,76,RECV,7E007D3181000835025A004E383032302D5646494675
06-02-2025 21:25:13.594,77,RECV,7E007D318100041D0205004E343032302D4F56564AD0
06-02-2025 21:25:13.644,78,RECV,7E007D318100073E0228004E373032302D30325747CB
06-02-2025 21:25:13.660,79,RECV,7E007D318100031A0224004E333032302D42583834F5
06-02-2025 21:25:18.509,80,RECV,7E007D3181000832025D004E383032312D4A58574B5B
06-02-2025 21:25:18.569,81,RECV,7E007D318100041D0208004E343032312D4C374A4AFA
06-02-2025 21:25:18.659,82,RECV,7E007D318100073B022B004E373032312D45535035AD
06-02-2025 21:25:18.661,83,RECV,7E007D318100031A0227004E333032312D49544136E3
06-02-2025 21:25:23.523,84,RECV,7E007D31810008380260004E383032322D48554E3377
06-02-2025 21:25:23.574,85,RECV,7E007D318100041D020A004E343032322D42554B56D6
06-02-2025 21:25:23.624,86,RECV,7E007D318100073E022E004E373032322D4836564DA2
06-02-2025 21:25:23.628,87,RECV,7E007D318100031A022A004E333032322D31574355D3
06-02-2025 21:25:28.487,88,RECV,7E007D31810008340263004E383032332D5333374395
06-02-2025 21:25:28.587,89,RECV,7E007D318100041D020D004E343032332D4B585836D9
06-02-2025 21:25:28.637,90,RECV,7E007D318100073D0231004E373032332D304D4D53A3
06-02-2025 21:25:28.637,91,RECV,7E007D318100031A022E004E333032332D53463137ED
06-02-2025 21:25:33.501,92,RECV,7E007D31810008380266004E383032342D5A364B446E
06-02-2025 21:25:33.601,93,RECV,7E007D318100041D0210004E343032342D50504B51CA
06-02-2025 21:25:33.652,94,RECV,7E007D31810007400234004E373032342D51434D36A2
06-02-2025 21:25:33.652,95,RECV,7E007D318100031A0231004E333032342D48443554D5
06-02-2025 21:25:38.515,96,RECV,7E007D31810008370269004E383032352D4B30335587
06-02-2025 21:25:38.615,97,RECV,7E007D318100041D027D33004E343032352D34385254F0
06-02-2025 21:25:38.666,98,RECV,7E007D318100073E0237004E373032352D5A3259339F
06-02-2025 21:25:38.666,99,RECV,7E007D31810003190234004E333032352D5A374E4DBB
06-02-2025 21:25:43.529,100,RECV,7E007D3181000839026C004E383032362D32504D3382
06-02-2025 21:25:43.579,101,RECV,7E007D318100041D0215004E343032362D4D355A57CC
06-02-2025 21:25:43.680,102,RECV,7E007D3181000741023A004E373032362D48383650AA
06-02-2025 21:25:43.682,103,RECV,7E007D31810003190237004E333032362D32455A4EC4
06-02-2025 21:25:48.494,104,RECV,7E007D3181000834026F004E383032372D5A44464859
06-02-2025 21:25:48.594,105,RECV,7E007D318100041D0219004E343032372D50563230F2
06-02-2025 21:25:48.695,106,RECV,7E007D318100073D023D004E373032372D5556384588
06-02-2025 21:25:48.706,107,RECV,7E007D318100031A023B004E333032372D4E513431D9
06-02-2025 21:25:53.508,108,RECV,7E007D31810008360272004E383032382D3045444482
06-02-2025 21:25:53.609,109,RECV,7E007D318100041D021B004E343032382D4D42494DD2
06-02-2025 21:25:53.659,110,RECV,7E007D318100073F0240004E373032382D415354586A
06-02-2025 21:25:53.709,111,RECV,7E007D318100031A023E004E333032382D554B44579E
06-02-2025 21:25:58.522,112,RECV,7E007D31810008350275004E383032392D353230578E
06-02-2025 21:25:58.623,113,RECV,7E007D318100041D021E004E343032392D31585935DC
06-02-2025 21:25:58.673,114,RECV,7E007D318100073D0243004E373032392D364F3030C3
06-02-2025 21:25:58.727,115,RECV,7E007D318100031A0241004E333032392D39443251D5
06-02-2025 21:26:03.536,116,RECV,7E007D31810008340278004E383033302D33303746A2
06-02-2025 21:26:03.637,117,RECV,7E007D318100041D0221004E343033302D544C4659B9
06-02-2025 21:26:03.686,118,RECV,7E007D318100073D0246004E373033302D5155434D77
06-02-2025 21:26:03.687,119,RECV,7E007D31810003190244004E333033302D4D4F535696
06-02-2025 21:26:08.500,120,RECV,7E007D3181000835027B004E383033312D34344B5476
06-02-2025 21:26:08.650,121,RECV,7E007D318100041D0225004E343033312D5A4F5251A7
06-02-2025 21:26:08.700,122,RECV,7E007D318100073D0249004E373033312D45413741AB
06-02-2025 21:26:08.700,123,RECV,7E007D318100031A0248004E333033312D42504353AD
06-02-2025 21:26:13.513,124,RECV,7E007D3181000838027D5E004E383033322D595851551F
06-02-2025 21:26:13.614,125,RECV,7E007D318100041D0227004E343033322D4439384CEF
06-02-2025 21:26:13.714,126,RECV,7E007D318100073F024C004E373033322D563533578E
06-02-2025 21:26:13.714,127,RECV,7E007D3181000319024B004E333033322D585844439B
06-02-2025 21:26:18.528,128,RECV,7E007D31810008350281004E383033332D504A595929
06-02-2025 21:26:18.628,129,RECV,7E007D318100041D022A004E343033332D4E493241E2
06-02-2025 21:26:18.729,130,RECV,7E007D318100073E024F004E373033332D4E4D375579
06-02-2025 21:26:18.735,131,RECV,7E007D318100031A024E004E333033332D33453154D0
06-02-2025 21:26:23.541,132,RECV,7E007D31810008340283004E383033342D364E595145
06-02-2025 21:26:23.641,133,RECV,7E007D318100041D022D004E343033342D52453850C9
06-02-2025 21:26:23.702,134,RECV,7E007D318100073E0252004E373033342D575441347C
06-02-2025 21:26:23.702,135,RECV,7E007D318100031A0251004E333033342D4E37534EA3
06-02-2025 21:26:28.505,136,RECV,7E007D31810008340286004E383033352D4D43465148
06-02-2025 21:26:28.655,137,RECV,7E007D318100041D0230004E343033352D34383451F3
06-02-2025 21:26:28.756,138,RECV,7E007D318100073E0255004E373033352D4A465A525C
06-02-2025 21:26:28.756,139,RECV,7E007D318100031A0255004E333033352D54503133BC
06-02-2025 21:26:33.520,140,RECV,7E007D31810008380289004E383033362D4531584455
06-02-2025 21:26:33.651,141,RECV,7E007D318100041D0233004E343033362D4A4A354ACD
06-02-2025 21:26:33.721,142,RECV,7E007D31810007410258004E373033362D4A444E3283
06-02-2025 21:26:33.732,143,RECV,7E007D318100031A0258004E333033362D33423435E2
06-02-2025 21:26:38.534,144,RECV,7E007D3181000837028C004E383033372D443958434C
06-02-2025 21:26:38.634,145,RECV,7E007D318100041D0235004E343033372D54374433DB
06-02-2025 21:26:38.734,146,RECV,7E007D3181000740025B004E373033372D454A50555A
06-02-2025 21:26:38.734,147,RECV,7E007D318100031A025B004E333033372D5257473795
06-02-2025 21:26:43.498,148,RECV,7E007D3181000832028F004E383033382D534F495822
06-02-2025 21:26:43.649,149,RECV,7E007D318100041D0238004E343033382D30555943B8
06-02-2025 21:26:43.749,150,RECV,7E007D318100073B025E004E373033382D4E44494371
06-02-2025 21:26:43.749,151,RECV,7E007D318100031A025E004E333033382D5A43514387
06-02-2025 21:26:48.513,152,RECV,7E007D31810008330292004E383033392D5A4738384F
06-02-2025 21:26:48.663,153,RECV,7E007D318100041D023B004E343033392D50415938B3
06-02-2025 21:26:48.763,154,RECV,7E007D318100073D0261004E373033392D3254314989
06-02-2025 21:26:48.765,155,RECV,7E007D318100031A0262004E333033392D4A51484888
06-02-2025 21:26:53.528,156,RECV,7E007D31810008380295004E383034302D3942385657
06-02-2025 21:26:53.678,157,RECV,7E007D318100041D023E004E343034302D4553324EC2
06-02-2025 21:26:53.779,158,RECV,7E007D318100031A0265004E333034302D45503734B8
06-02-2025 21:26:58.541,159,RECV,7E007D31810008370298004E383034312D5443323460
06-02-2025 21:26:58.642,160,RECV,7E007D318100041D0240004E343034312D374D5236CB
06-02-2025 21:26:58.742,161,RECV,7E007D318100073F0267004E373034312D513636309B
06-02-2025 21:26:58.762,162,RECV,7E007D318100031A0268004E333034312D4251305A97
06-02-2025 21:27:03.506,163,RECV,7E007D3181000834029B004E383034322D4D584F4622
06-02-2025 21:27:03.656,164,RECV,7E007D318100041D0243004E343034322D474B3852B7
06-02-2025 21:27:03.757,165,RECV,7E007D318100073E026A004E373034322D5931453185
06-02-2025 21:27:03.806,166,RECV,7E007D3181000319026B004E333034322D5732315A9D
06-02-2025 21:27:08.520,167,RECV,7E007D3181000837029E004E383034332D41544B373E
06-02-2025 21:27:08.670,168,RECV,7E007D318100041D0246004E343034332D5752504492
06-02-2025 21:27:08.771,169,RECV,7E007D318100073F026D004E373034332D54474F5343
06-02-2025 21:27:08.780,170,RECV,7E007D318100031A026F004E333034332D493055538A
06-02-2025 21:27:13.535,171,RECV,7E007D318100083402A1004E383034342D4230585337
06-02-2025 21:27:13.685,172,RECV,7E007D318100041D0249004E343034342D39463545D2
06-02-2025 21:27:13.785,173,RECV,7E007D318100073C0270004E373034342D3954493970
06-02-2025 21:27:13.808,174,RECV,7E007D31810003190272004E333034342D39304D5999
06-02-2025 21:27:18.551,175,RECV,7E007D318100083202A4004E383034352D493958591F
06-02-2025 21:27:18.701,176,RECV,7E007D318100041D024C004E343034352D43574F35A9
06-02-2025 21:27:18.801,177,RECV,7E007D318100073B0273004E373034352D4E534B5040
06-02-2025 21:27:18.801,178,RECV,7E007D318100031A0275004E333034352D4C4B445870
06-02-2025 21:27:23.515,179,RECV,7E007D318100083202A7004E383034362D574F564C06
06-02-2025 21:27:23.715,180,RECV,7E007D318100041D024F004E343034362D57474D32A6
06-02-2025 21:27:23.785,181,RECV,7E007D318100073B0276004E373034362D594952582C
06-02-2025 21:27:23.785,182,RECV,7E007D31810003190278004E333034362D5642415A6D
06-02-2025 21:27:28.528,183,RECV,7E007D318100083902AA004E383034372D5653464E06
06-02-2025 21:27:28.679,184,RECV,7E007D318100041D0252004E343034372D57344145AE
06-02-2025 21:27:28.789,185,RECV,7E007D31810007420279004E373034372D4E31335665
06-02-2025 21:27:28.789,186,RECV,7E007D318100031A027C004E333034372D4941384E8A
06-02-2025 21:27:33.542,187,RECV,7E007D318100083502AD004E383034382D52574A311F
06-02-2025 21:27:33.692,188,RECV,7E007D318100041D0254004E343034382D574F3433AF
06-02-2025 21:27:33.793,189,RECV,7E007D318100073F027C004E373034382D324C435A51
06-02-2025 21:27:33.793,190,RECV,7E007D3181000319027F004E333034382D42514C4474
06-02-2025 21:27:38.516,191,RECV,7E007D318100083402B0004E383034392D333758443A
06-02-2025 21:27:38.706,192,RECV,7E007D318100041D0257004E343034392D324E54598B
06-02-2025 21:27:38.806,193,RECV,7E007D31810003190282004E333034392D4436564182
06-02-2025 21:27:43.519,194,RECV,7E007D318100083702B3004E383035302D4454524315
06-02-2025 21:27:43.719,195,RECV,7E007D318100041D025A004E343035302D31413651C4
06-02-2025 21:27:43.820,196,RECV,7E007D31810007410282004E373035302D4F3743534F
06-02-2025 21:27:43.822,197,RECV,7E007D318100031A0285004E333035302D584B474B62
06-02-2025 21:27:48.532,198,RECV,7E007D318100083602B6004E383035312D3939373165
06-02-2025 21:27:48.682,199,RECV,7E007D318100041D025D004E343035312D43374248B5
06-02-2025 21:27:48.833,200,RECV,7E007D31810007400285004E373035312D4A4E354D4E
06-02-2025 21:27:48.863,201,RECV,7E007D318100031A0289004E333035312D3045523992
06-02-2025 21:27:53.516,202,RECV,7E007D318100083402B9004E383035322D5932464A22
06-02-2025 21:27:53.696,203,RECV,7E007D318100041D025F004E343035322D54335634A5
06-02-2025 21:27:53.846,204,RECV,7E007D318100073B0288004E373035322D584B44542E
06-02-2025 21:27:53.854,205,RECV,7E007D3181000319028C004E333035322D444F4C3977
06-02-2025 21:27:58.509,206,RECV,7E007D318100083502BC004E383035332D344D364938
06-02-2025 21:27:58.709,207,RECV,7E007D318100041D0262004E343035332D4A585A476F
06-02-2025 21:27:58.860,208,RECV,7E007D318100073E028B004E373035332D4439353878
06-02-2025 21:27:58.860,209,RECV,7E007D3181000319028F004E333035332D4D565A4E40
06-02-2025 21:28:03.523,210,RECV,7E007D318100083402BF004E383035342D593956420B
06-02-2025 21:28:03.723,211,RECV,7E007D318100041D0264004E343035342D495842507C
