06-02-2025 14:06:44.568,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-02-2025 14:00:05.832,0,RECV,7E007D318100042202C0004E343030302D4C59384B2F
06-02-2025 14:00:05.832,1,RECV,7E007D3181000319023F004E333030302D314D3457DA
06-02-2025 14:00:05.903,2,RECV,7E007D318100073E0221004E373030302D37424D32DC
06-02-2025 14:00:05.905,3,RECV,7E007D318100042202C1004E343030312D55514F4719
06-02-2025 14:00:05.905,4,RECV,7E007D31810003190240004E333030312D33444D42DB
06-02-2025 14:00:05.905,5,RECV,7E007D318100073C0222004E373030312D37475754AB
06-02-2025 14:00:05.905,6,RECV,7E007D318100042202C2004E343030322D4943334A4A
06-02-2025 14:00:05.905,7,RECV,7E007D31810003190241004E333030322D365A5144BA
06-02-2025 14:00:05.905,8,RECV,7E007D318100073F0223004E373030322D335A4F34BF
06-02-2025 14:00:05.905,9,RECV,7E007D318100042202C3004E343030332D3145454D49
06-02-2025 14:00:05.905,10,RECV,7E007D31810003190242004E333030332D38353756E3
06-02-2025 14:00:05.905,11,RECV,7E007D31810007430224004E373030332D5256445885
06-02-2025 14:00:05.905,12,RECV,7E007D318100042202C4004E343030342D494256541A
06-02-2025 14:00:05.905,13,RECV,7E007D31810003190243004E333030342D41554858A5
06-02-2025 14:00:05.905,14,RECV,7E007D318100042202C5004E343030352D594B314F29
06-02-2025 14:00:05.905,15,RECV,7E007D31810003190244004E333030352D35455646C3
06-02-2025 14:00:05.905,16,RECV,7E007D318100042202C6004E343030362D31344C4654
06-02-2025 14:00:05.905,17,RECV,7E007D31810003190245004E333030362D44325858B1
06-02-2025 14:00:05.906,18,RECV,7E007D318100042202C7004E343030372D3233484458
06-02-2025 14:00:05.906,19,RECV,7E007D31810003190246004E333030372D55443036D6
06-02-2025 14:00:05.906,20,RECV,7E007D318100042202C8004E343030382D4E4551382B
06-02-2025 14:00:05.906,21,RECV,7E007D31810003190247004E333030382D31483739EA
06-02-2025 14:00:05.906,22,RECV,7E007D318100042202C9004E343030392D565438527D31
