06-03-2025 22:25:16.820,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

06-03-2025 22:23:50.975,0,RECV,7E007D318100062E025D004E363030302D37384C31BE
06-03-2025 22:23:50.976,1,RECV,7E007D31810005340279004E353030302D3143424292
06-03-2025 22:23:51.276,2,RECV,7E007D31810008340260004E383030312D4245485479
06-03-2025 22:23:51.276,3,RECV,7E007D318100062D025F004E363030312D5847464A79
06-03-2025 22:23:51.276,4,RECV,7E007D3181000534027C004E353030312D314152338F
06-03-2025 22:23:51.277,5,RECV,7E007D318100073C0208004E373030312D4633334BF7
06-03-2025 22:23:51.577,6,RECV,7E007D31810008330261004E383030322D59444D446D
06-03-2025 22:23:51.577,7,RECV,7E007D318100062D0260004E363030322D5A5742456E
06-03-2025 22:23:51.878,8,RECV,7E007D31810008340262004E383030332D3955434384
06-03-2025 22:23:51.878,9,RECV,7E007D318100062C0261004E363030332D5243444B81
06-03-2025 22:23:51.879,10,RECV,7E007D318100073B020A004E373030332D52425A35C8
06-03-2025 22:23:52.179,11,RECV,7E007D31810008340263004E383030342D594B30477B
06-03-2025 22:23:52.181,12,RECV,7E007D318100062D0262004E363030342D30485038A2
06-03-2025 22:23:52.182,13,RECV,7E007D318100073B020B004E373030342D38385952CE
06-03-2025 22:23:52.480,14,RECV,7E007D31810008340264004E383030352D523848546E
06-03-2025 22:23:52.481,15,RECV,7E007D31810005340280004E353030352D50594D4246
06-03-2025 22:23:52.481,16,RECV,7E007D318100062E0263004E363030352D4E56554C5A
06-03-2025 22:23:52.481,17,RECV,7E007D318100073D020C004E373030352D334D4A59C2
06-03-2025 22:23:52.781,18,RECV,7E007D31810008350265004E383030362D4438584578
06-03-2025 22:23:52.782,19,RECV,7E007D31810005340281004E353030362D4A58574241
06-03-2025 22:23:52.782,20,RECV,7E007D318100062F0264004E363030362D435A59495D
06-03-2025 22:23:52.782,21,RECV,7E007D318100073D020D004E373030362D56434643C1
06-03-2025 22:23:53.082,22,RECV,7E007D31810008350266004E383030372D4443425670
06-03-2025 22:23:53.083,23,RECV,7E007D31810005340282004E353030372D3251325A6B
06-03-2025 22:23:53.083,24,RECV,7E007D31810006300265004E363030372D385839517F
06-03-2025 22:23:53.083,25,RECV,7E007D318100073D020E004E373030372D4539384FDC
06-03-2025 22:23:53.384,26,RECV,7E007D31810008380267004E383030382D334D4F4F6C
06-03-2025 22:23:53.386,27,RECV,7E007D31810005370283004E353030382D56364D4C50
06-03-2025 22:23:53.387,28,RECV,7E007D31810006300266004E363030382D56474B4B64
06-03-2025 22:23:53.387,29,RECV,7E007D318100073F020F004E373030382D48393154D7
06-03-2025 22:23:53.684,30,RECV,7E007D31810008380268004E383030392D4945514663
06-03-2025 22:23:53.684,31,RECV,7E007D31810005360284004E353030392D4236343296
06-03-2025 22:23:53.684,32,RECV,7E007D318100062E0267004E363030392D4E57495851
06-03-2025 22:23:53.985,33,RECV,7E007D31810008360269004E383031302D5131444A81
06-03-2025 22:23:53.986,34,RECV,7E007D31810005360285004E353031302D314C324686
06-03-2025 22:23:53.987,35,RECV,7E007D318100062F0268004E363031302D5133503594
06-03-2025 22:23:53.987,36,RECV,7E007D318100073E027D31004E373031302D534C4D49AE
06-03-2025 22:23:54.286,37,RECV,7E007D3181000835026A004E383031312D38355A3198
06-03-2025 22:23:54.286,38,RECV,7E007D31810005340286004E353031312D4B554D5A34
06-03-2025 22:23:54.287,39,RECV,7E007D318100062E0269004E363031312D4F55464969
06-03-2025 22:23:54.287,40,RECV,7E007D318100073D0212004E373031312D4B504E54A5
06-03-2025 22:23:54.588,41,RECV,7E007D3181000835026B004E383031322D4E4B495A52
06-03-2025 22:23:54.589,42,RECV,7E007D31810005340287004E353031322D4E32534F57
06-03-2025 22:23:54.590,43,RECV,7E007D318100062E026A004E363031322D494B473689
06-03-2025 22:23:54.590,44,RECV,7E007D318100073D027D33004E373031322D4E4C5A31BB
06-03-2025 22:23:54.889,45,RECV,7E007D3181000835026C004E383031332D5151344670
06-03-2025 22:23:54.889,46,RECV,7E007D31810005350288004E353031332D3954523166
06-03-2025 22:23:54.889,47,RECV,7E007D318100062E026B004E363031332D484638468C
06-03-2025 22:23:54.889,48,RECV,7E007D318100073D0214004E373031332D4143474AC9
06-03-2025 22:23:55.190,49,RECV,7E007D31810008370271004E383031342D5635395A66
06-03-2025 22:23:55.191,50,RECV,7E007D3181000536028A004E353031342D5330415658
06-03-2025 22:23:55.192,51,RECV,7E007D3181000630026D004E363031342D3935474B93
06-03-2025 22:23:55.192,52,RECV,7E007D318100073E0217004E373031342D43573550BA
06-03-2025 22:23:55.491,53,RECV,7E007D31810008370272004E383031352D5A41505A3D
06-03-2025 22:23:55.507,54,RECV,7E007D3181000537028B004E353031352D313932597A
06-03-2025 22:23:55.507,55,RECV,7E007D3181000630026E004E363031352D4738375487
06-03-2025 22:23:55.507,56,RECV,7E007D318100073F0218004E373031352D45584B5797
06-03-2025 22:23:55.793,57,RECV,7E007D31810008370273004E383031362D364B59475F
06-03-2025 22:23:55.793,58,RECV,7E007D3181000537028C004E353031362D475A544731
06-03-2025 22:23:55.793,59,RECV,7E007D318100062F026F004E363031362D32473130B6
06-03-2025 22:23:55.793,60,RECV,7E007D318100073E0219004E373031362D4B4A4D579C
06-03-2025 22:23:56.064,61,RECV,7E007D31810008390274004E383031372D45464F4E54
06-03-2025 22:23:56.105,62,RECV,7E007D3181000538028D004E353031372D5343504B39
06-03-2025 22:23:56.105,63,RECV,7E007D31810006300270004E363031372D314A4B596E
06-03-2025 22:23:56.105,64,RECV,7E007D3181000740021A004E373031372D4F425936B1
06-03-2025 22:23:56.365,65,RECV,7E007D31810008380275004E383031382D344D5A5947
06-03-2025 22:23:56.376,66,RECV,7E007D3181000538028E004E353031382D5754315636
06-03-2025 22:23:56.376,67,RECV,7E007D31810006310271004E363031382D435341555E
06-03-2025 22:23:56.376,68,RECV,7E007D3181000740021B004E373031382D364E4357B1
06-03-2025 22:23:56.647,69,RECV,7E007D31810008380276004E383031392D574A54374D
06-03-2025 22:23:56.697,70,RECV,7E007D3181000537028F004E353031392D5035593653
06-03-2025 22:23:56.697,71,RECV,7E007D31810006310272004E363031392D3946564F64
06-03-2025 22:23:56.697,72,RECV,7E007D3181000740021C004E373031392D484D4845AB
06-03-2025 22:23:56.998,73,RECV,7E007D31810008310277004E383032302D56484A4758
06-03-2025 22:23:56.999,74,RECV,7E007D31810005320290004E353032302D524E503350
06-03-2025 22:23:57.000,75,RECV,7E007D318100062B0273004E363032302D4943424483
06-03-2025 22:23:57.000,76,RECV,7E007D318100073A021D004E373032302D55354552B9
06-03-2025 22:23:57.299,77,RECV,7E007D31810008330278004E383032312D444543595E
06-03-2025 22:23:57.299,78,RECV,7E007D31810005320291004E353032312D594E414346
06-03-2025 22:23:57.299,79,RECV,7E007D318100062B0274004E363032312D4F46544466
06-03-2025 22:23:57.299,80,RECV,7E007D318100073B021E004E373032312D52324A50B9
06-03-2025 22:23:57.600,81,RECV,7E007D31810008330279004E383032322D5855335849
06-03-2025 22:23:57.601,82,RECV,7E007D31810005330292004E353032322D563542435E
06-03-2025 22:23:57.602,83,RECV,7E007D318100062C0275004E363032322D384F525067
06-03-2025 22:23:57.603,84,RECV,7E007D318100073B021F004E373032322D4C4F4A41AF
06-03-2025 22:23:57.861,85,RECV,7E007D3181000834027A004E383032332D5953444B43
06-03-2025 22:23:57.901,86,RECV,7E007D31810005330293004E353032332D513441376F
06-03-2025 22:23:57.901,87,RECV,7E007D318100062B0276004E363032332D424A593476
06-03-2025 22:23:57.901,88,RECV,7E007D318100073B0220004E373032332D5152425599
06-03-2025 22:23:58.152,89,RECV,7E007D3181000834027B004E383032342D3857595440
06-03-2025 22:23:58.202,90,RECV,7E007D31810005330294004E353032342D3832364C7D5E
06-03-2025 22:23:58.203,91,RECV,7E007D318100062C0277004E363032342D54454C4760
06-03-2025 22:23:58.203,92,RECV,7E007D318100073B0221004E373032342D41325839CD
06-03-2025 22:23:58.503,93,RECV,7E007D3181000833027C004E383032352D5345384467
06-03-2025 22:23:58.503,94,RECV,7E007D31810005330295004E353032352D3453583752
06-03-2025 22:23:58.503,95,RECV,7E007D318100062B0278004E363032352D384A38537D5E
06-03-2025 22:23:58.503,96,RECV,7E007D318100073A0222004E373032352D4A46314EC1
06-03-2025 22:23:58.804,97,RECV,7E007D3181000834027D5D004E383032362D443256416B
06-03-2025 22:23:58.805,98,RECV,7E007D31810005320296004E353032362D475A355041
06-03-2025 22:23:58.806,99,RECV,7E007D318100062B0279004E363032362D4353504360
06-03-2025 22:23:58.807,100,RECV,7E007D318100073B0223004E373032362D514C4B30B5
06-03-2025 22:23:59.065,101,RECV,7E007D3181000833027F004E383032372D3135505070
06-03-2025 22:23:59.105,102,RECV,7E007D31810005330299004E353032372D3337315671
06-03-2025 22:23:59.105,103,RECV,7E007D318100062C027B004E363032372D5237504A62
06-03-2025 22:23:59.105,104,RECV,7E007D318100073B0226004E373032372D5252494993
06-03-2025 22:23:59.356,105,RECV,7E007D31810008330280004E383032382D485654384A
06-03-2025 22:23:59.406,106,RECV,7E007D3181000533029A004E353032382D333247486C
06-03-2025 22:23:59.407,107,RECV,7E007D318100062C027C004E363032382D5550365256
06-03-2025 22:23:59.408,108,RECV,7E007D318100073C0227004E373032382D30505742AD
06-03-2025 22:23:59.657,109,RECV,7E007D31810008340281004E383032392D434E4B3362
06-03-2025 22:23:59.707,110,RECV,7E007D3181000533029B004E353032392D4441375052
06-03-2025 22:23:59.707,111,RECV,7E007D318100062C027D5D004E363032392D484E425059
06-03-2025 22:23:59.707,112,RECV,7E007D318100073B0228004E373032392D494F3447B2
06-03-2025 22:23:59.958,113,RECV,7E007D31810008340282004E383033302D534B304763
06-03-2025 22:24:00.009,114,RECV,7E007D3181000533029C004E353033302D41515A4F2A
06-03-2025 22:24:00.016,115,RECV,7E007D318100062C027D5E004E363033302D49374D3388
06-03-2025 22:24:00.016,116,RECV,7E007D318100073C0229004E373033302D46484B37BB
06-03-2025 22:24:00.309,117,RECV,7E007D31810008340283004E383033312D4D4C354662
06-03-2025 22:24:00.309,118,RECV,7E007D3181000533029D004E353033312D304B56474B
06-03-2025 22:24:00.309,119,RECV,7E007D318100062C027F004E363033312D5344513767
06-03-2025 22:24:00.310,120,RECV,7E007D318100073C022A004E373033312D4A413645C3
06-03-2025 22:24:00.571,121,RECV,7E007D31810008340284004E383033322D484D444358
06-03-2025 22:24:00.612,122,RECV,7E007D3181000534029E004E353033322D4C45354159
06-03-2025 22:24:00.612,123,RECV,7E007D318100062D0280004E363033322D34465A416E
06-03-2025 22:24:00.621,124,RECV,7E007D318100073C022B004E373033322D50573730B9
06-03-2025 22:24:00.862,125,RECV,7E007D31810008340285004E383033332D4547554E43
06-03-2025 22:24:00.912,126,RECV,7E007D3181000533029F004E353033332D4243364C58
