06-03-2025 21:06:14.079,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

06-03-2025 21:05:36.761,0,RECV,7E007D318100041C02E6004E343030302D4332484238
06-03-2025 21:05:36.762,1,RECV,7E007D31810003190275004E333030302D46563839A0
06-03-2025 21:05:36.811,2,RECV,7E007D318100041C02E9004E343030312D3151344F2E
06-03-2025 21:05:36.812,3,RECV,7E007D31810003190277004E333030312D4D4B585664
06-03-2025 21:05:36.862,4,RECV,7E007D318100041C02EA004E343030322D314A59421B
06-03-2025 21:05:36.866,5,RECV,7E007D31810003190278004E333030322D5059504F60
06-03-2025 21:05:36.912,6,RECV,7E007D318100041C02EB004E343030332D4E49435500
06-03-2025 21:05:36.912,7,RECV,7E007D318100031A0279004E333030332D494F47586E
06-03-2025 21:05:36.912,8,RECV,7E007D318100011E0220004E313030332D4D54344CDD
06-03-2025 21:05:36.962,9,RECV,7E007D318100041C02ED004E343030342D475A4A50F1
06-03-2025 21:05:36.968,10,RECV,7E007D318100031A027A004E333030342D544352308A
06-03-2025 21:05:36.968,11,RECV,7E007D318100011E0222004E313030342D47364E31FF
06-03-2025 21:05:37.012,12,RECV,7E007D318100041C02EE004E343030352D39544A58FB
06-03-2025 21:05:37.016,13,RECV,7E007D318100031A027B004E333030352D485333488B
06-03-2025 21:05:37.017,14,RECV,7E007D318100011F0223004E313030352D4357454ACF
06-03-2025 21:05:37.072,15,RECV,7E007D318100041C02EF004E343030362D584B43360C
06-03-2025 21:05:37.076,16,RECV,7E007D318100031A027C004E333030362D3758484286
06-03-2025 21:05:37.076,17,RECV,7E007D318100011F0224004E313030362D4F493638F0
06-03-2025 21:05:37.112,18,RECV,7E007D318100041C02F0004E343030372D5750564CDD
06-03-2025 21:05:37.141,19,RECV,7E007D318100031A027D5D004E333030372D5444514272
06-03-2025 21:05:37.141,20,RECV,7E007D318100011F0225004E313030372D46585555AC
06-03-2025 21:05:37.162,21,RECV,7E007D318100041C02F1004E343030382D385436431F
06-03-2025 21:05:37.176,22,RECV,7E007D318100031A027D5E004E333030382D594939417F
06-03-2025 21:05:37.176,23,RECV,7E007D318100011F0226004E313030382D44494434ED
06-03-2025 21:05:37.212,24,RECV,7E007D318100041C02F2004E343030392D4E4E5941EC
06-03-2025 21:05:37.262,25,RECV,7E007D318100031A027F004E333030392D5346395572
06-03-2025 21:05:37.292,26,RECV,7E007D318100011F0227004E313030392D34373552FE
06-03-2025 21:05:37.292,27,RECV,7E007D318100041C02F3004E343031302D4F5A554DDE
06-03-2025 21:05:37.292,28,RECV,7E007D318100031A0280004E333031302D375545309F
06-03-2025 21:05:37.292,29,RECV,7E007D318100011E0228004E313031302D42585046C8
06-03-2025 21:05:37.312,30,RECV,7E007D318100041C02F4004E343031312D4A32474D17
06-03-2025 21:05:37.321,31,RECV,7E007D318100031A0281004E333031312D5A4E575946
06-03-2025 21:05:37.343,32,RECV,7E007D318100011E0229004E313031312D393433371F
06-03-2025 21:05:37.363,33,RECV,7E007D318100041C02F5004E343031322D4E4536421A
06-03-2025 21:05:37.363,34,RECV,7E007D318100031A0282004E333031322D344B38578E
06-03-2025 21:05:37.413,35,RECV,7E007D318100011E022A004E313031322D32335549F1
06-03-2025 21:05:37.449,36,RECV,7E007D318100041C02F6004E343031332D39374B4721
06-03-2025 21:05:37.450,37,RECV,7E007D318100031A0283004E333031332D565032358D
06-03-2025 21:05:37.450,38,RECV,7E007D318100011E022B004E313031332D4C51424DC6
06-03-2025 21:05:37.463,39,RECV,7E007D318100041C02F7004E343031342D5948374900
06-03-2025 21:05:37.513,40,RECV,7E007D318100031A0284004E333031342D4459535652
06-03-2025 21:05:37.513,41,RECV,7E007D318100011E022C004E313031342D53554430D4
06-03-2025 21:05:37.513,42,RECV,7E007D318100041C02F8004E343031352D5A4B4B53DC
06-03-2025 21:05:37.563,43,RECV,7E007D318100031A0285004E333031352D56414B4371
06-03-2025 21:05:37.603,44,RECV,7E007D318100011F022D004E313031352D334B555AC0
06-03-2025 21:05:37.603,45,RECV,7E007D318100041C02F9004E343031362D4B4B314E08
06-03-2025 21:05:37.613,46,RECV,7E007D318100031A0286004E333031362D58465A3666
06-03-2025 21:05:37.613,47,RECV,7E007D318100011F022E004E313031362D32444647E8
06-03-2025 21:05:37.613,48,RECV,7E007D318100041C02FA004E343031372D4931373238
06-03-2025 21:05:37.634,49,RECV,7E007D318100031A0287004E333031372D364B475179
06-03-2025 21:05:37.634,50,RECV,7E007D318100011F022F004E313031372D484F4559B4
06-03-2025 21:05:37.663,51,RECV,7E007D318100041C02FB004E343031382D4C38534BF7
06-03-2025 21:05:37.694,52,RECV,7E007D318100031A0288004E333031382D56444D5851
