07-04-2025 21:20:22.266,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

07-04-2025 21:19:43.554,0,RECV,7E000F81000237024E323030302D394F3351FA
07-04-2025 21:19:43.564,1,RECV,7E000F81000237024E323030312D574D4730EA
07-04-2025 21:19:43.577,2,RECV,7E000F81000237024E323030322D5833304BFE
07-04-2025 21:19:43.577,3,RECV,7E000F81000237024E323030332D4A31345400
07-04-2025 21:19:43.607,4,RECV,7E000F81000235024E323030342D3035463227
07-04-2025 21:19:43.608,5,RECV,7E000F81000236024E323030352D4343423901
07-04-2025 21:19:43.608,6,RECV,7E000F81000236024E323030362D524A5956B6
07-04-2025 21:19:43.608,7,RECV,7E000F81000236024E323030372D4F4E3744E8
07-04-2025 21:19:43.618,8,RECV,7E000F81000237024E323030382D5A59414BBF
07-04-2025 21:19:43.618,9,RECV,7E000F81000233024E323030392D5853584DB1
07-04-2025 21:19:43.618,10,RECV,7E000F81000233024E323031302D434F5149DD
07-04-2025 21:19:43.629,11,RECV,7E000F81000233024E323031312D304C5446F2
07-04-2025 21:19:43.633,12,RECV,7E000F81000233024E323031322D33545A50D6
07-04-2025 21:19:43.633,13,RECV,7E000F81000233024E323031332D55395631F1
07-04-2025 21:19:43.657,14,RECV,7E000F81000233024E323031342D574C3241EF
07-04-2025 21:19:43.657,15,RECV,7E000F81000233024E323031352D57503058D5
07-04-2025 21:19:43.668,16,RECV,7E000F81000233024E323031362D53394F35F3
07-04-2025 21:19:43.668,17,RECV,7E000F81000233024E323031372D444D544FCE
07-04-2025 21:19:43.668,18,RECV,7E000F81000233024E323031382D34573251F3
07-04-2025 21:19:43.679,19,RECV,7E000F81000233024E323031392D39444D4BEB
07-04-2025 21:19:43.681,20,RECV,7E000F81000233024E323032302D3734424912
07-04-2025 21:19:43.699,21,RECV,7E000F81000233024E323032312D3544374512
07-04-2025 21:19:43.699,22,RECV,7E000F81000233024E323032322D32503954F7
07-04-2025 21:19:43.700,23,RECV,7E000F81000233024E323032332D564F4F35DC
07-04-2025 21:19:43.758,24,RECV,7E000F81000233024E323032342D5A4E3054D8
