07-03-2025 18:48:14.940,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

07-03-2025 18:46:19.246,0,RECV,7E000F81000429024E343030302D55445444DF
07-03-2025 18:46:19.267,1,RECV,7E000F81000429024E343030312D51434554E2
07-03-2025 18:46:19.273,2,RECV,7E000F81000429024E343030322D5A4D3533FF
07-03-2025 18:46:19.273,3,RECV,7E000F81000429024E343030332D37565138F7
07-03-2025 18:46:19.274,4,RECV,7E000F81000429024E343030342D43385441FC
07-03-2025 18:46:19.274,5,RECV,7E000F81000429024E343030352D38554E52DE
07-03-2025 18:46:19.274,6,RECV,7E000F81000429024E343030362D51333559F8
07-03-2025 18:46:19.274,7,RECV,7E000F81000429024E343030372D4D363755FA
07-03-2025 18:46:19.274,8,RECV,7E000F81000429024E343030382D4A525546D1
07-03-2025 18:46:19.296,9,RECV,7E000F81000429024E343030392D595A4452BE
07-03-2025 18:46:19.297,10,RECV,7E000F81000429024E343031302D47495741E7
07-03-2025 18:46:19.298,11,RECV,7E000F81000429024E343031312D514F524CD0
07-03-2025 18:46:19.298,12,RECV,7E000F81000429024E343031322D5051323406
07-03-2025 18:46:19.298,13,RECV,7E000F81000429024E343031332D4F584E57C0
07-03-2025 18:46:19.298,14,RECV,7E000F81000429024E343031342D303246392A
07-03-2025 18:46:19.298,15,RECV,7E000F81000429024E343031352D444F38300F
07-03-2025 18:46:19.299,16,RECV,7E000F81000429024E343031362D3331525300
07-03-2025 18:46:19.308,17,RECV,7E000F81000429024E343031372D4D4B3041FF
07-03-2025 18:46:19.309,18,RECV,7E000F81000429024E343031382D4247454BEE
07-03-2025 18:46:19.309,19,RECV,7E000F81000429024E343031392D57494155D0
07-03-2025 18:46:19.329,20,RECV,7E000F81000429024E343032302D384F45360C
07-03-2025 18:46:19.329,21,RECV,7E000F81000429024E343032312D4F483257ED
07-03-2025 18:46:19.330,22,RECV,7E000F81000429024E343032322D534B3353E8
07-03-2025 18:46:19.346,23,RECV,7E000F81000429024E343032332D54543946E4
07-03-2025 18:46:19.347,24,RECV,7E000F81000429024E343032342D313239343A
07-03-2025 18:46:19.347,25,RECV,7E000F81000429024E343032352D545A4141D9
07-03-2025 18:46:19.397,26,RECV,7E000F81000429024E343032362D4D444856D9
07-03-2025 18:46:19.426,27,RECV,7E000F81000429024E343032372D3843583400
07-03-2025 18:46:19.426,28,RECV,7E000F81000429024E343032382D324430421E
07-03-2025 18:46:19.426,29,RECV,7E000F81000429024E343032392D33554F41ED
07-03-2025 18:46:19.426,30,RECV,7E000F81000429024E343033302D49545A35E1
07-03-2025 18:46:19.426,31,RECV,7E000F81000429024E343033312D4E59564AC5
07-03-2025 18:46:19.426,32,RECV,7E000F81000429024E343033322D44415943EA
07-03-2025 18:46:19.426,33,RECV,7E000F81000429024E343033332D4756545ABF
07-03-2025 18:46:19.426,34,RECV,7E000F81000429024E343033342D3550364806
07-03-2025 18:46:19.426,35,RECV,7E000F81000429024E343033352D4B47554AD7
07-03-2025 18:46:19.426,36,RECV,7E000F81000429024E343033362D474A3658E8
07-03-2025 18:46:19.447,37,RECV,7E000F81000429024E343033372D56583748D9
07-03-2025 18:46:19.447,38,RECV,7E000F81000429024E343033382D59454D36E4
07-03-2025 18:46:19.447,39,RECV,7E000F81000429024E343033392D4D535543CC
07-03-2025 18:46:19.447,40,RECV,7E000F81000429024E343034302D5A514E53C0
