07-06-2025 17:21:24.418,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

07-06-2025 17:20:23.008,0,RECV,7E000F8100052D024E353030302D55524436E9
07-06-2025 17:20:23.058,1,RECV,7E000F8100052E024E353030312D4E4F5043D8
07-06-2025 17:20:23.059,2,RECV,7E000F8100052C024E353030322D414B4558E0
07-06-2025 17:20:23.059,3,RECV,7E000F8100052E024E353030332D58524A43CF
07-06-2025 17:20:23.060,4,RECV,7E000F8100052E024E353030342D4756363200
07-06-2025 17:20:23.060,5,RECV,7E000F8100052E024E353030352D59455542CF
07-06-2025 17:20:23.060,6,RECV,7E000F8100052D024E353030362D42525A53C3
07-06-2025 17:20:23.060,7,RECV,7E000F8100052C024E353030372D3130544609
07-06-2025 17:20:23.060,8,RECV,7E000F8100052E024E353030382D4735384D00
07-06-2025 17:20:23.070,9,RECV,7E000F8100052B024E353030392D31484649FB
07-06-2025 17:20:23.099,10,RECV,7E000F8100052B024E353031302D55393755F1
07-06-2025 17:20:23.100,11,RECV,7E000F8100052E024E353031312D34505830FB
07-06-2025 17:20:23.108,12,RECV,7E000F8100052D024E353031322D56334759DE
07-06-2025 17:20:23.108,13,RECV,7E000F8100052D024E353031332D3236304A24
07-06-2025 17:20:23.109,14,RECV,7E000F8100052E024E353031342D433535467D31
07-06-2025 17:20:23.109,15,RECV,7E000F8100052C024E353031352D57563239ED
07-06-2025 17:20:23.109,16,RECV,7E000F8100052E024E353031362D304A4C51EB
07-06-2025 17:20:23.158,17,RECV,7E000F8100052D024E353031372D424A5632EE
07-06-2025 17:20:23.158,18,RECV,7E000F8100052B024E353031382D51484144E5
07-06-2025 17:20:23.159,19,RECV,7E000F8100052E024E353031392D32464354F0
07-06-2025 17:20:23.159,20,RECV,7E000F8100052B024E353032302D4F4F343602
07-06-2025 17:20:23.159,21,RECV,7E000F8100052D024E353032312D4F533737F7
07-06-2025 17:20:23.159,22,RECV,7E000F8100052B024E353032322D4933344117
07-06-2025 17:20:23.159,23,RECV,7E000F8100052E024E353032332D54464636EE
07-06-2025 17:20:23.159,24,RECV,7E000F8100052E024E353032342D4259304DEB
07-06-2025 17:20:23.209,25,RECV,7E000F8100052C024E353032352D524D333002
07-06-2025 17:20:23.209,26,RECV,7E000F8100052D024E353032362D53594934D9
07-06-2025 17:20:23.209,27,RECV,7E000F8100052D024E353032372D494B334EEC
07-06-2025 17:20:23.210,28,RECV,7E000F8100052B024E353032382D32535130FC
07-06-2025 17:20:23.210,29,RECV,7E000F8100052D024E353032392D59334544EA
07-06-2025 17:20:23.210,30,RECV,7E000F8100052B024E353033302D50544A34E7
07-06-2025 17:20:23.210,31,RECV,7E000F8100052B024E353033312D58375959C7
07-06-2025 17:20:23.220,32,RECV,7E000F8100052D024E353033322D554F4C42D3
07-06-2025 17:20:23.220,33,RECV,7E000F8100052D024E353033332D4A4C3753E4
07-06-2025 17:20:23.221,34,RECV,7E000F8100052D024E353033342D4A425148DE
07-06-2025 17:20:23.258,35,RECV,7E000F8100052D024E353033352D564A5059B9
07-06-2025 17:20:23.275,36,RECV,7E000F8100052E024E353033362D314744390B
07-06-2025 17:20:23.275,37,RECV,7E000F8100052E024E353033372D57473631FA
07-06-2025 17:20:23.275,38,RECV,7E000F8100052D024E353033382D465A4258C5
07-06-2025 17:20:23.275,39,RECV,7E000F8100052C024E353033392D47534353CF
07-06-2025 17:20:23.275,40,RECV,7E000F8100052D024E353034302D52494137F3
07-06-2025 17:20:23.276,41,RECV,7E000F8100052C024E353034312D45574141E8
07-06-2025 17:20:23.276,42,RECV,7E000F8100052E024E353034322D57523652D2
07-06-2025 17:20:23.280,43,RECV,7E000F8100052D024E353034332D4656554FC3
07-06-2025 17:20:23.288,44,RECV,7E000F8100052E024E353034342D4130334617
07-06-2025 17:20:23.288,45,RECV,7E000F8100052E024E353034352D364B3857F0
07-06-2025 17:20:23.309,46,RECV,7E000F8100052B024E353034362D36424B58E7
07-06-2025 17:20:23.309,47,RECV,7E000F8100052E024E353034372D5A474550C8
07-06-2025 17:20:23.309,48,RECV,7E000F8100052B024E353034382D52533531F5
07-06-2025 17:20:23.309,49,RECV,7E000F8100052E024E353034392D57383547F1
07-06-2025 17:20:23.330,50,RECV,7E000F8100052E024E353035302D55413252EA
07-06-2025 17:20:23.330,51,RECV,7E000F8100052E024E353035312D4F37414AF2
07-06-2025 17:20:23.340,52,RECV,7E000F8100052E024E353035322D574C5A56AF
07-06-2025 17:20:23.340,53,RECV,7E000F8100052D024E353035332D304D3459F8
07-06-2025 17:20:23.360,54,RECV,7E000F8100052C024E353035342D5137334304
