07-06-2025 17:25:59.462,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

07-06-2025 17:25:34.592,0,RECV,7E000F81000633024E363030302D323050361A
07-06-2025 17:25:34.597,1,RECV,7E000F81000633024E363030312D3738343826
07-06-2025 17:25:34.599,2,RECV,7E000F81000633024E363030322D5542364EE5
07-06-2025 17:25:34.610,3,RECV,7E000F81000633024E363030332D55443257DD
07-06-2025 17:25:34.610,4,RECV,7E000F81000633024E363030342D4C574738DC
07-06-2025 17:25:34.610,5,RECV,7E000F81000633024E363030352D54454442DE
07-06-2025 17:25:34.610,6,RECV,7E000F81000632024E363030362D3736383820
07-06-2025 17:25:34.642,7,RECV,7E000F81000633024E363030372D31584634F8
07-06-2025 17:25:34.642,8,RECV,7E000F81000632024E363030382D33415645EC
07-06-2025 17:25:34.642,9,RECV,7E000F81000632024E363030392D38335857E0
07-06-2025 17:25:34.642,10,RECV,7E000F81000632024E363031302D5537474EE1
07-06-2025 17:25:34.643,11,RECV,7E000F81000632024E363031312D4D374156E6
07-06-2025 17:25:34.643,12,RECV,7E000F81000632024E363031322D53494837E5
07-06-2025 17:25:34.643,13,RECV,7E000F81000632024E363031332D58384232FB
07-06-2025 17:25:34.692,14,RECV,7E000F81000632024E363031342D4F494C53C7
07-06-2025 17:25:34.692,15,RECV,7E000F81000632024E363031352D585A4348C0
07-06-2025 17:25:34.692,16,RECV,7E000F81000632024E363031362D474C5436DF
07-06-2025 17:25:34.693,17,RECV,7E000F81000632024E363031372D49474159D1
07-06-2025 17:25:34.693,18,RECV,7E000F81000633024E363031382D59424457C3
07-06-2025 17:25:34.693,19,RECV,7E000F81000632024E363031392D52365331ED
07-06-2025 17:25:34.693,20,RECV,7E000F81000632024E363032302D37473854F7
07-06-2025 17:25:34.742,21,RECV,7E000F81000633024E363032312D4C364A3102
07-06-2025 17:25:34.743,22,RECV,7E000F81000633024E363032322D524E4D4FC2
07-06-2025 17:25:34.743,23,RECV,7E000F81000633024E363032332D47413445FC
07-06-2025 17:25:34.743,24,RECV,7E000F81000633024E363032342D52305139F0
07-06-2025 17:25:34.743,25,RECV,7E000F81000632024E363032352D55494A4CC8
07-06-2025 17:25:34.743,26,RECV,7E000F81000633024E363032362D364D4834FB
07-06-2025 17:25:34.763,27,RECV,7E000F81000632024E363032372D49374F41EA
07-06-2025 17:25:34.764,28,RECV,7E000F81000632024E363032382D58594831CF
07-06-2025 17:25:34.764,29,RECV,7E000F81000632024E363032392D4E3533380A
07-06-2025 17:25:34.793,30,RECV,7E000F81000633024E363033302D514E4E45CD
07-06-2025 17:25:34.820,31,RECV,7E000F81000632024E363033312D544E4350CA
07-06-2025 17:25:34.820,32,RECV,7E000F81000633024E363033322D46593945E0
07-06-2025 17:25:34.820,33,RECV,7E000F81000633024E363033332D36413455FC
07-06-2025 17:25:34.820,34,RECV,7E000F81000632024E363033342D5432383806
07-06-2025 17:25:34.820,35,RECV,7E000F81000632024E363033352D374B594ED2
07-06-2025 17:25:34.820,36,RECV,7E000F81000633024E363033362D4C454837E9
07-06-2025 17:25:34.843,37,RECV,7E000F81000632024E363033372D4E37304202
07-06-2025 17:25:34.843,38,RECV,7E000F81000632024E363033382D51445755B7
07-06-2025 17:25:34.843,39,RECV,7E000F81000632024E363033392D5A4F4149C4
07-06-2025 17:25:34.843,40,RECV,7E000F81000632024E363034302D3859353801
07-06-2025 17:25:34.853,41,RECV,7E000F81000633024E363034312D42473843F9
07-06-2025 17:25:34.853,42,RECV,7E000F81000633024E363034322D4E44574DC6
07-06-2025 17:25:34.854,43,RECV,7E000F81000633024E363034332D48344D48EA
