07-06-2025 17:29:45.141,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

07-06-2025 17:29:20.364,0,RECV,7E000F81000735024E373030302D44483156EB
07-06-2025 17:29:20.366,1,RECV,7E000F81000735024E373030312D5A4A3352D4
07-06-2025 17:29:20.376,2,RECV,7E000F81000735024E373030332D414E424EDC
07-06-2025 17:29:20.385,3,RECV,7E000F81000736024E373030342D52564E47BC
07-06-2025 17:29:20.390,4,RECV,7E000F81000736024E373030352D51475538D3
07-06-2025 17:29:20.406,5,RECV,7E000F81000736024E373030362D4D393143FD
07-06-2025 17:29:20.406,6,RECV,7E000F81000736024E373030372D56584C34C8
07-06-2025 17:29:20.416,7,RECV,7E000F81000736024E373030382D4F30354DF4
07-06-2025 17:29:20.417,8,RECV,7E000F81000735024E373030392D59534853AE
07-06-2025 17:29:20.436,9,RECV,7E000F81000736024E373031302D38314D47FF
07-06-2025 17:29:20.437,10,RECV,7E000F81000736024E373031312D36524B32F6
07-06-2025 17:29:20.447,11,RECV,7E000F81000736024E373031322D434437320A
07-06-2025 17:29:20.447,12,RECV,7E000F81000736024E373031332D47505733D8
07-06-2025 17:29:20.467,13,RECV,7E000F81000737024E373031342D37315A42F3
07-06-2025 17:29:20.478,14,RECV,7E000F81000736024E373031362D4B38474FDD
07-06-2025 17:29:20.511,15,RECV,7E000F81000736024E373031372D4638344EF5
07-06-2025 17:29:20.511,16,RECV,7E000F81000737024E373031382D53423630F8
07-06-2025 17:29:20.511,17,RECV,7E000F81000735024E373031392D52425941C6
07-06-2025 17:29:20.511,18,RECV,7E000F81000735024E373032302D3941454AF3
07-06-2025 17:29:20.512,19,RECV,7E000F81000735024E373032312D51455550C0
07-06-2025 17:29:20.512,20,RECV,7E000F81000736024E373032322D59335258C3
07-06-2025 17:29:20.565,21,RECV,7E000F81000735024E373032332D4B414930F4
07-06-2025 17:29:20.566,22,RECV,7E000F81000735024E373032342D4A49494ECE
07-06-2025 17:29:20.566,23,RECV,7E000F81000735024E373032352D54495935CC
07-06-2025 17:29:20.566,24,RECV,7E000F81000735024E373032362D4E504251C5
07-06-2025 17:29:20.567,25,RECV,7E000F81000736024E373032372D4E575938BE
07-06-2025 17:29:20.567,26,RECV,7E000F81000736024E373032382D48465133E1
07-06-2025 17:29:20.576,27,RECV,7E000F81000737024E373033302D4B515451B8
07-06-2025 17:29:20.576,28,RECV,7E000F81000736024E373033312D314F5958C8
07-06-2025 17:29:20.577,29,RECV,7E000F81000736024E373033322D325833300B
07-06-2025 17:29:20.615,30,RECV,7E000F81000735024E373033332D5A564E4DAD
07-06-2025 17:29:20.615,31,RECV,7E000F81000735024E373033342D4E375A30E8
07-06-2025 17:29:20.615,32,RECV,7E000F81000736024E373033352D484A324BE6
07-06-2025 17:29:20.620,33,RECV,7E000F81000735024E373033362D334E4153E0
07-06-2025 17:29:20.626,34,RECV,7E000F81000737024E373033372D53365131E7
07-06-2025 17:29:20.626,35,RECV,7E000F81000735024E373033382D53564836CC
07-06-2025 17:29:20.639,36,RECV,7E000F81000736024E373033392D4D543954C3
07-06-2025 17:29:20.666,37,RECV,7E000F81000736024E373034302D4F33324203
07-06-2025 17:29:20.666,38,RECV,7E000F81000736024E373034312D5A50304BD3
07-06-2025 17:29:20.666,39,RECV,7E000F81000736024E373034322D4E484E4EC5
07-06-2025 17:29:20.666,40,RECV,7E000F81000736024E373034332D344538390C
07-06-2025 17:29:20.715,41,RECV,7E000F81000735024E373034342D4A325658CC
07-06-2025 17:29:20.716,42,RECV,7E000F81000736024E373034352D38584934E7
07-06-2025 17:29:20.716,43,RECV,7E000F81000735024E373034362D58364846D8
07-06-2025 17:29:20.717,44,RECV,7E000F81000736024E373034372D46593047DC
07-06-2025 17:29:20.717,45,RECV,7E000F81000736024E373034382D34485159CB
