07-06-2025 17:32:27.815,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

07-06-2025 17:31:44.124,0,RECV,7E000F81000834024E383030302D44595652B8
07-06-2025 17:31:44.127,1,RECV,7E000F81000834024E383030312D59585A41B0
07-06-2025 17:31:44.135,2,RECV,7E000F81000834024E383030322D5543514CC6
07-06-2025 17:31:44.135,3,RECV,7E000F81000834024E383030332D4748384CE7
07-06-2025 17:31:44.136,4,RECV,7E000F81000833024E383030342D3239454802
07-06-2025 17:31:44.146,5,RECV,7E000F81000834024E383030352D41304F48F0
07-06-2025 17:31:44.147,6,RECV,7E000F81000834024E383030362D56593246D0
07-06-2025 17:31:44.147,7,RECV,7E000F81000834024E383030372D59444B4BC3
07-06-2025 17:31:44.177,8,RECV,7E000F81000834024E383030382D4D37384AEF
07-06-2025 17:31:44.177,9,RECV,7E000F81000834024E383030392D51523754C6
07-06-2025 17:31:44.177,10,RECV,7E000F81000834024E383031302D5A36554FC8
07-06-2025 17:31:44.177,11,RECV,7E000F81000834024E383031312D4E454D52C9
07-06-2025 17:31:44.177,12,RECV,7E000F81000834024E383031322D38444951E4
07-06-2025 17:31:44.177,13,RECV,7E000F81000834024E383031332D5A394855C9
07-06-2025 17:31:44.198,14,RECV,7E000F81000834024E383031342D424D4944DC
07-06-2025 17:31:44.198,15,RECV,7E000F81000834024E383031352D454E4B4CCD
07-06-2025 17:31:44.198,16,RECV,7E000F81000834024E383031362D4A544442D2
07-06-2025 17:31:44.209,17,RECV,7E000F81000834024E383031372D4A344639F8
07-06-2025 17:31:44.209,18,RECV,7E000F81000834024E383031382D47464436ED
07-06-2025 17:31:44.209,19,RECV,7E000F81000834024E383031392D4F554A38CD
07-06-2025 17:31:44.223,20,RECV,7E000F81000834024E383032302D5637594BCA
07-06-2025 17:31:44.227,21,RECV,7E000F81000834024E383032312D4554574CBE
07-06-2025 17:31:44.227,22,RECV,7E000F81000834024E383032322D3043353120
07-06-2025 17:31:44.243,23,RECV,7E000F81000834024E383032332D4B46524DC8
07-06-2025 17:31:44.244,24,RECV,7E000F81000834024E383032342D4E38383900
07-06-2025 17:31:44.244,25,RECV,7E000F81000834024E383032352D4432304C04
07-06-2025 17:31:44.254,26,RECV,7E000F81000833024E383032362D43453942F3
07-06-2025 17:31:44.254,27,RECV,7E000F81000834024E383032372D3431484304
07-06-2025 17:31:44.255,28,RECV,7E000F81000833024E383032382D4F515745B8
07-06-2025 17:31:44.275,29,RECV,7E000F81000834024E383032392D394E5751C3
07-06-2025 17:31:44.275,30,RECV,7E000F81000834024E383033302D30584B55D2
07-06-2025 17:31:44.275,31,RECV,7E000F81000834024E383033312D33455635F6
07-06-2025 17:31:44.285,32,RECV,7E000F81000833024E383033322D4E595958A1
07-06-2025 17:31:44.288,33,RECV,7E000F81000834024E383033332D584F3339E4
07-06-2025 17:31:44.288,34,RECV,7E000F81000833024E383033342D48563350D6
07-06-2025 17:31:44.306,35,RECV,7E000F81000833024E383033352D424B3947E9
07-06-2025 17:31:44.306,36,RECV,7E000F81000833024E383033362D55574E32C9
07-06-2025 17:31:44.306,37,RECV,7E000F81000834024E383033372D3631523406
07-06-2025 17:31:44.326,38,RECV,7E000F81000834024E383033382D3946304300
07-06-2025 17:31:44.346,39,RECV,7E000F81000834024E383033392D53544F4CAF
07-06-2025 17:31:44.346,40,RECV,7E000F81000834024E383034302D36414D58DD
07-06-2025 17:31:44.346,41,RECV,7E000F81000834024E383034312D53315457C9
07-06-2025 17:31:44.346,42,RECV,7E000F81000834024E383034322D44564442D7
07-06-2025 17:31:44.346,43,RECV,7E000F81000834024E383034332D4E563350CF
07-06-2025 17:31:44.347,44,RECV,7E000F81000834024E383034342D4354544BBF
07-06-2025 17:31:44.375,45,RECV,7E000F81000833024E383034352D344F5A59BF
07-06-2025 17:31:44.375,46,RECV,7E000F81000834024E383034362D4E455752B7
07-06-2025 17:31:44.375,47,RECV,7E000F81000834024E383034372D43573531F2
07-06-2025 17:31:44.375,48,RECV,7E000F81000834024E383034382D51325656C2
07-06-2025 17:31:44.375,49,RECV,7E000F81000834024E383034392D4D373458E0
07-06-2025 17:31:44.375,50,RECV,7E000F81000834024E383035302D5344424DD2
07-06-2025 17:31:44.425,51,RECV,7E000F81000834024E383035312D525A5631C4
07-06-2025 17:31:44.425,52,RECV,7E000F81000833024E383035322D37354A44FD
07-06-2025 17:31:44.425,53,RECV,7E000F81000834024E383035332D38315A41F1
07-06-2025 17:31:44.425,54,RECV,7E000F81000833024E383035342D49493454DB
07-06-2025 17:31:44.425,55,RECV,7E000F81000834024E383035352D305A323205
07-06-2025 17:31:44.425,56,RECV,7E000F81000833024E383035362D50413256DA
07-06-2025 17:31:44.426,57,RECV,7E000F81000834024E383035372D4C4D3031F7
07-06-2025 17:31:44.426,58,RECV,7E000F81000833024E383035382D50495444C0
07-06-2025 17:31:44.426,59,RECV,7E000F81000834024E383035392D4936353605
07-06-2025 17:31:44.475,60,RECV,7E000F81000833024E383036302D59504D4EB4
07-06-2025 17:31:44.504,61,RECV,7E000F81000834024E383036312D544F434AC6
07-06-2025 17:31:44.504,62,RECV,7E000F81000833024E383036322D374E4833F6
07-06-2025 17:31:44.504,63,RECV,7E000F81000834024E383036332D4E514F43C3
07-06-2025 17:31:44.504,64,RECV,7E000F81000833024E383036342D43484145E3
07-06-2025 17:31:44.504,65,RECV,7E000F81000834024E383036352D57564C5A9F
07-06-2025 17:31:44.504,66,RECV,7E000F81000834024E383036362D334E3839FF
07-06-2025 17:31:44.504,67,RECV,7E000F81000833024E383036372D57395A31D6
07-06-2025 17:31:44.504,68,RECV,7E000F81000834024E383036382D31585149CC
07-06-2025 17:31:44.504,69,RECV,7E000F81000834024E383036392D36345353DE
07-06-2025 17:31:44.504,70,RECV,7E000F81000834024E383037302D41465448D3
07-06-2025 17:31:44.504,71,RECV,7E000F81000834024E383037312D42415244DC
07-06-2025 17:31:44.505,72,RECV,7E000F81000834024E383037322D53445658AF
07-06-2025 17:31:44.505,73,RECV,7E000F81000834024E383037332D4C475033DD
07-06-2025 17:31:44.518,74,RECV,7E000F81000834024E383037342D59424743CD
07-06-2025 17:31:44.518,75,RECV,7E000F81000834024E383037352D5A355854B6
07-06-2025 17:31:44.518,76,RECV,7E000F81000834024E383037362D5139484FCF
07-06-2025 17:31:44.528,77,RECV,7E000F81000834024E383037372D444E354CDC
07-06-2025 17:31:44.528,78,RECV,7E000F81000834024E383037382D3833315002
07-06-2025 17:31:44.528,79,RECV,7E000F81000834024E383037392D4E523533E5
07-06-2025 17:31:44.549,80,RECV,7E000F81000833024E383038302D34515736E4
07-06-2025 17:31:44.549,81,RECV,7E000F81000831024E383038312D565A4C55A6
07-06-2025 17:31:44.549,82,RECV,7E000F81000833024E383038322D3156454DDB
07-06-2025 17:31:44.559,83,RECV,7E000F81000831024E383038332D374E5532E9
