07-04-2025 20:49:14.659,-,API2,"Sink 1,0013A20041839DB1,802.15.4 TH,2003,/dev/ttyUSB0 - 57600/8/M/1/N,1,46"

07-04-2025 20:47:39.849,0,RECV,7E000F81000631024E363030302D5A48374BE0
07-04-2025 20:47:39.858,1,RECV,7E000F81000631024E363030312D5755464EC3
07-04-2025 20:47:39.860,2,RECV,7E000F81000631024E363030322D4F443246F7
07-04-2025 20:47:39.860,3,RECV,7E000F81000631024E363030332D53554954BC
07-04-2025 20:47:39.860,4,RECV,7E000F81000631024E363030342D4E483944ED
07-04-2025 20:47:39.860,5,RECV,7E000F81000631024E363030352D34434E300A
07-04-2025 20:47:39.898,6,RECV,7E000F81000631024E363030362D4F585455AE
07-04-2025 20:47:39.898,7,RECV,7E000F81000631024E363030372D31455A46E7
07-04-2025 20:47:39.899,8,RECV,7E000F81000631024E363030382D42475251D0
07-04-2025 20:47:39.899,9,RECV,7E000F81000631024E363030392D54464442DB
07-04-2025 20:47:39.899,10,RECV,7E000F81000631024E363031302D373841381B
07-04-2025 20:47:39.899,11,RECV,7E000F81000631024E363031312D425A3758D7
07-04-2025 20:47:39.899,12,RECV,7E000F81000631024E363031322D53453936FA
07-04-2025 20:47:39.948,13,RECV,7E000F81000631024E363031332D59485838CF
07-04-2025 20:47:39.949,14,RECV,7E000F81000630024E363031342D50564341D6
07-04-2025 20:47:39.949,15,RECV,7E000F81000630024E363031352D39465654D6
07-04-2025 20:47:39.949,16,RECV,7E000F81000631024E363031362D334C3054FA
07-04-2025 20:47:39.949,17,RECV,7E000F81000630024E363031372D51495A42C7
07-04-2025 20:47:39.949,18,RECV,7E000F81000631024E363031382D365A5A39D8
07-04-2025 20:47:39.950,19,RECV,7E000F81000630024E363031392D3630344B16
07-04-2025 20:47:39.950,20,RECV,7E000F81000630024E363032302D52494857C9
07-04-2025 20:47:39.950,21,RECV,7E000F81000631024E363032312D4B384F36F9
07-04-2025 20:47:39.950,22,RECV,7E000F81000630024E363032322D38545859C4
07-04-2025 20:47:39.980,23,RECV,7E000F81000631024E363032332D4E543855D0
07-04-2025 20:47:40.005,24,RECV,7E000F81000630024E363032342D4C534842D6
07-04-2025 20:47:40.005,25,RECV,7E000F81000630024E363032352D52413936FC
07-04-2025 20:47:40.005,26,RECV,7E000F81000630024E363032362D5549354DDD
07-04-2025 20:47:40.005,27,RECV,7E000F81000630024E363032372D37534337F8
07-04-2025 20:47:40.005,28,RECV,7E000F81000630024E363032382D58423535F7
07-04-2025 20:47:40.005,29,RECV,7E000F81000630024E363032392D5A365237E1
07-04-2025 20:47:40.019,30,RECV,7E000F81000630024E363033302D48544141E4
07-04-2025 20:47:40.019,31,RECV,7E000F81000630024E363033312D55443735FC
07-04-2025 20:47:40.019,32,RECV,7E000F81000630024E363033322D575A4653B6
07-04-2025 20:47:40.048,33,RECV,7E000F81000630024E363033332D534F5136D6
07-04-2025 20:47:40.049,34,RECV,7E000F81000630024E363033342D5037383708
07-04-2025 20:47:40.049,35,RECV,7E000F81000630024E363033352D44423159ED
07-04-2025 20:47:40.049,36,RECV,7E000F81000630024E363033362D304F4944F0
07-04-2025 20:47:40.069,37,RECV,7E000F81000630024E363033372D59383159E0
07-04-2025 20:47:40.069,38,RECV,7E000F81000630024E363033382D5833323607
07-04-2025 20:47:40.079,39,RECV,7E000F81000630024E363033392D47344949EC
07-04-2025 20:47:40.080,40,RECV,7E000F81000630024E363034302D5759374BCF
07-04-2025 20:47:40.080,41,RECV,7E000F81000630024E363034312D35545334F0
07-04-2025 20:47:40.099,42,RECV,7E000F81000630024E363034322D46504D46D6
07-04-2025 20:47:40.100,43,RECV,7E000F81000630024E363034332D564F4E52B9
07-04-2025 20:47:40.149,44,RECV,7E000F81000630024E363034342D47415A41DA
07-04-2025 20:47:40.160,45,RECV,7E000F81000630024E363034352D4D4F3952D5
07-04-2025 20:47:40.160,46,RECV,7E000F81000631024E363034362D464D5A39D4
07-04-2025 20:47:40.160,47,RECV,7E000F81000630024E363034372D484B485AC5
07-04-2025 20:47:40.160,48,RECV,7E000F81000631024E363034382D494E4755C5
07-04-2025 20:47:40.160,49,RECV,7E000F81000631024E363034392D3232533010
07-04-2025 20:47:40.160,50,RECV,7E000F81000630024E363035302D3252364CFA
07-04-2025 20:47:40.199,51,RECV,7E000F81000631024E363035312D334A4D4FE5
07-04-2025 20:47:40.199,52,RECV,7E000F81000631024E363035322D4D48484AD6
07-04-2025 20:47:40.199,53,RECV,7E000F81000631024E363035332D50544943CC
07-04-2025 20:47:40.199,54,RECV,7E000F81000631024E363035342D4D385442E0
07-04-2025 20:47:40.199,55,RECV,7E000F81000631024E363035352D3533553706
07-04-2025 20:47:40.199,56,RECV,7E000F81000631024E363035362D54575355A6
07-04-2025 20:47:40.199,57,RECV,7E000F81000631024E363035372D334D474EE3
07-04-2025 20:47:40.249,58,RECV,7E000F81000631024E363035382D44345038F7
07-04-2025 20:47:40.250,59,RECV,7E000F81000631024E363035392D30364A3214
07-04-2025 20:47:40.250,60,RECV,7E000F81000631024E363036302D4B345359D3
07-04-2025 20:47:40.250,61,RECV,7E000F81000631024E363036312D5A4A464DC6
07-04-2025 20:47:40.250,62,RECV,7E000F81000631024E363036322D3549565ACE
07-04-2025 20:47:40.250,63,RECV,7E000F81000631024E363036332D5A525442B9
07-04-2025 20:47:40.259,64,RECV,7E000F81000631024E363036342D37304E51F4
07-04-2025 20:47:40.262,65,RECV,7E000F81000631024E363036352D51533251D2
07-04-2025 20:47:40.262,66,RECV,7E000F81000631024E363036362D4D4A5A38CF
07-04-2025 20:47:40.299,67,RECV,7E000F81000631024E363036372D384C5744D8
07-04-2025 20:47:40.309,68,RECV,7E000F81000631024E363036382D5833434CDC
07-04-2025 20:47:40.309,69,RECV,7E000F81000631024E363036392D59543744CD
07-04-2025 20:47:40.309,70,RECV,7E000F81000631024E363037302D344C584ADB
07-04-2025 20:47:40.350,71,RECV,7E000F81000631024E363037312D4B465055C6
07-04-2025 20:47:40.352,72,RECV,7E000F81000631024E363037322D39434F49E7
07-04-2025 20:47:40.352,73,RECV,7E000F81000631024E363037332D30394C4AFB
07-04-2025 20:47:40.352,74,RECV,7E000F81000631024E363037342D53473134FA
07-04-2025 20:47:40.352,75,RECV,7E000F81000631024E363037352D4D34484AE5
07-04-2025 20:47:40.353,76,RECV,7E000F81000631024E363037362D56304956D2
07-04-2025 20:47:40.353,77,RECV,7E000F81000631024E363037372D55454C39D7
07-04-2025 20:47:40.353,78,RECV,7E000F81000631024E363037382D49364351E2
07-04-2025 20:47:40.353,79,RECV,7E000F81000631024E363037392D4F50564DB2
07-04-2025 20:47:40.354,80,RECV,7E000F81000631024E363038302D564B5338D0
07-04-2025 20:47:40.400,81,RECV,7E000F81000631024E363038312D49375841E2
07-04-2025 20:47:40.405,82,RECV,7E000F81000631024E363038322D48464554D3
07-04-2025 20:47:40.406,83,RECV,7E000F81000631024E363038332D4A553456D0
07-04-2025 20:47:40.406,84,RECV,7E000F81000631024E363038342D3839314A0C
07-04-2025 20:47:40.406,85,RECV,7E000F81000631024E363038352D32455633F7
07-04-2025 20:47:40.406,86,RECV,7E000F81000631024E363038362D59314654D2
07-04-2025 20:47:40.406,87,RECV,7E000F81000631024E363038372D5431445AD2
07-04-2025 20:47:40.450,88,RECV,7E000F81000631024E363038382D5630484CDA
07-04-2025 20:47:40.470,89,RECV,7E000F81000631024E363038392D4E374E44DC
07-04-2025 20:47:40.470,90,RECV,7E000F81000631024E363039302D50463238FB
07-04-2025 20:47:40.470,91,RECV,7E000F81000630024E363039312D39595631E2
07-04-2025 20:47:40.470,92,RECV,7E000F81000631024E363039322D45364156E7
07-04-2025 20:47:40.470,93,RECV,7E000F81000631024E363039332D4E4D4F52BC
07-04-2025 20:47:40.470,94,RECV,7E000F81000631024E363039342D56433751D6
07-04-2025 20:47:40.470,95,RECV,7E000F81000631024E363039352D39505852C3
07-04-2025 20:47:40.470,96,RECV,7E000F81000631024E363039362D4E4E3633F0
07-04-2025 20:47:40.500,97,RECV,7E000F81000630024E363039372D50354255D9
07-04-2025 20:47:40.500,98,RECV,7E000F81000631024E363039382D4C323851EC
07-04-2025 20:47:40.500,99,RECV,7E000F81000631024E363039392D52304546E5
