07-04-2025 20:58:29.911,-,API2,"Sink 2,0013A20041839DCA,802.15.4 TH,2003,/dev/ttyUSB2 - 57600/8/M/1/N,1,46"

07-04-2025 20:56:40.762,0,RECV,7E000F81000733024E373030302D414A34360B
07-04-2025 20:56:40.764,1,RECV,7E000F81000734024E373030312D5A45504FC0
07-04-2025 20:56:40.765,2,RECV,7E000F81000734024E373030322D364B4E45E9
07-04-2025 20:56:40.811,3,RECV,7E000F81000734024E373030332D535A4350BC
07-04-2025 20:56:40.812,4,RECV,7E000F81000734024E373030342D52464358C8
07-04-2025 20:56:40.812,5,RECV,7E000F81000734024E373030352D4843364BEE
07-04-2025 20:56:40.812,6,RECV,7E000F81000734024E373030362D363331441B
07-04-2025 20:56:40.812,7,RECV,7E000F81000735024E373030372D4A534832E0
07-04-2025 20:56:40.812,8,RECV,7E000F81000735024E373030382D564A3252D2
07-04-2025 20:56:40.812,9,RECV,7E000F81000735024E373030392D50503535EB
07-04-2025 20:56:40.861,10,RECV,7E000F81000735024E373031302D4659334EDD
07-04-2025 20:56:40.862,11,RECV,7E000F81000734024E373031312D42414E57D5
07-04-2025 20:56:40.862,12,RECV,7E000F81000734024E373031322D454C3143F7
07-04-2025 20:56:40.862,13,RECV,7E000F81000735024E373031332D364C353310
07-04-2025 20:56:40.862,14,RECV,7E000F81000734024E373031342D51363055EE
07-04-2025 20:56:40.862,15,RECV,7E000F81000734024E373031352D30344A59F2
07-04-2025 20:56:40.863,16,RECV,7E000F81000734024E373031362D4D4E5657B0
07-04-2025 20:56:40.863,17,RECV,7E000F81000733024E373031372D51454441DD
07-04-2025 20:56:40.863,18,RECV,7E000F81000734024E373031382D4B4A3743E7
07-04-2025 20:56:40.912,19,RECV,7E000F81000734024E373031392D41445A51C5
07-04-2025 20:56:40.912,20,RECV,7E000F81000734024E373032302D574A3355D4
07-04-2025 20:56:40.912,21,RECV,7E000F81000734024E373032312D383632411B
07-04-2025 20:56:40.913,22,RECV,7E000F81000735024E373032322D50355158CC
07-04-2025 20:56:40.913,23,RECV,7E000F81000734024E373032332D4A5A364ED2
07-04-2025 20:56:40.913,24,RECV,7E000F81000734024E373032342D52513449D9
07-04-2025 20:56:40.913,25,RECV,7E000F81000734024E373032352D46454330FA
07-04-2025 20:56:40.962,26,RECV,7E000F81000734024E373032362D33523756E5
